time [UTC],Pine O Cleen,Ajax,Bosisto's,Dettol,Earth Choice
2021-08-01,0.0,27.0,0.0,13.0,4.0
2021-09-01,1.0,29.75,0.0,15.25,3.5
2021-10-01,0.6,31.6,0.0,13.8,2.8
2021-11-01,0.0,27.25,0.0,14.0,2.75
2021-12-01,0.0,22.75,0.0,16.25,1.75
2022-01-01,0.0,21.8,0.0,24.0,3.2
2022-02-01,0.0,32.25,0.0,18.5,4.25
2022-03-01,1.5,33.0,0.0,17.25,3.25
2022-04-01,1.5,34.25,0.0,16.75,4.5
2022-05-01,1.2,30.8,0.4,15.4,3.4
2022-06-01,1.0,24.75,0.0,13.25,4.25
2022-07-01,1.2,28.6,0.4,15.2,3.6
2022-08-01,0.0,37.0,0.0,14.75,4.5
2022-09-01,0.5,52.25,0.0,13.5,3.5
2022-10-01,0.4,42.6,0.0,15.0,4.6
2022-11-01,0.0,27.75,0.5,14.75,3.75
2022-12-01,0.5,28.0,0.0,15.5,3.25
2023-01-01,0.4,25.6,0.4,17.2,4.2
2023-02-01,0.0,28.5,0.5,15.25,3.75
2023-03-01,0.5,21.5,1.0,15.25,4.25
2023-04-01,0.4,27.2,0.0,15.6,4.2
2023-05-01,0.0,28.5,0.5,14.5,4.75
2023-06-01,2.25,23.5,0.5,13.75,4.5
2023-07-01,0.4,26.0,0.0,16.4,4.6
2023-08-01,1.0,30.25,0.5,13.25,5.25
2023-09-01,0.0,33.0,0.5,14.25,4.75
2023-10-01,0.8,36.4,0.0,15.0,4.6
2023-11-01,0.0,28.75,0.5,15.75,5.0
2023-12-01,1.0,23.2,0.0,18.0,4.8
2024-01-01,0.75,25.5,0.0,18.5,5.0
2024-02-01,1.0,28.25,0.0,17.75,4.0
2024-03-01,0.4,36.4,0.8,16.6,4.4
2024-04-01,0.0,25.75,1.25,17.25,4.25
2024-05-01,0.5,24.75,0.5,16.0,5.0
2024-06-01,0.4,21.0,0.4,15.4,5.0
2024-07-01,0.0,28.0,1.75,17.0,4.75
2024-08-01,0.5,32.25,1.0,15.25,5.25
2024-09-01,0.8,28.8,0.4,16.8,5.0
2024-10-01,0.0,26.75,1.25,17.5,5.25
2024-11-01,0.0,29.0,0.5,18.0,4.75
2024-12-01,0.4,23.0,1.0,19.0,4.6
2025-01-01,1.0,26.5,1.25,19.5,6.0
2025-02-01,1.0,32.0,0.75,21.25,5.0
2025-03-01,1.0,28.0,0.8,19.2,5.0
