time [UTC],Pine O Cleen,Earthwise,Ecostore,Koala Eco,Koh
2021-08-01,0.0,0.0,3.0,2.0,28.0
2021-09-01,0.5,0.0,2.5,1.75,36.25
2021-10-01,0.4,0.0,2.2,1.2,32.8
2021-11-01,0.0,0.0,3.0,1.0,36.75
2021-12-01,0.0,0.0,2.5,1.75,30.75
2022-01-01,0.0,0.0,3.0,2.4,34.8
2022-02-01,0.0,0.0,2.5,2.0,50.5
2022-03-01,0.75,0.0,3.0,2.0,51.5
2022-04-01,0.75,0.0,2.5,1.75,47.5
2022-05-01,0.6,0.0,2.4,1.6,47.0
2022-06-01,0.75,0.0,4.25,2.0,50.75
2022-07-01,0.6,0.0,3.8,2.0,53.2
2022-08-01,0.0,0.25,3.75,2.25,52.5
2022-09-01,0.25,0.0,3.25,2.25,50.0
2022-10-01,0.2,0.0,2.6,2.0,50.0
2022-11-01,0.0,0.5,3.75,2.5,53.75
2022-12-01,0.25,0.0,3.75,2.5,56.0
2023-01-01,0.2,0.0,3.4,2.6,68.0
2023-02-01,0.0,0.0,3.25,2.0,61.0
2023-03-01,0.25,0.5,3.75,2.25,58.75
2023-04-01,0.4,0.0,4.0,2.4,60.8
2023-05-01,0.0,0.0,3.25,3.0,55.75
2023-06-01,1.25,0.0,3.75,2.75,61.5
2023-07-01,0.4,0.0,4.0,2.8,62.6
2023-08-01,0.5,0.0,4.25,1.75,59.25
2023-09-01,0.0,0.0,3.5,2.25,55.25
2023-10-01,0.4,0.0,3.6,2.4,60.8
2023-11-01,0.0,0.0,4.25,3.75,63.5
2023-12-01,0.6,0.0,4.6,2.6,69.6
2024-01-01,0.5,0.0,4.25,3.0,87.0
2024-02-01,0.5,0.0,4.75,2.25,73.5
2024-03-01,0.2,0.0,4.0,2.6,69.6
2024-04-01,0.0,0.0,4.5,3.25,68.5
2024-05-01,0.25,0.0,5.25,3.75,66.0
2024-06-01,0.2,0.0,6.2,3.6,71.8
2024-07-01,0.0,1.5,4.5,4.25,67.75
2024-08-01,0.25,0.5,5.0,4.0,70.75
2024-09-01,0.6,1.2,5.2,3.4,72.2
2024-10-01,0.0,0.0,5.5,3.75,74.25
2024-11-01,0.0,0.25,7.0,4.75,75.0
2024-12-01,0.4,0.2,6.6,5.2,77.2
2025-01-01,0.5,0.75,6.5,4.25,89.75
2025-02-01,0.5,0.25,6.25,5.5,78.25
2025-03-01,0.6,0.2,6.0,5.6,77.8
