time [UTC],Pine O Cleen,Lucent Globe,Organic Choice,Pleasant State,Skipper (formerly Tirtyl)
2021-08-01,0.0,0.0,0.0,0.0,0.0
2021-09-01,6.75,0.0,3.25,0.0,0.0
2021-10-01,4.2,0.0,5.2,0.0,0.0
2021-11-01,0.0,0.0,4.0,4.25,0.0
2021-12-01,0.0,0.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,4.0,3.2,0.0
2022-02-01,0.0,0.0,9.5,0.0,0.0
2022-03-01,9.0,0.0,13.25,2.75,0.0
2022-04-01,8.25,0.0,12.75,0.0,2.75
2022-05-01,7.4,0.0,4.4,0.0,0.0
2022-06-01,6.75,0.0,10.25,0.0,0.0
2022-07-01,7.2,0.0,6.8,0.0,2.4
2022-08-01,0.0,0.0,13.5,0.0,0.0
2022-09-01,3.0,0.0,0.0,0.0,0.0
2022-10-01,2.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,3.5,0.0,0.0
2022-12-01,2.75,0.0,7.5,0.0,0.0
2023-01-01,2.6,0.0,5.2,0.0,0.0
2023-02-01,0.0,0.0,11.0,0.0,0.0
2023-03-01,3.5,0.0,5.75,0.0,0.0
2023-04-01,3.2,0.0,12.4,2.2,0.0
2023-05-01,0.0,21.25,9.75,2.5,0.0
2023-06-01,13.75,31.5,10.25,12.0,0.0
2023-07-01,3.0,34.4,10.4,0.0,0.0
2023-08-01,6.75,29.5,18.75,0.0,0.0
2023-09-01,0.0,38.5,7.0,0.0,0.0
2023-10-01,5.2,43.2,9.4,2.2,0.0
2023-11-01,0.0,80.0,12.25,6.5,0.0
2023-12-01,5.8,52.2,18.2,0.0,2.6
2024-01-01,4.0,57.0,15.0,3.0,0.0
2024-02-01,6.5,46.0,22.25,0.0,0.0
2024-03-01,2.4,40.2,17.4,0.0,0.0
2024-04-01,0.0,39.75,21.0,3.25,0.0
2024-05-01,2.75,36.25,21.5,0.0,0.0
2024-06-01,2.4,33.4,7.8,0.0,0.0
2024-07-01,0.0,43.5,13.5,0.0,0.0
2024-08-01,3.0,39.5,17.5,0.0,0.0
2024-09-01,5.6,49.6,10.8,0.0,0.0
2024-10-01,0.0,51.0,17.5,0.0,0.0
2024-11-01,0.0,54.25,4.0,3.0,0.0
2024-12-01,3.0,50.4,5.8,0.0,0.0
2025-01-01,7.0,63.5,17.5,0.0,0.0
2025-02-01,6.5,60.75,7.25,0.0,0.0
2025-03-01,6.2,67.6,2.6,0.0,3.0
