time [UTC],Myer,Everten,House,Kitchen Warehouse,Kitchenware
2021-08-01,17.0,0.0,78.0,1.0,0.0
2021-09-01,20.25,0.0,82.75,1.0,0.0
2021-10-01,22.2,0.0,87.6,1.0,0.0
2021-11-01,35.0,0.0,88.25,1.25,0.0
2021-12-01,37.75,0.0,86.25,1.75,0.0
2022-01-01,19.2,0.0,90.2,1.0,0.0
2022-02-01,17.5,0.0,88.0,1.0,0.0
2022-03-01,19.25,0.0,86.0,1.0,0.0
2022-04-01,21.0,0.0,85.75,1.0,0.0
2022-05-01,20.4,0.0,85.6,1.0,0.0
2022-06-01,22.0,0.0,84.75,1.0,0.0
2022-07-01,19.4,0.0,81.8,1.0,0.0
2022-08-01,18.25,0.0,90.75,1.0,0.0
2022-09-01,20.75,0.0,91.5,1.0,0.0
2022-10-01,20.2,0.0,93.4,1.0,0.0
2022-11-01,32.25,0.0,85.25,1.25,0.0
2022-12-01,38.5,0.0,83.75,1.75,0.0
2023-01-01,20.8,0.0,85.6,1.0,0.0
2023-02-01,16.5,0.0,81.75,1.0,0.0
2023-03-01,18.0,0.0,80.0,1.0,0.0
2023-04-01,19.8,0.0,82.0,1.0,0.0
2023-05-01,19.25,0.0,80.25,1.0,0.0
2023-06-01,20.75,0.0,79.75,1.0,0.0
2023-07-01,18.4,0.0,79.8,1.0,0.0
2023-08-01,16.5,0.0,77.0,1.0,0.0
2023-09-01,17.75,0.0,80.25,1.0,0.0
2023-10-01,19.0,0.0,85.6,1.0,0.0
2023-11-01,31.0,0.0,83.25,1.0,0.0
2023-12-01,34.0,0.0,83.4,1.6,0.0
2024-01-01,17.75,0.0,82.5,1.0,0.0
2024-02-01,15.75,0.0,83.25,1.0,0.0
2024-03-01,16.2,0.0,83.0,1.0,0.0
2024-04-01,17.25,0.0,81.5,1.0,0.0
2024-05-01,17.75,0.0,78.75,1.0,0.0
2024-06-01,19.4,0.0,86.6,1.0,0.0
2024-07-01,16.75,0.0,86.0,1.0,0.0
2024-08-01,15.75,0.0,81.25,1.0,0.0
2024-09-01,16.2,0.0,80.0,1.0,0.0
2024-10-01,18.5,0.0,82.75,1.0,0.0
2024-11-01,29.25,0.0,87.25,1.25,0.0
2024-12-01,33.6,0.0,83.0,1.4,0.0
2025-01-01,17.0,0.0,86.5,1.0,0.0
2025-02-01,14.5,0.0,80.75,1.0,0.0
2025-03-01,14.8,0.0,79.4,1.0,0.0
