time [UTC],OMO,Biozet Attack,Bosisto's,Calgon,Cold Power
2021-08-01,39.0,0.0,0.0,0.0,12.0
2021-09-01,44.25,0.0,0.0,0.0,13.5
2021-10-01,37.6,0.0,0.0,0.0,11.2
2021-11-01,43.5,0.0,0.0,0.0,15.75
2021-12-01,44.75,0.0,0.0,0.0,13.5
2022-01-01,51.2,0.0,18.2,0.0,18.2
2022-02-01,49.0,0.0,14.75,0.0,14.75
2022-03-01,47.75,0.0,20.0,0.0,17.25
2022-04-01,58.0,0.0,18.0,0.0,16.0
2022-05-01,55.6,0.0,20.0,0.0,15.6
2022-06-01,50.75,0.0,13.5,0.0,19.25
2022-07-01,61.8,0.0,0.0,0.0,19.6
2022-08-01,52.75,0.0,0.0,0.0,15.5
2022-09-01,53.25,0.0,0.0,0.0,18.0
2022-10-01,57.6,0.0,0.0,0.0,18.2
2022-11-01,55.75,0.0,0.0,0.0,17.75
2022-12-01,54.0,0.0,0.0,0.0,17.25
2023-01-01,60.6,0.0,0.0,0.0,19.0
2023-02-01,59.75,0.0,0.0,0.0,21.25
2023-03-01,58.5,0.0,0.0,0.0,19.0
2023-04-01,79.4,0.0,0.0,0.0,22.0
2023-05-01,70.25,0.0,0.0,0.0,25.0
2023-06-01,69.0,0.0,0.0,0.0,22.0
2023-07-01,74.0,0.0,0.0,0.0,25.6
2023-08-01,64.0,0.0,0.0,0.0,19.75
2023-09-01,85.0,0.0,0.0,0.0,21.0
2023-10-01,73.4,0.0,0.0,0.0,22.8
2023-11-01,69.0,0.0,0.0,0.0,23.25
2023-12-01,77.8,0.0,0.0,0.0,24.6
2024-01-01,79.5,0.0,0.0,0.0,27.25
2024-02-01,74.5,0.0,0.0,0.0,23.0
2024-03-01,70.6,0.0,0.0,0.0,26.4
2024-04-01,76.5,0.0,0.0,0.0,29.75
2024-05-01,71.0,0.0,0.0,0.0,25.25
2024-06-01,67.8,0.0,0.0,0.0,27.2
2024-07-01,77.5,2.5,0.0,0.0,29.5
2024-08-01,70.5,0.0,0.0,0.0,22.0
2024-09-01,66.8,3.8,0.0,0.0,26.8
2024-10-01,67.5,1.5,0.0,0.0,26.5
2024-11-01,69.75,0.0,0.0,0.0,26.25
2024-12-01,77.0,0.0,0.0,0.0,26.6
2025-01-01,78.25,4.75,0.0,0.0,31.0
2025-02-01,74.75,1.75,0.0,0.0,29.75
2025-03-01,67.6,0.0,0.0,0.0,27.4
