time [UTC],OMO,Fab,Organic Choice,Radiant,Undo This Mess
2021-08-01,30.0,0.0,0.0,37.0,0.0
2021-09-01,33.25,1.5,1.25,27.25,0.0
2021-10-01,28.6,0.0,2.2,29.4,0.0
2021-11-01,33.0,0.0,1.5,24.0,0.0
2021-12-01,33.75,0.0,0.0,10.25,0.0
2022-01-01,38.8,0.0,1.6,15.4,0.0
2022-02-01,37.0,4.0,3.75,35.0,0.0
2022-03-01,36.0,7.25,5.25,55.0,0.0
2022-04-01,44.0,6.0,5.0,50.5,0.0
2022-05-01,42.2,3.0,1.8,64.2,0.0
2022-06-01,38.25,1.5,4.25,52.75,0.0
2022-07-01,47.0,2.0,2.8,39.6,0.0
2022-08-01,39.5,3.5,5.25,62.0,1.0
2022-09-01,40.25,4.75,0.0,47.75,0.0
2022-10-01,43.8,5.6,0.0,47.0,0.0
2022-11-01,42.25,4.25,1.5,35.25,0.0
2022-12-01,41.0,3.0,3.0,15.75,0.0
2023-01-01,46.0,4.8,2.2,18.2,0.0
2023-02-01,45.25,2.5,4.5,36.75,0.0
2023-03-01,44.5,4.25,2.5,68.75,0.0
2023-04-01,59.8,0.8,5.0,55.2,0.0
2023-05-01,53.25,1.0,4.0,69.75,0.0
2023-06-01,52.25,0.0,3.75,53.0,0.0
2023-07-01,55.8,2.4,4.4,46.6,0.0
2023-08-01,48.5,4.5,7.75,63.25,0.0
2023-09-01,64.25,1.5,2.75,52.5,0.0
2023-10-01,55.8,4.4,3.6,53.4,0.0
2023-11-01,52.25,6.75,5.0,35.25,0.0
2023-12-01,59.0,4.4,7.2,24.6,0.0
2024-01-01,59.75,0.0,6.0,21.25,0.0
2024-02-01,56.25,1.5,8.75,41.0,0.0
2024-03-01,53.8,1.0,7.0,55.6,0.0
2024-04-01,58.25,1.5,8.5,57.5,0.0
2024-05-01,53.75,1.5,8.75,77.25,0.0
2024-06-01,51.2,1.0,3.0,56.4,0.0
2024-07-01,58.75,1.25,5.5,45.5,0.0
2024-08-01,53.0,1.25,7.0,67.0,0.0
2024-09-01,50.6,2.6,4.2,55.8,0.0
2024-10-01,51.0,0.0,7.0,68.75,0.0
2024-11-01,53.0,4.0,1.75,44.75,0.0
2024-12-01,58.2,3.4,2.4,18.0,0.0
2025-01-01,59.25,0.0,6.75,22.0,1.75
2025-02-01,56.5,1.25,2.75,39.75,0.0
2025-03-01,51.2,1.0,1.0,55.8,0.0
