time [UTC],OMO,Woolite
2021-08-01,39.0,0.0
2021-09-01,39.5,0.0
2021-10-01,33.6,0.0
2021-11-01,38.25,0.0
2021-12-01,35.5,0.0
2022-01-01,45.2,0.0
2022-02-01,45.0,0.0
2022-03-01,42.5,0.0
2022-04-01,50.0,0.0
2022-05-01,49.8,0.0
2022-06-01,44.0,0.0
2022-07-01,53.4,0.0
2022-08-01,47.0,0.0
2022-09-01,49.5,0.0
2022-10-01,51.4,0.0
2022-11-01,51.5,0.0
2022-12-01,49.75,0.0
2023-01-01,56.8,0.0
2023-02-01,52.75,0.0
2023-03-01,52.75,0.0
2023-04-01,70.8,0.0
2023-05-01,62.25,0.0
2023-06-01,61.0,0.0
2023-07-01,68.4,0.0
2023-08-01,62.75,0.0
2023-09-01,77.75,0.0
2023-10-01,75.4,0.0
2023-11-01,70.5,0.0
2023-12-01,74.6,0.0
2024-01-01,78.25,0.0
2024-02-01,73.25,0.0
2024-03-01,73.6,0.0
2024-04-01,76.5,0.0
2024-05-01,70.5,0.0
2024-06-01,71.4,0.0
2024-07-01,79.0,0.0
2024-08-01,73.75,0.0
2024-09-01,70.6,0.0
2024-10-01,72.0,0.0
2024-11-01,69.0,0.0
2024-12-01,79.6,0.0
2025-01-01,85.0,0.0
2025-02-01,84.25,0.0
2025-03-01,80.2,0.0
