category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Laundry Care,OMO,2021-08-01,39.0,39.0,0,1.0,
Laundry Care,OMO,2021-09-01,44.25,44.25,0,1.0,
Laundry Care,OMO,2021-10-01,37.6,37.6,0,1.0,
Laundry Care,OMO,2021-11-01,43.5,43.5,0,1.0,
Laundry Care,OMO,2021-12-01,44.75,44.75,0,1.0,
Laundry Care,OMO,2022-01-01,51.2,51.2,0,1.0,
Laundry Care,OMO,2022-02-01,49.0,49.0,0,1.0,
Laundry Care,OMO,2022-03-01,47.75,47.75,0,1.0,
Laundry Care,OMO,2022-04-01,58.0,58.0,0,1.0,
Laundry Care,OMO,2022-05-01,55.6,55.6,0,1.0,
Laundry Care,OMO,2022-06-01,50.75,50.75,0,1.0,
Laundry Care,OMO,2022-07-01,61.8,61.8,0,1.0,
Laundry Care,OMO,2022-08-01,52.75,52.75,0,1.0,
Laundry Care,OMO,2022-09-01,53.25,53.25,0,1.0,
Laundry Care,OMO,2022-10-01,57.6,57.6,0,1.0,
Laundry Care,OMO,2022-11-01,55.75,55.75,0,1.0,
Laundry Care,OMO,2022-12-01,54.0,54.0,0,1.0,
Laundry Care,OMO,2023-01-01,60.6,60.6,0,1.0,
Laundry Care,OMO,2023-02-01,59.75,59.75,0,1.0,
Laundry Care,OMO,2023-03-01,58.5,58.5,0,1.0,
Laundry Care,OMO,2023-04-01,79.4,79.4,0,1.0,
Laundry Care,OMO,2023-05-01,70.25,70.25,0,1.0,
Laundry Care,OMO,2023-06-01,69.0,69.0,0,1.0,
Laundry Care,OMO,2023-07-01,74.0,74.0,0,1.0,
Laundry Care,OMO,2023-08-01,64.0,64.0,0,1.0,
Laundry Care,OMO,2023-09-01,85.0,85.0,0,1.0,
Laundry Care,OMO,2023-10-01,73.4,73.4,0,1.0,
Laundry Care,OMO,2023-11-01,69.0,69.0,0,1.0,
Laundry Care,OMO,2023-12-01,77.8,77.8,0,1.0,
Laundry Care,OMO,2024-01-01,79.5,79.5,0,1.0,
Laundry Care,OMO,2024-02-01,74.5,74.5,0,1.0,
Laundry Care,OMO,2024-03-01,70.6,70.6,0,1.0,
Laundry Care,OMO,2024-04-01,76.5,76.5,0,1.0,
Laundry Care,OMO,2024-05-01,71.0,71.0,0,1.0,
Laundry Care,OMO,2024-06-01,67.8,67.8,0,1.0,
Laundry Care,OMO,2024-07-01,77.5,77.5,0,1.0,
Laundry Care,OMO,2024-08-01,70.5,70.5,0,1.0,
Laundry Care,OMO,2024-09-01,66.8,66.8,0,1.0,
Laundry Care,OMO,2024-10-01,67.5,67.5,0,1.0,
Laundry Care,OMO,2024-11-01,69.75,69.75,0,1.0,
Laundry Care,OMO,2024-12-01,77.0,77.0,0,1.0,
Laundry Care,OMO,2025-01-01,78.25,78.25,0,1.0,
Laundry Care,OMO,2025-02-01,74.75,74.75,0,1.0,
Laundry Care,OMO,2025-03-01,67.6,67.6,0,1.0,
Laundry Care,Biozet Attack,2021-08-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2021-09-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2021-10-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2021-11-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2021-12-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-01-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-02-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-03-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-04-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-05-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-06-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-07-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-08-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-09-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-10-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-11-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2022-12-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-01-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-02-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-03-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-04-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-05-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-06-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-07-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-08-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-09-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-10-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-11-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2023-12-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2024-01-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2024-02-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2024-03-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2024-04-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2024-05-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2024-06-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2024-07-01,2.5,2.5,0,1.0,
Laundry Care,Biozet Attack,2024-08-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2024-09-01,3.8,3.8,0,1.0,
Laundry Care,Biozet Attack,2024-10-01,1.5,1.5,0,1.0,
Laundry Care,Biozet Attack,2024-11-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2024-12-01,0.0,0.0,0,1.0,
Laundry Care,Biozet Attack,2025-01-01,4.75,4.75,0,1.0,
Laundry Care,Biozet Attack,2025-02-01,1.75,1.75,0,1.0,
Laundry Care,Biozet Attack,2025-03-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2021-08-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2021-09-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2021-10-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2021-11-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2021-12-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2022-01-01,18.2,18.2,0,1.0,
Laundry Care,Bosisto's,2022-02-01,14.75,14.75,0,1.0,
Laundry Care,Bosisto's,2022-03-01,20.0,20.0,0,1.0,
Laundry Care,Bosisto's,2022-04-01,18.0,18.0,0,1.0,
Laundry Care,Bosisto's,2022-05-01,20.0,20.0,0,1.0,
Laundry Care,Bosisto's,2022-06-01,13.5,13.5,0,1.0,
Laundry Care,Bosisto's,2022-07-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2022-08-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2022-09-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2022-10-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2022-11-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2022-12-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-01-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-02-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-03-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-04-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-05-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-06-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-07-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-08-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-09-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-10-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-11-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2023-12-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-01-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-02-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-03-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-04-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-05-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-06-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-07-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-08-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-09-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-10-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-11-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2024-12-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2025-01-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2025-02-01,0.0,0.0,0,1.0,
Laundry Care,Bosisto's,2025-03-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2021-08-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2021-09-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2021-10-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2021-11-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2021-12-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-01-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-02-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-03-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-04-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-05-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-06-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-07-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-08-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-09-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-10-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-11-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2022-12-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-01-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-02-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-03-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-04-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-05-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-06-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-07-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-08-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-09-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-10-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-11-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2023-12-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-01-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-02-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-03-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-04-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-05-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-06-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-07-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-08-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-09-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-10-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-11-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2024-12-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2025-01-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2025-02-01,0.0,0.0,0,1.0,
Laundry Care,Calgon,2025-03-01,0.0,0.0,0,1.0,
Laundry Care,Cold Power,2021-08-01,12.0,12.0,0,1.0,
Laundry Care,Cold Power,2021-09-01,13.5,13.5,0,1.0,
Laundry Care,Cold Power,2021-10-01,11.2,11.2,0,1.0,
Laundry Care,Cold Power,2021-11-01,15.75,15.75,0,1.0,
Laundry Care,Cold Power,2021-12-01,13.5,13.5,0,1.0,
Laundry Care,Cold Power,2022-01-01,18.2,18.2,0,1.0,
Laundry Care,Cold Power,2022-02-01,14.75,14.75,0,1.0,
Laundry Care,Cold Power,2022-03-01,17.25,17.25,0,1.0,
Laundry Care,Cold Power,2022-04-01,16.0,16.0,0,1.0,
Laundry Care,Cold Power,2022-05-01,15.6,15.6,0,1.0,
Laundry Care,Cold Power,2022-06-01,19.25,19.25,0,1.0,
Laundry Care,Cold Power,2022-07-01,19.6,19.6,0,1.0,
Laundry Care,Cold Power,2022-08-01,15.5,15.5,0,1.0,
Laundry Care,Cold Power,2022-09-01,18.0,18.0,0,1.0,
Laundry Care,Cold Power,2022-10-01,18.2,18.2,0,1.0,
Laundry Care,Cold Power,2022-11-01,17.75,17.75,0,1.0,
Laundry Care,Cold Power,2022-12-01,17.25,17.25,0,1.0,
Laundry Care,Cold Power,2023-01-01,19.0,19.0,0,1.0,
Laundry Care,Cold Power,2023-02-01,21.25,21.25,0,1.0,
Laundry Care,Cold Power,2023-03-01,19.0,19.0,0,1.0,
Laundry Care,Cold Power,2023-04-01,22.0,22.0,0,1.0,
Laundry Care,Cold Power,2023-05-01,25.0,25.0,0,1.0,
Laundry Care,Cold Power,2023-06-01,22.0,22.0,0,1.0,
Laundry Care,Cold Power,2023-07-01,25.6,25.6,0,1.0,
Laundry Care,Cold Power,2023-08-01,19.75,19.75,0,1.0,
Laundry Care,Cold Power,2023-09-01,21.0,21.0,0,1.0,
Laundry Care,Cold Power,2023-10-01,22.8,22.8,0,1.0,
Laundry Care,Cold Power,2023-11-01,23.25,23.25,0,1.0,
Laundry Care,Cold Power,2023-12-01,24.6,24.6,0,1.0,
Laundry Care,Cold Power,2024-01-01,27.25,27.25,0,1.0,
Laundry Care,Cold Power,2024-02-01,23.0,23.0,0,1.0,
Laundry Care,Cold Power,2024-03-01,26.4,26.4,0,1.0,
Laundry Care,Cold Power,2024-04-01,29.75,29.75,0,1.0,
Laundry Care,Cold Power,2024-05-01,25.25,25.25,0,1.0,
Laundry Care,Cold Power,2024-06-01,27.2,27.2,0,1.0,
Laundry Care,Cold Power,2024-07-01,29.5,29.5,0,1.0,
Laundry Care,Cold Power,2024-08-01,22.0,22.0,0,1.0,
Laundry Care,Cold Power,2024-09-01,26.8,26.8,0,1.0,
Laundry Care,Cold Power,2024-10-01,26.5,26.5,0,1.0,
Laundry Care,Cold Power,2024-11-01,26.25,26.25,0,1.0,
Laundry Care,Cold Power,2024-12-01,26.6,26.6,0,1.0,
Laundry Care,Cold Power,2025-01-01,31.0,31.0,0,1.0,
Laundry Care,Cold Power,2025-02-01,29.75,29.75,0,1.0,
Laundry Care,Cold Power,2025-03-01,27.4,27.4,0,1.0,
Laundry Care,Dynamo,2021-08-01,11.0,11.0,1,1.0,
Laundry Care,Dynamo,2021-09-01,2.0,2.0,1,1.0,
Laundry Care,Dynamo,2021-10-01,2.0,2.0,1,1.0,
Laundry Care,Dynamo,2021-11-01,6.25,6.25,1,1.0,
Laundry Care,Dynamo,2021-12-01,3.25,3.25,1,1.0,
Laundry Care,Dynamo,2022-01-01,9.0,9.0,1,1.0,
Laundry Care,Dynamo,2022-02-01,12.25,12.25,1,1.0,
Laundry Care,Dynamo,2022-03-01,10.25,10.25,1,1.0,
Laundry Care,Dynamo,2022-04-01,10.75,10.75,1,1.0,
Laundry Care,Dynamo,2022-05-01,10.4,10.4,1,1.0,
Laundry Care,Dynamo,2022-06-01,6.5,6.5,1,1.0,
Laundry Care,Dynamo,2022-07-01,9.0,9.0,1,1.0,
Laundry Care,Dynamo,2022-08-01,7.25,7.25,1,1.0,
Laundry Care,Dynamo,2022-09-01,10.0,10.0,1,1.0,
Laundry Care,Dynamo,2022-10-01,6.2,6.2,1,1.0,
Laundry Care,Dynamo,2022-11-01,5.5,5.5,1,1.0,
Laundry Care,Dynamo,2022-12-01,6.25,6.25,1,1.0,
Laundry Care,Dynamo,2023-01-01,11.6,11.6,1,1.0,
Laundry Care,Dynamo,2023-02-01,10.25,10.25,1,1.0,
Laundry Care,Dynamo,2023-03-01,14.25,14.25,1,1.0,
Laundry Care,Dynamo,2023-04-01,14.2,14.2,1,1.0,
Laundry Care,Dynamo,2023-05-01,13.5,13.5,1,1.0,
Laundry Care,Dynamo,2023-06-01,14.75,14.75,1,1.0,
Laundry Care,Dynamo,2023-07-01,15.0,15.0,1,1.0,
Laundry Care,Dynamo,2023-08-01,13.25,13.25,1,1.0,
Laundry Care,Dynamo,2023-09-01,17.75,17.75,1,1.0,
Laundry Care,Dynamo,2023-10-01,13.6,13.6,1,1.0,
Laundry Care,Dynamo,2023-11-01,8.75,8.75,1,1.0,
Laundry Care,Dynamo,2023-12-01,17.6,17.6,1,1.0,
Laundry Care,Dynamo,2024-01-01,16.25,16.25,1,1.0,
Laundry Care,Dynamo,2024-02-01,13.25,13.25,1,1.0,
Laundry Care,Dynamo,2024-03-01,13.0,13.0,1,1.0,
Laundry Care,Dynamo,2024-04-01,15.5,15.5,1,1.0,
Laundry Care,Dynamo,2024-05-01,15.75,15.75,1,1.0,
Laundry Care,Dynamo,2024-06-01,12.6,12.6,1,1.0,
Laundry Care,Dynamo,2024-07-01,16.5,16.5,1,1.0,
Laundry Care,Dynamo,2024-08-01,11.75,11.75,1,1.0,
Laundry Care,Dynamo,2024-09-01,15.0,15.0,1,1.0,
Laundry Care,Dynamo,2024-10-01,12.5,12.5,1,1.0,
Laundry Care,Dynamo,2024-11-01,14.25,14.25,1,1.0,
Laundry Care,Dynamo,2024-12-01,13.8,13.8,1,1.0,
Laundry Care,Dynamo,2025-01-01,12.75,12.75,1,1.0,
Laundry Care,Dynamo,2025-02-01,15.75,15.75,1,1.0,
Laundry Care,Dynamo,2025-03-01,13.4,13.4,1,1.0,
Laundry Care,Earth Choice,2021-08-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2021-09-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2021-10-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2021-11-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2021-12-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2022-01-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2022-02-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2022-03-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2022-04-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2022-05-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2022-06-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2022-07-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2022-08-01,0.0,0.0,1,1.0,
Laundry Care,Earth Choice,2022-09-01,8.75,8.75,1,1.0,
Laundry Care,Earth Choice,2022-10-01,13.0,13.0,1,1.0,
Laundry Care,Earth Choice,2022-11-01,10.75,10.75,1,1.0,
Laundry Care,Earth Choice,2022-12-01,10.75,10.75,1,1.0,
Laundry Care,Earth Choice,2023-01-01,12.6,12.6,1,1.0,
Laundry Care,Earth Choice,2023-02-01,13.75,13.75,1,1.0,
Laundry Care,Earth Choice,2023-03-01,15.0,15.0,1,1.0,
Laundry Care,Earth Choice,2023-04-01,13.4,13.4,1,1.0,
Laundry Care,Earth Choice,2023-05-01,14.25,14.25,1,1.0,
Laundry Care,Earth Choice,2023-06-01,15.0,15.0,1,1.0,
Laundry Care,Earth Choice,2023-07-01,17.4,17.4,1,1.0,
Laundry Care,Earth Choice,2023-08-01,17.0,17.0,1,1.0,
Laundry Care,Earth Choice,2023-09-01,14.25,14.25,1,1.0,
Laundry Care,Earth Choice,2023-10-01,15.2,15.2,1,1.0,
Laundry Care,Earth Choice,2023-11-01,17.0,17.0,1,1.0,
Laundry Care,Earth Choice,2023-12-01,15.4,15.4,1,1.0,
Laundry Care,Earth Choice,2024-01-01,18.75,18.75,1,1.0,
Laundry Care,Earth Choice,2024-02-01,15.0,15.0,1,1.0,
Laundry Care,Earth Choice,2024-03-01,15.8,15.8,1,1.0,
Laundry Care,Earth Choice,2024-04-01,16.5,16.5,1,1.0,
Laundry Care,Earth Choice,2024-05-01,18.0,18.0,1,1.0,
Laundry Care,Earth Choice,2024-06-01,16.8,16.8,1,1.0,
Laundry Care,Earth Choice,2024-07-01,20.0,20.0,1,1.0,
Laundry Care,Earth Choice,2024-08-01,17.5,17.5,1,1.0,
Laundry Care,Earth Choice,2024-09-01,15.6,15.6,1,1.0,
Laundry Care,Earth Choice,2024-10-01,15.5,15.5,1,1.0,
Laundry Care,Earth Choice,2024-11-01,19.75,19.75,1,1.0,
Laundry Care,Earth Choice,2024-12-01,17.8,17.8,1,1.0,
Laundry Care,Earth Choice,2025-01-01,21.0,21.0,1,1.0,
Laundry Care,Earth Choice,2025-02-01,18.5,18.5,1,1.0,
Laundry Care,Earth Choice,2025-03-01,20.4,20.4,1,1.0,
Laundry Care,Earthwise,2021-08-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2021-09-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2021-10-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2021-11-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2021-12-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-01-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-02-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-03-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-04-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-05-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-06-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-07-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-08-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-09-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-10-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-11-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2022-12-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-01-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-02-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-03-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-04-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-05-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-06-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-07-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-08-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-09-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-10-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-11-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2023-12-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2024-01-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2024-02-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2024-03-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2024-04-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2024-05-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2024-06-01,0.0,0.0,1,1.0,
Laundry Care,Earthwise,2024-07-01,0.0,0.0,1,1.0,
