time [UTC],Snooze,Koala,Noa,SleepMaker,Sleeping Duck
2021-08-01,13.0,58.0,3.0,1.0,7.0
2021-09-01,12.5,57.75,3.5,1.5,7.0
2021-10-01,13.6,55.2,4.0,2.0,6.6
2021-11-01,17.5,63.25,3.5,2.5,9.0
2021-12-01,15.25,64.25,3.0,1.5,7.5
2022-01-01,18.2,61.6,3.8,2.0,8.4
2022-02-01,14.0,61.75,4.0,2.0,7.5
2022-03-01,14.0,60.5,3.75,2.0,7.25
2022-04-01,14.5,62.0,4.0,2.0,7.25
2022-05-01,13.6,65.4,3.6,2.0,6.6
2022-06-01,17.25,70.25,4.0,2.25,6.75
2022-07-01,14.4,64.2,4.0,2.0,6.2
2022-08-01,14.75,68.25,3.5,1.25,6.25
2022-09-01,13.0,66.25,3.25,2.0,6.0
2022-10-01,13.2,63.6,3.8,1.6,5.0
2022-11-01,14.5,69.25,4.25,2.0,6.5
2022-12-01,14.25,70.25,4.5,1.75,5.5
2023-01-01,16.8,71.6,3.8,2.0,6.2
2023-02-01,11.75,60.75,3.25,1.5,5.0
2023-03-01,13.0,66.5,4.0,1.75,5.0
2023-04-01,13.2,61.2,4.2,1.4,6.0
2023-05-01,12.75,63.5,4.75,1.5,5.0
2023-06-01,15.25,68.5,3.5,2.0,6.25
2023-07-01,12.2,63.8,3.8,1.6,5.4
2023-08-01,13.5,69.25,3.0,1.25,4.75
2023-09-01,12.25,66.0,3.75,1.5,5.0
2023-10-01,13.0,63.6,6.4,1.2,4.6
2023-11-01,14.5,70.75,5.75,1.75,6.25
2023-12-01,14.0,73.2,4.8,1.8,6.0
2024-01-01,15.25,63.0,4.5,1.75,5.75
2024-02-01,13.5,61.75,4.0,1.0,4.5
2024-03-01,12.8,67.0,3.4,1.0,4.6
2024-04-01,13.75,65.5,3.25,1.25,4.75
2024-05-01,13.0,66.25,4.25,1.0,4.5
2024-06-01,15.0,78.6,6.4,1.6,6.0
2024-07-01,11.5,65.5,5.5,1.75,4.25
2024-08-01,13.25,71.0,4.5,1.25,4.0
2024-09-01,11.6,72.0,3.2,1.0,4.4
2024-10-01,13.0,73.25,3.75,1.75,4.25
2024-11-01,13.75,82.5,3.75,1.5,5.75
2024-12-01,13.4,79.2,3.4,1.6,5.0
2025-01-01,14.5,66.0,3.5,1.5,4.5
2025-02-01,10.75,64.0,3.75,1.0,4.5
2025-03-01,10.6,69.0,3.4,1.4,4.2
