time [UTC],Snooze,Sleepyhead
2021-08-01,0.0,0.0
2021-09-01,0.0,0.0
2021-10-01,0.0,0.0
2021-11-01,0.0,40.5
2021-12-01,0.0,44.5
2022-01-01,0.0,32.2
2022-02-01,0.0,18.25
2022-03-01,0.0,27.5
2022-04-01,0.0,13.25
2022-05-01,0.0,15.2
2022-06-01,0.0,18.5
2022-07-01,0.0,11.6
2022-08-01,0.0,0.0
2022-09-01,0.0,0.0
2022-10-01,0.0,0.0
2022-11-01,0.0,0.0
2022-12-01,0.0,0.0
2023-01-01,0.0,15.4
2023-02-01,0.0,0.0
2023-03-01,0.0,0.0
2023-04-01,0.0,12.0
2023-05-01,0.0,0.0
2023-06-01,0.0,0.0
2023-07-01,0.0,30.4
2023-08-01,0.0,32.75
2023-09-01,0.0,0.0
2023-10-01,0.0,0.0
2023-11-01,0.0,0.0
2023-12-01,0.0,13.6
2024-01-01,0.0,0.0
2024-02-01,0.0,33.25
2024-03-01,0.0,0.0
2024-04-01,0.0,25.0
2024-05-01,0.0,0.0
2024-06-01,0.0,0.0
2024-07-01,0.0,0.0
2024-08-01,0.0,0.0
2024-09-01,0.0,13.8
2024-10-01,0.0,0.0
2024-11-01,0.0,0.0
2024-12-01,0.0,0.0
2025-01-01,0.0,0.0
2025-02-01,0.0,0.0
2025-03-01,0.0,0.0
