category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
"Mattresses, beds, and pillows",Snooze,2021-08-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2021-09-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2021-10-01,2.2,2.2,0,1.0,
"Mattresses, beds, and pillows",Snooze,2021-11-01,3.0,3.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2021-12-01,2.5,2.5,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-01-01,3.0,3.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-02-01,2.25,2.25,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-03-01,2.5,2.5,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-04-01,2.75,2.75,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-05-01,2.2,2.2,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-06-01,3.25,3.25,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-07-01,2.2,2.2,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-08-01,2.5,2.5,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-09-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-10-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-11-01,2.5,2.5,0,1.0,
"Mattresses, beds, and pillows",Snooze,2022-12-01,2.5,2.5,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-01-01,2.8,2.8,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-02-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-03-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-04-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-05-01,2.25,2.25,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-06-01,2.5,2.5,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-07-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-08-01,2.25,2.25,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-09-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-10-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-11-01,2.5,2.5,0,1.0,
"Mattresses, beds, and pillows",Snooze,2023-12-01,2.4,2.4,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-01-01,3.0,3.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-02-01,2.25,2.25,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-03-01,2.2,2.2,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-04-01,2.25,2.25,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-05-01,2.25,2.25,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-06-01,3.0,3.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-07-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-08-01,2.25,2.25,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-09-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-10-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-11-01,2.5,2.5,0,1.0,
"Mattresses, beds, and pillows",Snooze,2024-12-01,2.4,2.4,0,1.0,
"Mattresses, beds, and pillows",Snooze,2025-01-01,2.5,2.5,0,1.0,
"Mattresses, beds, and pillows",Snooze,2025-02-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Snooze,2025-03-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2021-08-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2021-09-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2021-10-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2021-11-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2021-12-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-01-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-02-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-03-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-04-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-05-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-06-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-07-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-08-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-09-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-10-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-11-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2022-12-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-01-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-02-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-03-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-04-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-05-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-06-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-07-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-08-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-09-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-10-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-11-01,1.25,1.25,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2023-12-01,1.2,1.2,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-01-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-02-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-03-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-04-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-05-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-06-01,1.8,1.8,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-07-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-08-01,1.25,1.25,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-09-01,1.0,1.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-10-01,1.25,1.25,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-11-01,2.0,2.0,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2024-12-01,1.6,1.6,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2025-01-01,1.25,1.25,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2025-02-01,1.25,1.25,0,1.0,
"Mattresses, beds, and pillows",Ecosa,2025-03-01,1.2,1.2,0,1.0,
"Mattresses, beds, and pillows",Emma,2021-08-01,17.0,17.0,0,1.0,
"Mattresses, beds, and pillows",Emma,2021-09-01,30.0,30.0,0,1.0,
"Mattresses, beds, and pillows",Emma,2021-10-01,21.2,21.2,0,1.0,
"Mattresses, beds, and pillows",Emma,2021-11-01,17.25,17.25,0,1.0,
"Mattresses, beds, and pillows",Emma,2021-12-01,19.0,19.0,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-01-01,21.6,21.6,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-02-01,15.25,15.25,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-03-01,15.25,15.25,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-04-01,17.75,17.75,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-05-01,19.6,19.6,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-06-01,17.0,17.0,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-07-01,20.6,20.6,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-08-01,19.5,19.5,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-09-01,17.75,17.75,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-10-01,17.8,17.8,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-11-01,16.75,16.75,0,1.0,
"Mattresses, beds, and pillows",Emma,2022-12-01,18.5,18.5,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-01-01,17.8,17.8,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-02-01,16.5,16.5,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-03-01,15.75,15.75,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-04-01,15.6,15.6,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-05-01,15.0,15.0,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-06-01,15.25,15.25,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-07-01,15.8,15.8,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-08-01,15.0,15.0,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-09-01,16.25,16.25,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-10-01,15.8,15.8,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-11-01,16.25,16.25,0,1.0,
"Mattresses, beds, and pillows",Emma,2023-12-01,17.6,17.6,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-01-01,19.5,19.5,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-02-01,16.0,16.0,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-03-01,20.2,20.2,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-04-01,16.5,16.5,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-05-01,15.25,15.25,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-06-01,16.6,16.6,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-07-01,21.75,21.75,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-08-01,16.5,16.5,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-09-01,16.8,16.8,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-10-01,14.5,14.5,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-11-01,14.0,14.0,0,1.0,
"Mattresses, beds, and pillows",Emma,2024-12-01,14.8,14.8,0,1.0,
"Mattresses, beds, and pillows",Emma,2025-01-01,17.0,17.0,0,1.0,
"Mattresses, beds, and pillows",Emma,2025-02-01,14.75,14.75,0,1.0,
"Mattresses, beds, and pillows",Emma,2025-03-01,14.2,14.2,0,1.0,
"Mattresses, beds, and pillows",Eva,2021-08-01,5.0,5.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2021-09-01,5.75,5.75,0,1.0,
"Mattresses, beds, and pillows",Eva,2021-10-01,5.2,5.2,0,1.0,
"Mattresses, beds, and pillows",Eva,2021-11-01,6.0,6.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2021-12-01,5.0,5.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-01-01,5.8,5.8,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-02-01,5.5,5.5,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-03-01,5.25,5.25,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-04-01,5.5,5.5,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-05-01,5.6,5.6,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-06-01,6.0,6.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-07-01,6.0,6.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-08-01,5.75,5.75,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-09-01,5.5,5.5,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-10-01,6.2,6.2,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-11-01,6.75,6.75,0,1.0,
"Mattresses, beds, and pillows",Eva,2022-12-01,6.25,6.25,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-01-01,6.4,6.4,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-02-01,6.0,6.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-03-01,6.0,6.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-04-01,6.2,6.2,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-05-01,5.75,5.75,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-06-01,6.5,6.5,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-07-01,6.6,6.6,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-08-01,7.25,7.25,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-09-01,6.25,6.25,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-10-01,6.0,6.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-11-01,6.75,6.75,0,1.0,
"Mattresses, beds, and pillows",Eva,2023-12-01,6.8,6.8,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-01-01,6.75,6.75,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-02-01,6.0,6.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-03-01,7.0,7.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-04-01,7.0,7.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-05-01,7.0,7.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-06-01,6.6,6.6,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-07-01,6.0,6.0,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-08-01,6.5,6.5,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-09-01,6.6,6.6,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-10-01,6.5,6.5,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-11-01,6.75,6.75,0,1.0,
"Mattresses, beds, and pillows",Eva,2024-12-01,6.8,6.8,0,1.0,
"Mattresses, beds, and pillows",Eva,2025-01-01,8.5,8.5,0,1.0,
"Mattresses, beds, and pillows",Eva,2025-02-01,6.0,6.0,0,1.0,
