time [UTC],Cotton On,Politix,Tarocash,yd.
2021-08-01,43.0,1.0,0.0,0.0
2021-09-01,59.25,1.0,0.0,0.0
2021-10-01,53.0,1.6,0.0,0.0
2021-11-01,67.25,2.25,0.0,0.0
2021-12-01,31.75,2.0,0.0,0.0
2022-01-01,25.6,1.2,0.0,0.0
2022-02-01,59.25,2.0,0.0,0.0
2022-03-01,72.0,2.0,0.0,0.0
2022-04-01,76.5,2.0,0.0,0.0
2022-05-01,68.6,2.0,0.0,0.0
2022-06-01,64.25,2.0,0.0,0.0
2022-07-01,56.4,2.0,0.0,0.0
2022-08-01,56.75,2.0,0.0,0.0
2022-09-01,37.25,2.0,0.0,0.0
2022-10-01,54.6,2.2,0.0,0.0
2022-11-01,82.0,2.25,0.0,0.0
2022-12-01,81.0,2.0,0.0,0.0
2023-01-01,50.8,1.2,0.0,0.0
2023-02-01,49.25,1.0,0.0,0.0
2023-03-01,59.5,1.5,0.0,0.0
2023-04-01,61.6,2.0,0.0,0.0
2023-05-01,59.75,2.0,0.0,0.0
2023-06-01,57.25,2.0,0.0,0.0
2023-07-01,47.6,1.6,0.0,0.0
2023-08-01,50.75,2.0,0.0,0.0
2023-09-01,64.0,1.75,0.0,0.0
2023-10-01,62.0,2.0,0.0,0.0
2023-11-01,75.25,2.25,0.0,0.0
2023-12-01,66.8,1.4,0.0,0.0
2024-01-01,38.5,1.25,0.0,0.0
2024-02-01,41.25,1.25,0.0,0.0
2024-03-01,51.2,1.2,0.0,0.0
2024-04-01,56.0,1.25,0.0,0.0
2024-05-01,51.25,1.5,0.0,0.0
2024-06-01,22.8,1.2,0.0,0.0
2024-07-01,28.75,1.0,0.0,0.0
2024-08-01,43.25,2.0,0.0,0.0
2024-09-01,49.8,1.8,0.0,0.0
2024-10-01,54.75,2.0,0.0,0.0
2024-11-01,74.5,2.25,0.0,0.0
2024-12-01,72.2,1.4,0.0,0.0
2025-01-01,42.0,1.0,0.0,0.0
2025-02-01,37.25,1.0,0.0,0.0
2025-03-01,42.6,1.0,0.0,0.0
