category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Men's Clothing (Male Only),Cotton On,2021-08-01,43.0,43.0,0,1.0,
Men's Clothing (Male Only),Cotton On,2021-09-01,59.25,59.25,0,1.0,
Men's Clothing (Male Only),Cotton On,2021-10-01,53.0,53.0,0,1.0,
Men's Clothing (Male Only),Cotton On,2021-11-01,67.25,67.25,0,1.0,
Men's Clothing (Male Only),Cotton On,2021-12-01,31.75,31.75,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-01-01,25.6,25.6,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-02-01,59.25,59.25,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-03-01,72.0,72.0,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-04-01,76.5,76.5,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-05-01,68.6,68.6,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-06-01,64.25,64.25,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-07-01,56.4,56.4,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-08-01,56.75,56.75,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-09-01,37.25,37.25,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-10-01,54.6,54.6,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-11-01,82.0,82.0,0,1.0,
Men's Clothing (Male Only),Cotton On,2022-12-01,81.0,81.0,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-01-01,50.8,50.8,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-02-01,49.25,49.25,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-03-01,59.5,59.5,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-04-01,61.6,61.6,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-05-01,59.75,59.75,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-06-01,57.25,57.25,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-07-01,47.6,47.6,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-08-01,50.75,50.75,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-09-01,64.0,64.0,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-10-01,62.0,62.0,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-11-01,75.25,75.25,0,1.0,
Men's Clothing (Male Only),Cotton On,2023-12-01,66.8,66.8,0,1.0,
Men's Clothing (Male Only),Cotton On,2024-01-01,38.5,38.5,0,1.0,
Men's Clothing (Male Only),Cotton On,2024-02-01,41.25,41.25,0,1.0,
Men's Clothing (Male Only),Cotton On,2024-03-01,51.2,51.2,0,1.0,
Men's Clothing (Male Only),Cotton On,2024-04-01,56.0,56.0,0,1.0,
Men's Clothing (Male Only),Cotton On,2024-05-01,51.25,51.25,0,1.0,
Men's Clothing (Male Only),Cotton On,2024-06-01,22.8,22.8,0,1.0,
Men's Clothing (Male Only),Cotton On,2024-07-01,28.75,28.75,0,1.0,
