time [UTC],Ashley & Martin,Advanced Hair Studio,Burst Health,Doctors (e.g. GP),His Clinic
2021-08-01,0.0,0.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,0.0,12.8
2021-11-01,0.0,0.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,10.8
2022-08-01,10.5,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,0.0
2023-02-01,10.5,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,34.0
2023-06-01,0.0,0.0,0.0,0.0,15.0
2023-07-01,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0,15.0
2024-03-01,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,42.5,0.0,0.0
2024-08-01,0.0,0.0,44.25,0.0,0.0
2024-09-01,0.0,0.0,71.0,0.0,0.0
2024-10-01,0.0,0.0,74.75,0.0,0.0
2024-11-01,0.0,0.0,30.75,0.0,0.0
2024-12-01,0.0,0.0,32.6,0.0,0.0
2025-01-01,0.0,0.0,36.0,0.0,0.0
2025-02-01,0.0,0.0,63.75,0.0,0.0
2025-03-01,0.0,0.0,52.6,0.0,0.0
