time [UTC],Ashley & Martin,Manscaped,Men's Health Clinic,Mosh,Pilot
2021-08-01,0.0,49.0,0.0,0.0,8.0
2021-09-01,0.0,46.0,0.0,12.0,9.25
2021-10-01,0.0,36.6,0.0,17.6,12.6
2021-11-01,0.0,58.0,0.0,27.0,11.25
2021-12-01,0.0,45.0,0.0,19.25,9.25
2022-01-01,0.0,36.2,0.0,23.8,14.8
2022-02-01,0.0,39.25,0.0,21.0,17.5
2022-03-01,0.0,37.25,0.0,23.0,16.25
2022-04-01,0.0,37.25,0.0,26.25,12.75
2022-05-01,0.0,40.6,0.0,27.0,17.0
2022-06-01,0.0,44.75,0.0,24.25,14.25
2022-07-01,0.0,55.2,0.0,22.0,18.0
2022-08-01,1.0,55.0,0.0,24.25,17.5
2022-09-01,0.0,45.5,0.0,24.75,14.75
2022-10-01,0.0,43.4,0.0,20.4,15.2
2022-11-01,0.0,66.25,0.0,18.25,14.0
2022-12-01,0.0,66.75,0.0,19.5,16.0
2023-01-01,0.0,41.4,0.0,25.8,18.0
2023-02-01,1.0,40.25,0.0,24.75,16.5
2023-03-01,0.0,41.25,0.0,28.25,15.5
2023-04-01,0.0,38.8,0.0,4.0,13.6
2023-05-01,0.0,37.75,0.0,0.0,18.0
2023-06-01,0.0,44.0,0.0,0.0,16.5
2023-07-01,0.0,51.6,0.0,7.4,16.6
2023-08-01,0.0,55.25,0.0,13.25,18.25
2023-09-01,0.0,46.5,0.0,6.25,14.5
2023-10-01,0.0,48.8,0.0,20.6,19.0
2023-11-01,0.0,79.25,0.0,19.75,15.75
2023-12-01,0.0,71.2,0.0,19.6,15.2
2024-01-01,0.0,46.5,0.0,11.5,18.25
2024-02-01,0.0,44.75,0.0,0.0,18.75
2024-03-01,0.0,41.0,0.0,0.0,17.2
2024-04-01,0.0,42.25,0.0,0.0,15.75
2024-05-01,0.0,41.5,0.0,1.5,19.75
2024-06-01,0.0,41.0,0.0,2.6,17.2
2024-07-01,0.0,39.5,0.0,0.0,18.5
2024-08-01,0.0,47.5,0.0,0.0,21.0
2024-09-01,0.0,41.4,0.0,1.6,18.2
2024-10-01,0.0,40.75,0.0,1.5,22.0
2024-11-01,0.0,68.0,1.0,1.5,21.5
2024-12-01,0.0,63.4,0.0,0.0,17.8
2025-01-01,0.0,41.25,0.0,0.0,24.25
2025-02-01,0.0,41.0,0.0,0.0,24.75
2025-03-01,0.0,37.0,0.0,0.0,22.8
