time [UTC],Ashley & Martin,Rosemary Health,Simple Online Doctor,Stagger,The Hairy Pill
2021-08-01,0.0,0.0,0.0,0.0,26.0
2021-09-01,0.0,5.75,4.75,28.75,26.0
2021-10-01,0.0,0.0,0.0,38.6,5.0
2021-11-01,0.0,0.0,0.0,20.5,11.25
2021-12-01,0.0,7.25,0.0,26.25,40.75
2022-01-01,0.0,12.8,0.0,38.2,56.4
2022-02-01,0.0,11.5,0.0,46.75,42.5
2022-03-01,0.0,30.0,0.0,51.75,35.75
2022-04-01,4.5,12.25,0.0,42.0,45.0
2022-05-01,0.0,10.2,0.0,39.6,47.0
2022-06-01,0.0,0.0,0.0,45.0,56.25
2022-07-01,0.0,8.6,0.0,46.4,35.8
2022-08-01,0.0,0.0,4.0,45.0,39.25
2022-09-01,0.0,0.0,0.0,39.5,22.0
2022-10-01,0.0,2.8,4.4,37.0,16.0
2022-11-01,0.0,0.0,6.25,38.25,14.75
2022-12-01,0.0,0.0,6.0,35.25,8.75
2023-01-01,0.0,0.0,3.8,41.6,19.0
2023-02-01,0.0,3.5,12.25,47.0,27.25
2023-03-01,0.0,7.75,3.5,34.25,17.75
2023-04-01,0.0,0.0,6.2,39.6,18.4
2023-05-01,0.0,4.75,10.25,37.25,22.5
2023-06-01,0.0,0.0,3.5,42.0,23.0
2023-07-01,3.0,0.0,2.8,47.0,17.8
2023-08-01,0.0,0.0,9.25,40.5,22.0
2023-09-01,0.0,4.75,0.0,61.5,16.25
2023-10-01,0.0,0.0,8.2,34.2,10.4
2023-11-01,0.0,4.0,0.0,32.75,18.5
2023-12-01,0.0,0.0,0.0,35.4,9.4
2024-01-01,0.0,0.0,0.0,34.25,11.0
2024-02-01,0.0,0.0,0.0,51.75,13.75
2024-03-01,0.0,0.0,0.0,56.6,11.6
2024-04-01,0.0,0.0,0.0,41.0,15.25
2024-05-01,0.0,0.0,0.0,42.5,10.75
2024-06-01,0.0,4.0,3.2,54.6,7.0
2024-07-01,0.0,4.5,5.25,43.5,25.0
2024-08-01,0.0,0.0,0.0,37.5,22.75
2024-09-01,0.0,0.0,7.6,33.6,9.4
2024-10-01,0.0,0.0,4.75,36.75,13.0
2024-11-01,0.0,0.0,0.0,35.75,19.5
2024-12-01,0.0,0.0,4.0,35.0,4.4
2025-01-01,0.0,0.0,9.0,44.0,23.25
2025-02-01,0.0,0.0,0.0,38.0,17.5
2025-03-01,0.0,0.0,0.0,40.4,18.0
