time [UTC],Nine,Cheek Media Co.,Hack,Pedestrian,Shameless Media
2021-08-01,37.0,0.0,13.0,29.0,0.0
2021-09-01,46.75,0.0,10.0,29.25,0.0
2021-10-01,57.2,0.8,9.8,35.8,0.0
2021-11-01,77.25,0.0,10.5,38.75,0.0
2021-12-01,62.75,0.0,8.5,26.25,0.0
2022-01-01,53.0,0.0,9.8,30.8,0.0
2022-02-01,56.25,0.0,10.75,41.25,0.0
2022-03-01,66.25,0.0,10.75,43.75,0.0
2022-04-01,65.25,0.0,10.75,42.0,0.0
2022-05-01,69.4,0.0,11.6,41.8,0.0
2022-06-01,63.5,0.0,12.0,48.0,0.0
2022-07-01,57.0,0.0,9.8,43.6,0.0
2022-08-01,60.25,0.0,11.25,49.0,0.0
2022-09-01,64.5,0.0,11.5,43.25,0.0
2022-10-01,64.4,0.0,12.6,47.4,0.0
2022-11-01,70.75,0.0,9.75,46.75,0.0
2022-12-01,61.75,0.0,8.5,40.25,0.0
2023-01-01,54.0,0.0,12.2,47.8,0.0
2023-02-01,50.75,0.0,11.5,56.5,0.0
2023-03-01,49.75,0.0,11.75,62.0,0.0
2023-04-01,59.6,0.0,11.6,60.0,0.0
2023-05-01,62.0,0.0,10.5,63.25,0.0
2023-06-01,54.75,0.0,12.5,54.0,0.0
2023-07-01,51.8,0.0,9.2,58.2,0.0
2023-08-01,52.5,0.0,11.75,58.25,0.0
2023-09-01,54.0,0.0,10.75,63.0,0.0
2023-10-01,57.0,0.0,12.0,56.0,0.0
2023-11-01,60.5,0.0,10.75,53.0,0.0
2023-12-01,51.4,0.0,10.6,46.4,0.0
2024-01-01,44.25,0.0,8.75,53.25,0.0
2024-02-01,44.0,0.0,11.5,56.75,0.0
2024-03-01,43.4,0.0,10.2,71.0,0.0
2024-04-01,53.0,0.0,11.0,55.25,0.0
2024-05-01,47.0,0.0,12.0,65.75,0.0
2024-06-01,48.2,0.0,10.6,50.4,0.0
2024-07-01,38.5,0.0,12.25,56.75,0.0
2024-08-01,41.75,0.0,12.0,60.25,0.0
2024-09-01,46.6,0.0,11.2,56.0,0.0
2024-10-01,45.75,0.0,13.75,60.0,0.0
2024-11-01,49.75,0.0,12.25,59.0,0.0
2024-12-01,42.8,0.0,11.2,46.4,0.0
2025-01-01,38.75,0.0,13.25,56.75,0.0
2025-02-01,37.25,0.0,13.0,57.0,0.0
2025-03-01,36.0,0.0,12.4,58.6,0.0
