category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
News or Media Sources,Nine,2021-08-01,37.0,37.0,0,1.0,
News or Media Sources,Nine,2021-09-01,46.75,46.75,0,1.0,
News or Media Sources,Nine,2021-10-01,57.2,57.2,0,1.0,
News or Media Sources,Nine,2021-11-01,77.25,77.25,0,1.0,
News or Media Sources,Nine,2021-12-01,62.75,62.75,0,1.0,
News or Media Sources,Nine,2022-01-01,53.0,53.0,0,1.0,
News or Media Sources,Nine,2022-02-01,56.25,56.25,0,1.0,
News or Media Sources,Nine,2022-03-01,66.25,66.25,0,1.0,
News or Media Sources,Nine,2022-04-01,65.25,65.25,0,1.0,
News or Media Sources,Nine,2022-05-01,69.4,69.4,0,1.0,
News or Media Sources,Nine,2022-06-01,63.5,63.5,0,1.0,
News or Media Sources,Nine,2022-07-01,57.0,57.0,0,1.0,
News or Media Sources,Nine,2022-08-01,60.25,60.25,0,1.0,
News or Media Sources,Nine,2022-09-01,64.5,64.5,0,1.0,
News or Media Sources,Nine,2022-10-01,64.4,64.4,0,1.0,
News or Media Sources,Nine,2022-11-01,70.75,70.75,0,1.0,
News or Media Sources,Nine,2022-12-01,61.75,61.75,0,1.0,
News or Media Sources,Nine,2023-01-01,54.0,54.0,0,1.0,
News or Media Sources,Nine,2023-02-01,50.75,50.75,0,1.0,
News or Media Sources,Nine,2023-03-01,49.75,49.75,0,1.0,
News or Media Sources,Nine,2023-04-01,59.6,59.6,0,1.0,
News or Media Sources,Nine,2023-05-01,62.0,62.0,0,1.0,
News or Media Sources,Nine,2023-06-01,54.75,54.75,0,1.0,
News or Media Sources,Nine,2023-07-01,51.8,51.8,0,1.0,
News or Media Sources,Nine,2023-08-01,52.5,52.5,0,1.0,
News or Media Sources,Nine,2023-09-01,54.0,54.0,0,1.0,
News or Media Sources,Nine,2023-10-01,57.0,57.0,0,1.0,
News or Media Sources,Nine,2023-11-01,60.5,60.5,0,1.0,
News or Media Sources,Nine,2023-12-01,51.4,51.4,0,1.0,
News or Media Sources,Nine,2024-01-01,44.25,44.25,0,1.0,
News or Media Sources,Nine,2024-02-01,44.0,44.0,0,1.0,
News or Media Sources,Nine,2024-03-01,43.4,43.4,0,1.0,
News or Media Sources,Nine,2024-04-01,53.0,53.0,0,1.0,
News or Media Sources,Nine,2024-05-01,47.0,47.0,0,1.0,
News or Media Sources,Nine,2024-06-01,48.2,48.2,0,1.0,
News or Media Sources,Nine,2024-07-01,38.5,38.5,0,1.0,
News or Media Sources,Nine,2024-08-01,41.75,41.75,0,1.0,
News or Media Sources,Nine,2024-09-01,46.6,46.6,0,1.0,
News or Media Sources,Nine,2024-10-01,45.75,45.75,0,1.0,
News or Media Sources,Nine,2024-11-01,49.75,49.75,0,1.0,
News or Media Sources,Nine,2024-12-01,42.8,42.8,0,1.0,
News or Media Sources,Nine,2025-01-01,38.75,38.75,0,1.0,
News or Media Sources,Nine,2025-02-01,37.25,37.25,0,1.0,
News or Media Sources,Nine,2025-03-01,36.0,36.0,0,1.0,
News or Media Sources,Cheek Media Co.,2021-08-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2021-09-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2021-10-01,0.8,0.8,0,1.0,
News or Media Sources,Cheek Media Co.,2021-11-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2021-12-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-01-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-02-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-03-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-04-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-05-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-06-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-07-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-08-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-09-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-10-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-11-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-12-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-01-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-02-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-03-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-04-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-05-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-06-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-07-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-08-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-09-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-10-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-11-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2023-12-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-01-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-02-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-03-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-04-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-05-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-06-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-07-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-08-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-09-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-10-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-11-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2024-12-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2025-01-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2025-02-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2025-03-01,0.0,0.0,0,1.0,
News or Media Sources,Hack,2021-08-01,13.0,13.0,0,1.0,
News or Media Sources,Hack,2021-09-01,10.0,10.0,0,1.0,
News or Media Sources,Hack,2021-10-01,9.8,9.8,0,1.0,
News or Media Sources,Hack,2021-11-01,10.5,10.5,0,1.0,
News or Media Sources,Hack,2021-12-01,8.5,8.5,0,1.0,
News or Media Sources,Hack,2022-01-01,9.8,9.8,0,1.0,
News or Media Sources,Hack,2022-02-01,10.75,10.75,0,1.0,
News or Media Sources,Hack,2022-03-01,10.75,10.75,0,1.0,
News or Media Sources,Hack,2022-04-01,10.75,10.75,0,1.0,
News or Media Sources,Hack,2022-05-01,11.6,11.6,0,1.0,
News or Media Sources,Hack,2022-06-01,12.0,12.0,0,1.0,
News or Media Sources,Hack,2022-07-01,9.8,9.8,0,1.0,
News or Media Sources,Hack,2022-08-01,11.25,11.25,0,1.0,
News or Media Sources,Hack,2022-09-01,11.5,11.5,0,1.0,
News or Media Sources,Hack,2022-10-01,12.6,12.6,0,1.0,
News or Media Sources,Hack,2022-11-01,9.75,9.75,0,1.0,
News or Media Sources,Hack,2022-12-01,8.5,8.5,0,1.0,
News or Media Sources,Hack,2023-01-01,12.2,12.2,0,1.0,
News or Media Sources,Hack,2023-02-01,11.5,11.5,0,1.0,
News or Media Sources,Hack,2023-03-01,11.75,11.75,0,1.0,
News or Media Sources,Hack,2023-04-01,11.6,11.6,0,1.0,
News or Media Sources,Hack,2023-05-01,10.5,10.5,0,1.0,
News or Media Sources,Hack,2023-06-01,12.5,12.5,0,1.0,
