time [UTC],eBay,Grays,Gumtree,Tradingpost
2021-08-01,93.0,2.0,71.0,0.0
2021-09-01,95.75,2.5,75.0,0.0
2021-10-01,86.6,2.6,75.4,0.0
2021-11-01,83.0,2.75,74.0,0.0
2021-12-01,76.75,2.25,70.0,0.0
2022-01-01,82.0,2.0,75.6,0.0
2022-02-01,80.5,2.25,74.0,0.0
2022-03-01,78.75,2.0,69.25,0.0
2022-04-01,77.5,0.0,73.0,0.0
2022-05-01,75.0,0.0,67.0,0.0
2022-06-01,75.0,0.0,70.25,0.0
2022-07-01,77.4,0.0,69.0,0.0
2022-08-01,75.75,0.0,66.5,0.0
2022-09-01,76.0,0.0,66.0,0.0
2022-10-01,75.6,0.0,64.2,0.0
2022-11-01,77.5,0.0,62.5,0.0
2022-12-01,70.75,0.0,60.5,0.0
2023-01-01,74.4,0.0,65.2,0.0
2023-02-01,67.5,0.0,59.75,0.0
2023-03-01,68.0,0.0,53.75,0.0
2023-04-01,67.2,0.0,55.8,0.0
2023-05-01,67.5,0.0,50.0,0.0
2023-06-01,67.5,0.0,50.5,0.0
2023-07-01,65.4,0.0,48.6,0.0
2023-08-01,64.0,0.0,44.25,0.0
2023-09-01,62.0,0.0,44.5,0.0
2023-10-01,61.4,0.0,43.0,0.0
2023-11-01,64.25,0.0,42.5,0.0
2023-12-01,61.8,0.0,43.4,0.0
2024-01-01,61.25,0.0,42.0,0.0
2024-02-01,54.5,0.0,37.25,0.0
2024-03-01,53.6,0.0,35.4,0.0
2024-04-01,53.0,0.0,33.25,0.0
2024-05-01,52.75,0.0,31.75,0.0
2024-06-01,53.0,0.0,30.2,0.0
2024-07-01,53.75,0.0,29.75,0.0
2024-08-01,51.0,0.0,28.5,0.0
2024-09-01,51.8,0.0,28.8,0.0
2024-10-01,51.25,0.0,28.0,0.0
2024-11-01,51.75,0.0,26.25,0.0
2024-12-01,51.4,0.0,27.0,0.0
2025-01-01,51.5,0.0,28.25,0.0
2025-02-01,49.75,0.0,25.25,0.0
2025-03-01,45.8,0.0,22.2,0.0
