category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Online Market Places,eBay,2021-08-01,60.0,60.0,0,1.0,
Online Market Places,eBay,2021-09-01,62.5,62.5,0,1.0,
Online Market Places,eBay,2021-10-01,56.4,56.4,0,1.0,
Online Market Places,eBay,2021-11-01,53.25,53.25,0,1.0,
Online Market Places,eBay,2021-12-01,49.5,49.5,0,1.0,
Online Market Places,eBay,2022-01-01,53.2,53.2,0,1.0,
Online Market Places,eBay,2022-02-01,52.0,52.0,0,1.0,
Online Market Places,eBay,2022-03-01,51.5,51.5,0,1.0,
Online Market Places,eBay,2022-04-01,51.25,51.25,0,1.0,
Online Market Places,eBay,2022-05-01,48.8,48.8,0,1.0,
Online Market Places,eBay,2022-06-01,48.5,48.5,0,1.0,
Online Market Places,eBay,2022-07-01,50.0,50.0,0,1.0,
Online Market Places,eBay,2022-08-01,49.0,49.0,0,1.0,
Online Market Places,eBay,2022-09-01,48.75,48.75,0,1.0,
Online Market Places,eBay,2022-10-01,49.6,49.6,0,1.0,
Online Market Places,eBay,2022-11-01,50.5,50.5,0,1.0,
Online Market Places,eBay,2022-12-01,45.25,45.25,0,1.0,
Online Market Places,eBay,2023-01-01,46.4,46.4,0,1.0,
Online Market Places,eBay,2023-02-01,45.75,45.75,0,1.0,
Online Market Places,eBay,2023-03-01,43.5,43.5,0,1.0,
Online Market Places,eBay,2023-04-01,44.2,44.2,0,1.0,
Online Market Places,eBay,2023-05-01,43.25,43.25,0,1.0,
Online Market Places,eBay,2023-06-01,43.5,43.5,0,1.0,
Online Market Places,eBay,2023-07-01,42.8,42.8,0,1.0,
Online Market Places,eBay,2023-08-01,41.75,41.75,0,1.0,
Online Market Places,eBay,2023-09-01,38.75,38.75,0,1.0,
Online Market Places,eBay,2023-10-01,39.6,39.6,0,1.0,
Online Market Places,eBay,2023-11-01,40.75,40.75,0,1.0,
Online Market Places,eBay,2023-12-01,39.8,39.8,0,1.0,
Online Market Places,eBay,2024-01-01,39.75,39.75,0,1.0,
Online Market Places,eBay,2024-02-01,36.0,36.0,0,1.0,
Online Market Places,eBay,2024-03-01,34.2,34.2,0,1.0,
Online Market Places,eBay,2024-04-01,35.5,35.5,0,1.0,
Online Market Places,eBay,2024-05-01,34.5,34.5,0,1.0,
Online Market Places,eBay,2024-06-01,34.2,34.2,0,1.0,
Online Market Places,eBay,2024-07-01,34.5,34.5,0,1.0,
Online Market Places,eBay,2024-08-01,32.75,32.75,0,1.0,
Online Market Places,eBay,2024-09-01,32.8,32.8,0,1.0,
Online Market Places,eBay,2024-10-01,33.25,33.25,0,1.0,
Online Market Places,eBay,2024-11-01,33.75,33.75,0,1.0,
Online Market Places,eBay,2024-12-01,32.6,32.6,0,1.0,
Online Market Places,eBay,2025-01-01,34.5,34.5,0,1.0,
Online Market Places,eBay,2025-02-01,32.75,32.75,0,1.0,
Online Market Places,eBay,2025-03-01,29.4,29.4,0,1.0,
Online Market Places,Amazon,2021-08-01,54.0,54.0,0,1.0,
Online Market Places,Amazon,2021-09-01,49.5,49.5,0,1.0,
Online Market Places,Amazon,2021-10-01,44.2,44.2,0,1.0,
Online Market Places,Amazon,2021-11-01,52.25,52.25,0,1.0,
Online Market Places,Amazon,2021-12-01,48.0,48.0,0,1.0,
Online Market Places,Amazon,2022-01-01,54.2,54.2,0,1.0,
Online Market Places,Amazon,2022-02-01,53.0,53.0,0,1.0,
Online Market Places,Amazon,2022-03-01,52.0,52.0,0,1.0,
Online Market Places,Amazon,2022-04-01,53.25,53.25,0,1.0,
Online Market Places,Amazon,2022-05-01,53.0,53.0,0,1.0,
Online Market Places,Amazon,2022-06-01,57.25,57.25,0,1.0,
Online Market Places,Amazon,2022-07-01,63.6,63.6,0,1.0,
Online Market Places,Amazon,2022-08-01,59.5,59.5,0,1.0,
Online Market Places,Amazon,2022-09-01,56.75,56.75,0,1.0,
Online Market Places,Amazon,2022-10-01,60.2,60.2,0,1.0,
Online Market Places,Amazon,2022-11-01,70.5,70.5,0,1.0,
Online Market Places,Amazon,2022-12-01,67.25,67.25,0,1.0,
Online Market Places,Amazon,2023-01-01,63.0,63.0,0,1.0,
Online Market Places,Amazon,2023-02-01,59.5,59.5,0,1.0,
Online Market Places,Amazon,2023-03-01,59.25,59.25,0,1.0,
Online Market Places,Amazon,2023-04-01,60.0,60.0,0,1.0,
Online Market Places,Amazon,2023-05-01,61.0,61.0,0,1.0,
Online Market Places,Amazon,2023-06-01,62.0,62.0,0,1.0,
Online Market Places,Amazon,2023-07-01,70.2,70.2,0,1.0,
Online Market Places,Amazon,2023-08-01,65.75,65.75,0,1.0,
Online Market Places,Amazon,2023-09-01,62.25,62.25,0,1.0,
Online Market Places,Amazon,2023-10-01,68.4,68.4,0,1.0,
Online Market Places,Amazon,2023-11-01,76.5,76.5,0,1.0,
Online Market Places,Amazon,2023-12-01,77.2,77.2,0,1.0,
Online Market Places,Amazon,2024-01-01,66.25,66.25,0,1.0,
Online Market Places,Amazon,2024-02-01,63.25,63.25,0,1.0,
Online Market Places,Amazon,2024-03-01,61.2,61.2,0,1.0,
Online Market Places,Amazon,2024-04-01,63.25,63.25,0,1.0,
Online Market Places,Amazon,2024-05-01,64.25,64.25,0,1.0,
Online Market Places,Amazon,2024-06-01,65.0,65.0,0,1.0,
Online Market Places,Amazon,2024-07-01,77.5,77.5,0,1.0,
Online Market Places,Amazon,2024-08-01,64.75,64.75,0,1.0,
Online Market Places,Amazon,2024-09-01,67.0,67.0,0,1.0,
Online Market Places,Amazon,2024-10-01,71.75,71.75,0,1.0,
Online Market Places,Amazon,2024-11-01,82.5,82.5,0,1.0,
Online Market Places,Amazon,2024-12-01,81.0,81.0,0,1.0,
Online Market Places,Amazon,2025-01-01,68.25,68.25,0,1.0,
Online Market Places,Amazon,2025-02-01,67.5,67.5,0,1.0,
Online Market Places,Amazon,2025-03-01,65.2,65.2,0,1.0,
Online Market Places,Depop,2021-08-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2021-09-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2021-10-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2021-11-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2021-12-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-01-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-02-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-03-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-04-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-05-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-06-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-07-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-08-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-09-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-10-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-11-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2022-12-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2023-01-01,1.2,1.2,0,1.0,
Online Market Places,Depop,2023-02-01,1.25,1.25,0,1.0,
Online Market Places,Depop,2023-03-01,1.5,1.5,0,1.0,
Online Market Places,Depop,2023-04-01,1.6,1.6,0,1.0,
Online Market Places,Depop,2023-05-01,1.75,1.75,0,1.0,
Online Market Places,Depop,2023-06-01,1.25,1.25,0,1.0,
Online Market Places,Depop,2023-07-01,1.4,1.4,0,1.0,
Online Market Places,Depop,2023-08-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2023-09-01,1.75,1.75,0,1.0,
Online Market Places,Depop,2023-10-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2023-11-01,1.75,1.75,0,1.0,
Online Market Places,Depop,2023-12-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2024-01-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-02-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-03-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-04-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-05-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-06-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-07-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-08-01,2.25,2.25,0,1.0,
Online Market Places,Depop,2024-09-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-10-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-11-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-12-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2025-01-01,3.0,3.0,0,1.0,
Online Market Places,Depop,2025-02-01,3.0,3.0,0,1.0,
Online Market Places,Depop,2025-03-01,3.0,3.0,0,1.0,
Online Market Places,Etsy,2021-08-01,9.0,9.0,0,1.0,
Online Market Places,Etsy,2021-09-01,9.75,9.75,0,1.0,
Online Market Places,Etsy,2021-10-01,8.8,8.8,0,1.0,
Online Market Places,Etsy,2021-11-01,9.5,9.5,0,1.0,
Online Market Places,Etsy,2021-12-01,8.0,8.0,0,1.0,
Online Market Places,Etsy,2022-01-01,9.6,9.6,0,1.0,
Online Market Places,Etsy,2022-02-01,9.5,9.5,0,1.0,
Online Market Places,Etsy,2022-03-01,9.25,9.25,0,1.0,
Online Market Places,Etsy,2022-04-01,8.5,8.5,0,1.0,
Online Market Places,Etsy,2022-05-01,8.4,8.4,0,1.0,
Online Market Places,Etsy,2022-06-01,8.0,8.0,0,1.0,
Online Market Places,Etsy,2022-07-01,8.2,8.2,0,1.0,
Online Market Places,Etsy,2022-08-01,8.75,8.75,0,1.0,
Online Market Places,Etsy,2022-09-01,9.0,9.0,0,1.0,
Online Market Places,Etsy,2022-10-01,9.4,9.4,0,1.0,
Online Market Places,Etsy,2022-11-01,9.75,9.75,0,1.0,
Online Market Places,Etsy,2022-12-01,9.25,9.25,0,1.0,
Online Market Places,Etsy,2023-01-01,10.0,10.0,0,1.0,
Online Market Places,Etsy,2023-02-01,9.5,9.5,0,1.0,
Online Market Places,Etsy,2023-03-01,8.75,8.75,0,1.0,
Online Market Places,Etsy,2023-04-01,9.0,9.0,0,1.0,
Online Market Places,Etsy,2023-05-01,8.5,8.5,0,1.0,
Online Market Places,Etsy,2023-06-01,9.0,9.0,0,1.0,
Online Market Places,Etsy,2023-07-01,8.4,8.4,0,1.0,
Online Market Places,Etsy,2023-08-01,8.5,8.5,0,1.0,
Online Market Places,Etsy,2023-09-01,8.5,8.5,0,1.0,
Online Market Places,Etsy,2023-10-01,9.0,9.0,0,1.0,
Online Market Places,Etsy,2023-11-01,9.5,9.5,0,1.0,
Online Market Places,Etsy,2023-12-01,9.4,9.4,0,1.0,
Online Market Places,Etsy,2024-01-01,9.5,9.5,0,1.0,
Online Market Places,Etsy,2024-02-01,8.5,8.5,0,1.0,
Online Market Places,Etsy,2024-03-01,8.0,8.0,0,1.0,
Online Market Places,Etsy,2024-04-01,8.25,8.25,0,1.0,
Online Market Places,Etsy,2024-05-01,7.75,7.75,0,1.0,
Online Market Places,Etsy,2024-06-01,7.4,7.4,0,1.0,
Online Market Places,Etsy,2024-07-01,7.75,7.75,0,1.0,
Online Market Places,Etsy,2024-08-01,8.0,8.0,0,1.0,
Online Market Places,Etsy,2024-09-01,8.2,8.2,0,1.0,
Online Market Places,Etsy,2024-10-01,8.0,8.0,0,1.0,
Online Market Places,Etsy,2024-11-01,8.75,8.75,0,1.0,
Online Market Places,Etsy,2024-12-01,8.2,8.2,0,1.0,
Online Market Places,Etsy,2025-01-01,9.0,9.0,0,1.0,
Online Market Places,Etsy,2025-02-01,8.0,8.0,0,1.0,
Online Market Places,Etsy,2025-03-01,7.4,7.4,0,1.0,
Online Market Places,Facebook Marketplace,2021-08-01,8.0,8.0,0,1.0,
Online Market Places,Facebook Marketplace,2021-09-01,8.5,8.5,0,1.0,
Online Market Places,Facebook Marketplace,2021-10-01,8.8,8.8,0,1.0,
Online Market Places,Facebook Marketplace,2021-11-01,8.75,8.75,0,1.0,
Online Market Places,Facebook Marketplace,2021-12-01,9.25,9.25,0,1.0,
Online Market Places,Facebook Marketplace,2022-01-01,9.8,9.8,0,1.0,
