time [UTC],David Jones,Ozsale,THE OUTNET,The Archive Place,The DOM
2021-08-01,4.0,29.0,19.0,0.0,5.0
2021-09-01,10.0,19.75,19.5,0.0,4.75
2021-10-01,18.2,2.4,21.6,0.6,6.2
2021-11-01,45.25,1.75,28.0,0.75,7.0
2021-12-01,39.0,13.5,19.0,0.0,5.75
2022-01-01,21.8,29.8,22.8,0.0,6.2
2022-02-01,21.75,3.25,26.5,0.75,6.5
2022-03-01,26.0,0.75,31.5,1.25,8.75
2022-04-01,26.0,0.0,31.75,0.25,7.5
2022-05-01,24.8,0.0,32.8,0.8,5.8
2022-06-01,28.75,0.0,27.0,0.0,6.5
2022-07-01,23.2,0.0,25.4,0.6,6.4
2022-08-01,22.25,0.0,26.75,1.75,6.5
2022-09-01,23.25,0.0,26.0,1.0,5.5
2022-10-01,24.2,0.4,26.6,1.2,7.2
2022-11-01,51.0,0.0,25.0,1.75,5.5
2022-12-01,41.0,0.0,21.25,1.0,5.75
2023-01-01,26.2,0.4,18.6,0.4,7.4
2023-02-01,24.0,6.75,17.25,0.0,8.25
2023-03-01,20.75,25.0,23.5,0.0,6.75
2023-04-01,20.6,26.2,23.6,0.4,7.8
2023-05-01,22.5,31.75,26.0,2.25,8.25
2023-06-01,25.5,32.25,20.75,1.5,8.5
2023-07-01,19.2,29.2,17.8,0.0,8.2
2023-08-01,20.25,27.5,18.75,0.0,7.75
2023-09-01,19.5,32.5,17.0,1.0,9.25
2023-10-01,9.2,19.2,18.0,0.4,9.0
2023-11-01,0.5,9.5,20.0,1.5,9.75
2023-12-01,5.0,38.8,16.0,0.0,9.6
2024-01-01,4.75,27.75,14.75,1.0,11.75
2024-02-01,5.25,26.25,15.75,0.0,13.25
2024-03-01,5.2,27.8,16.0,1.2,10.0
2024-04-01,4.25,32.0,17.5,0.5,10.75
2024-05-01,5.0,31.0,17.25,0.0,10.5
2024-06-01,3.4,25.0,15.8,0.0,10.0
2024-07-01,4.25,28.5,16.75,0.0,11.25
2024-08-01,4.75,24.25,13.25,0.0,11.0
2024-09-01,4.8,22.4,12.2,0.8,11.0
2024-10-01,4.5,25.0,14.0,0.0,12.25
2024-11-01,7.25,38.25,14.0,1.0,17.5
2024-12-01,8.2,30.8,12.8,0.0,16.0
2025-01-01,4.0,21.5,10.5,0.5,11.5
2025-02-01,2.75,19.25,11.5,0.5,9.5
2025-03-01,5.2,22.2,7.2,0.0,7.8
