time [UTC],David Jones,The Iconic
2021-08-01,36.0,12.0
2021-09-01,43.5,13.5
2021-10-01,47.2,14.2
2021-11-01,73.75,18.5
2021-12-01,79.5,14.5
2022-01-01,43.6,13.6
2022-02-01,40.25,15.75
2022-03-01,42.75,15.5
2022-04-01,46.5,16.0
2022-05-01,44.6,17.8
2022-06-01,47.5,16.0
2022-07-01,39.0,16.2
2022-08-01,40.75,16.25
2022-09-01,45.75,16.25
2022-10-01,43.4,16.2
2022-11-01,65.0,22.0
2022-12-01,76.0,17.25
2023-01-01,43.0,13.8
2023-02-01,38.75,13.5
2023-03-01,36.75,13.75
2023-04-01,39.6,14.8
2023-05-01,39.0,15.5
2023-06-01,44.5,15.25
2023-07-01,33.2,13.4
2023-08-01,34.5,13.75
2023-09-01,38.25,14.25
2023-10-01,39.6,13.8
2023-11-01,60.5,17.5
2023-12-01,63.8,13.8
2024-01-01,34.5,11.75
2024-02-01,28.0,10.5
2024-03-01,32.8,11.2
2024-04-01,33.25,11.5
2024-05-01,35.0,12.0
2024-06-01,38.0,11.0
2024-07-01,28.5,10.5
2024-08-01,30.0,11.5
2024-09-01,34.4,11.4
2024-10-01,35.0,11.25
2024-11-01,52.75,15.25
2024-12-01,60.6,12.0
2025-01-01,30.75,9.0
2025-02-01,24.75,9.5
2025-03-01,29.0,9.8
