time [UTC],R.M.Williams,Country Road,Deus Ex Machina,Gazman,Glue Store
2021-08-01,1.0,1.0,1.0,0.0,0.0
2021-09-01,4.0,3.25,0.75,0.0,0.0
2021-10-01,1.4,6.6,1.0,0.0,0.0
2021-11-01,1.25,13.75,1.0,0.0,0.0
2021-12-01,0.75,8.75,1.0,0.0,0.0
2022-01-01,1.0,12.4,1.0,0.0,0.0
2022-02-01,6.0,45.25,0.75,0.0,0.0
2022-03-01,15.25,45.75,1.0,0.0,0.0
2022-04-01,18.5,52.75,1.0,0.0,0.0
2022-05-01,24.0,55.0,1.0,0.0,0.0
2022-06-01,22.75,46.75,1.0,0.0,0.0
2022-07-01,21.4,43.2,1.0,0.0,0.0
2022-08-01,20.0,38.0,1.0,0.0,0.0
2022-09-01,10.25,27.5,1.0,0.0,0.0
2022-10-01,17.8,43.2,1.0,0.0,0.0
2022-11-01,19.5,74.25,1.25,0.0,0.0
2022-12-01,12.5,77.0,1.5,0.0,0.0
2023-01-01,6.6,46.6,1.0,0.0,0.0
2023-02-01,6.75,43.5,0.75,0.0,0.0
2023-03-01,4.25,44.25,1.0,0.0,0.0
2023-04-01,5.2,56.2,1.0,0.0,0.0
2023-05-01,9.0,62.25,1.75,0.0,0.0
2023-06-01,8.25,47.75,1.0,0.0,0.0
2023-07-01,11.2,43.6,1.0,0.0,0.0
2023-08-01,19.0,43.0,1.0,0.0,0.0
2023-09-01,13.75,45.5,1.0,0.0,0.0
2023-10-01,6.8,43.8,1.0,0.0,0.0
2023-11-01,10.25,69.0,1.5,0.0,0.0
2023-12-01,11.6,72.4,1.8,0.0,0.0
2024-01-01,5.5,42.5,1.0,0.0,0.0
2024-02-01,5.75,42.5,1.0,0.0,0.0
2024-03-01,7.4,46.2,1.0,0.0,0.0
2024-04-01,9.5,57.5,1.25,0.0,0.0
2024-05-01,9.0,53.25,1.0,0.0,0.0
2024-06-01,9.2,43.8,1.0,0.0,0.0
2024-07-01,9.0,37.25,1.0,0.0,0.0
2024-08-01,10.0,43.25,1.0,0.0,0.0
2024-09-01,8.0,41.6,1.0,0.0,0.0
2024-10-01,7.0,42.25,1.25,0.0,0.0
2024-11-01,11.75,60.0,1.25,0.0,0.0
2024-12-01,13.2,61.0,1.2,0.0,0.0
2025-01-01,7.0,39.0,1.0,0.0,0.0
2025-02-01,7.0,38.25,1.0,0.0,0.0
2025-03-01,7.4,39.8,1.0,0.0,0.0
