time [UTC],R.M.Williams,Surf Dive 'n Ski,Swanndri,Thomas Cook
2021-08-01,0.0,0.0,0.0,39.0
2021-09-01,0.0,0.0,4.0,43.5
2021-10-01,0.0,0.0,0.0,47.8
2021-11-01,0.0,0.0,3.5,51.75
2021-12-01,3.25,0.0,3.0,43.25
2022-01-01,0.0,0.0,0.0,39.6
2022-02-01,0.0,0.0,7.0,46.0
2022-03-01,0.0,0.0,12.5,59.0
2022-04-01,3.0,0.0,16.0,76.5
2022-05-01,6.2,0.0,28.2,76.2
2022-06-01,8.75,0.0,26.0,71.5
2022-07-01,0.0,0.0,21.0,69.0
2022-08-01,6.0,0.0,13.5,66.75
2022-09-01,5.0,0.0,7.75,69.5
2022-10-01,9.6,0.0,8.8,56.4
2022-11-01,8.0,0.0,8.75,57.75
2022-12-01,3.25,0.0,7.75,59.75
2023-01-01,0.0,0.0,4.6,55.2
2023-02-01,0.0,0.0,5.25,61.0
2023-03-01,2.25,0.0,13.75,63.0
2023-04-01,2.0,0.0,22.0,72.4
2023-05-01,2.75,0.0,28.25,81.0
2023-06-01,5.5,0.0,27.0,75.75
2023-07-01,2.4,0.0,19.0,61.4
2023-08-01,5.25,0.0,14.5,64.75
2023-09-01,0.0,0.0,5.0,51.75
2023-10-01,0.0,0.0,5.2,49.2
2023-11-01,2.75,0.0,12.5,61.0
2023-12-01,2.2,2.6,0.0,54.4
2024-01-01,0.0,0.0,2.5,51.5
2024-02-01,0.0,0.0,0.0,44.5
2024-03-01,0.0,0.0,10.0,56.8
2024-04-01,6.0,0.0,21.25,68.5
2024-05-01,6.25,0.0,25.25,62.0
2024-06-01,2.8,0.0,27.0,65.2
2024-07-01,9.0,0.0,20.25,70.75
2024-08-01,9.25,0.0,12.25,59.75
2024-09-01,2.6,0.0,4.8,53.4
2024-10-01,0.0,0.0,6.25,50.75
2024-11-01,13.75,0.0,2.5,49.75
2024-12-01,2.6,0.0,2.2,56.8
2025-01-01,3.5,0.0,2.75,49.75
2025-02-01,5.25,0.0,6.25,47.5
2025-03-01,0.0,0.0,10.8,50.6
