category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Outdoor Apparel,R.M.Williams,2021-08-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2021-09-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2021-10-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2021-11-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2021-12-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-01-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-02-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-03-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-04-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-05-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-06-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-07-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-08-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-09-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-10-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-11-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-12-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-01-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-02-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-03-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-04-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-05-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-06-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-07-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-08-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-09-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-10-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-11-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-12-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-01-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-02-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-03-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-04-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-05-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-06-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-07-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-08-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-09-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-10-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-11-01,0.25,0.25,0,1.0,
Outdoor Apparel,R.M.Williams,2024-12-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2025-01-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2025-02-01,0.0,0.0,0,1.0,
Outdoor Apparel,R.M.Williams,2025-03-01,0.0,0.0,0,1.0,
Outdoor Apparel,Country Road,2021-08-01,39.0,39.0,0,1.0,
Outdoor Apparel,Country Road,2021-09-01,46.5,46.5,0,1.0,
Outdoor Apparel,Country Road,2021-10-01,48.4,48.4,0,1.0,
Outdoor Apparel,Country Road,2021-11-01,70.75,70.75,0,1.0,
Outdoor Apparel,Country Road,2021-12-01,72.25,72.25,0,1.0,
Outdoor Apparel,Country Road,2022-01-01,45.6,45.6,0,1.0,
Outdoor Apparel,Country Road,2022-02-01,50.0,50.0,0,1.0,
Outdoor Apparel,Country Road,2022-03-01,49.5,49.5,0,1.0,
Outdoor Apparel,Country Road,2022-04-01,54.75,54.75,0,1.0,
Outdoor Apparel,Country Road,2022-05-01,56.8,56.8,0,1.0,
Outdoor Apparel,Country Road,2022-06-01,46.5,46.5,0,1.0,
Outdoor Apparel,Country Road,2022-07-01,43.2,43.2,0,1.0,
Outdoor Apparel,Country Road,2022-08-01,49.5,49.5,0,1.0,
Outdoor Apparel,Country Road,2022-09-01,45.75,45.75,0,1.0,
Outdoor Apparel,Country Road,2022-10-01,45.6,45.6,0,1.0,
Outdoor Apparel,Country Road,2022-11-01,72.0,72.0,0,1.0,
