time [UTC],Smith's,Arnott’s,Cadbury,Carman's,Doritos
2021-08-01,3.0,0.0,32.0,1.0,7.0
2021-09-01,2.25,0.0,26.5,1.0,6.25
2021-10-01,4.4,0.0,23.8,0.8,5.8
2021-11-01,3.25,0.0,28.25,0.75,4.5
2021-12-01,2.75,0.0,33.25,0.0,5.0
2022-01-01,2.6,0.0,21.8,1.0,5.4
2022-02-01,3.25,0.0,28.25,2.0,5.5
2022-03-01,8.5,0.0,40.75,1.75,5.5
2022-04-01,4.0,0.0,60.5,2.0,6.25
2022-05-01,2.8,0.0,28.4,2.0,7.0
2022-06-01,2.5,0.0,34.0,1.75,7.25
2022-07-01,3.2,0.0,32.0,2.0,6.2
2022-08-01,3.0,0.0,31.0,2.0,6.25
2022-09-01,3.0,0.0,26.25,2.0,6.75
2022-10-01,3.0,0.0,28.0,2.2,6.2
2022-11-01,3.0,0.0,33.25,1.25,6.25
2022-12-01,3.0,0.0,38.0,1.25,6.5
2023-01-01,3.4,0.0,24.6,2.0,6.2
2023-02-01,3.5,0.0,27.5,2.5,6.75
2023-03-01,2.75,0.0,41.75,2.25,6.25
2023-04-01,3.0,0.0,46.2,2.0,6.4
2023-05-01,4.5,0.0,29.25,2.5,7.25
2023-06-01,3.0,0.0,30.0,2.25,7.0
2023-07-01,2.6,0.0,30.8,2.6,6.8
2023-08-01,2.75,0.0,32.0,2.5,7.0
2023-09-01,2.75,0.0,27.75,2.75,7.25
2023-10-01,3.0,0.2,30.0,2.6,8.4
2023-11-01,2.5,0.0,35.5,2.0,7.25
2023-12-01,2.6,0.0,39.4,1.8,7.8
2024-01-01,3.25,0.0,27.25,3.0,6.25
2024-02-01,3.0,0.0,31.25,2.75,6.5
2024-03-01,3.0,0.0,63.2,2.2,6.4
2024-04-01,3.25,0.0,29.75,2.75,6.25
2024-05-01,2.75,0.0,28.75,3.25,6.5
2024-06-01,2.6,0.0,30.6,2.6,7.0
2024-07-01,2.5,0.0,31.75,2.25,7.5
2024-08-01,3.0,0.0,33.75,3.0,7.0
2024-09-01,3.0,0.0,33.0,3.0,8.2
2024-10-01,3.25,0.0,33.0,3.25,8.0
2024-11-01,2.5,0.25,36.75,2.75,8.0
2024-12-01,2.8,0.0,45.6,2.0,7.4
2025-01-01,3.0,0.0,32.25,3.0,7.0
2025-02-01,3.25,0.25,32.75,4.0,7.25
2025-03-01,2.6,0.0,44.8,3.0,7.8
