time [UTC],Smith's,Olina's Bakehouse,Oreo,Red Rock Deli,Ritz
2021-08-01,4.0,0.0,31.0,4.0,22.0
2021-09-01,4.25,0.0,30.0,4.0,25.75
2021-10-01,7.2,0.0,25.8,4.8,33.8
2021-11-01,5.0,0.0,30.25,4.0,38.75
2021-12-01,3.75,0.0,34.0,3.0,41.25
2022-01-01,4.4,0.4,21.0,3.6,40.2
2022-02-01,5.5,0.0,25.25,3.75,41.75
2022-03-01,14.0,0.0,26.0,4.5,39.75
2022-04-01,6.5,0.0,26.5,5.25,44.75
2022-05-01,4.4,0.0,27.4,4.2,42.0
2022-06-01,4.5,0.0,28.0,4.75,53.25
2022-07-01,5.0,0.0,27.0,3.8,44.4
2022-08-01,5.0,0.0,28.5,5.75,41.0
2022-09-01,4.5,0.0,25.25,4.25,44.25
2022-10-01,4.8,0.0,25.4,5.0,44.2
2022-11-01,4.5,0.0,26.5,4.5,42.0
2022-12-01,4.75,0.0,33.25,5.0,40.75
2023-01-01,5.6,0.0,25.6,4.8,49.0
2023-02-01,5.5,0.0,28.0,4.75,45.25
2023-03-01,4.75,0.0,28.5,5.75,50.25
2023-04-01,5.0,0.0,26.0,5.2,52.2
2023-05-01,7.25,0.0,28.75,5.75,46.75
2023-06-01,4.75,0.0,29.5,5.25,49.25
2023-07-01,4.2,0.2,28.4,6.2,59.2
2023-08-01,4.5,0.0,30.5,7.25,50.0
2023-09-01,4.5,0.0,25.25,6.75,47.0
2023-10-01,5.0,0.0,26.2,6.8,44.6
2023-11-01,4.5,0.0,25.5,6.75,47.5
2023-12-01,4.0,0.0,29.2,6.2,56.8
2024-01-01,5.0,0.0,22.5,6.25,56.75
2024-02-01,5.0,0.0,24.5,5.25,64.0
2024-03-01,4.6,0.0,26.0,5.6,50.8
2024-04-01,5.0,0.0,23.0,6.75,51.0
2024-05-01,4.0,0.0,24.75,7.5,46.5
2024-06-01,4.4,0.0,24.6,7.4,48.8
2024-07-01,4.25,0.0,27.25,6.5,60.5
2024-08-01,4.75,0.0,29.5,7.0,47.25
2024-09-01,4.8,0.0,43.8,7.4,45.6
2024-10-01,4.75,0.0,32.0,7.0,46.75
2024-11-01,4.5,0.0,29.0,6.25,57.5
2024-12-01,4.6,0.0,30.4,7.6,52.8
2025-01-01,4.5,0.0,24.25,6.5,58.25
2025-02-01,4.75,0.0,23.5,7.25,52.0
2025-03-01,4.2,0.0,26.8,6.8,48.4
