time [UTC],Smith's,Sakata
2021-08-01,11.0,4.0
2021-09-01,10.25,4.0
2021-10-01,17.8,5.0
2021-11-01,12.5,3.5
2021-12-01,9.75,4.0
2022-01-01,10.2,4.4
2022-02-01,14.0,4.5
2022-03-01,34.0,4.25
2022-04-01,16.5,4.0
2022-05-01,10.8,5.4
2022-06-01,11.0,5.0
2022-07-01,12.4,4.2
2022-08-01,12.5,5.75
2022-09-01,11.5,5.0
2022-10-01,11.6,5.2
2022-11-01,11.5,5.25
2022-12-01,12.5,3.75
2023-01-01,13.2,5.4
2023-02-01,13.25,6.0
2023-03-01,11.75,5.75
2023-04-01,11.4,3.6
2023-05-01,18.0,5.25
2023-06-01,12.25,4.25
2023-07-01,10.2,5.4
2023-08-01,11.0,5.5
2023-09-01,11.25,5.5
2023-10-01,11.4,5.6
2023-11-01,10.5,5.0
2023-12-01,10.2,5.6
2024-01-01,12.25,5.75
2024-02-01,12.0,6.0
2024-03-01,11.2,7.0
2024-04-01,12.0,5.5
2024-05-01,10.25,4.75
2024-06-01,10.2,6.4
2024-07-01,10.0,6.0
2024-08-01,11.75,9.0
2024-09-01,11.6,8.8
2024-10-01,12.0,6.5
2024-11-01,10.75,7.0
2024-12-01,11.2,6.6
2025-01-01,11.0,6.25
2025-02-01,12.75,6.25
2025-03-01,10.4,7.4
