category_name,brand_name,query_token,kind,detail,tier
Asian Foods & Condiments,AYAM,AYAM,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Bibigo,Bibigo,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Chang's,Chang's,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Golden Wok,Golden Wok,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Hong Kong Dim Sim Kitchen,Hong Kong Dim Sim Kitchen,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Just Cook,Just Cook,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Kailis Brothers (KB),Kailis Brothers (KB),term,naive:raw-term,trends.naive
Asian Foods & Condiments,Kikkoman,Kikkoman,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Lee Kum Kee,Lee Kum Kee,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Lucky Kitchen,Lucky Kitchen,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Marion's Kitchen,Marion's Kitchen,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Mr Chen's,Mr Chen's,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Obento,Obento,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Pandaroo,Pandaroo,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Roll’d,Roll’d,term,naive:raw-term,trends.naive
Asian Foods & Condiments,Urban Eats,Urban Eats,term,naive:raw-term,trends.naive
Audio Content,ABC Listen,ABC Listen,term,naive:raw-term,trends.naive
Audio Content,Apple Music,Apple Music,term,naive:raw-term,trends.naive
Audio Content,Audible,Audible,term,naive:raw-term,trends.naive
Audio Content,LiSTNR,LiSTNR,term,naive:raw-term,trends.naive
Audio Content,Mamamia,Mamamia,term,naive:raw-term,trends.naive
Audio Content,SXM Podcasts,SXM Podcasts,term,naive:raw-term,trends.naive
Audio Content,Schwartz Media,Schwartz Media,term,naive:raw-term,trends.naive
Audio Content,SoundCloud,SoundCloud,term,naive:raw-term,trends.naive
Audio Content,Spotify,Spotify,term,naive:raw-term,trends.naive
Audio Content,Wondery,Wondery,term,naive:raw-term,trends.naive
Audio Content,YouTube,YouTube,term,naive:raw-term,trends.naive
Audio Content,iHeartRadio,iHeartRadio,term,naive:raw-term,trends.naive
Body Care,Beach Road Naturals,Beach Road Naturals,term,naive:raw-term,trends.naive
Body Care,Bosisto's,Bosisto's,term,naive:raw-term,trends.naive
Body Care,Dove,Dove,term,naive:raw-term,trends.naive
Body Care,Epzen,Epzen,term,naive:raw-term,trends.naive
Body Care,Freshwater Farm,Freshwater Farm,term,naive:raw-term,trends.naive
Body Care,Glow Lab,Glow Lab,term,naive:raw-term,trends.naive
Body Care,Johnson's,Johnson's,term,naive:raw-term,trends.naive
Body Care,My Soda,My Soda,term,naive:raw-term,trends.naive
Body Care,OC Naturals,OC Naturals,term,naive:raw-term,trends.naive
Body Care,Palmolive,Palmolive,term,naive:raw-term,trends.naive
Body Care,Sukin,Sukin,term,naive:raw-term,trends.naive
Body Care,Sundae Body,Sundae Body,term,naive:raw-term,trends.naive
Body Care,Thankyou,Thankyou,term,naive:raw-term,trends.naive
Breakfast or Health Foods,Blue Frog Breakfast,Blue Frog Breakfast,term,naive:raw-term,trends.naive
Breakfast or Health Foods,Brookfarm,Brookfarm,term,naive:raw-term,trends.naive
Breakfast or Health Foods,Carman's,Carman's,term,naive:raw-term,trends.naive
Breakfast or Health Foods,Farmer Jo,Farmer Jo,term,naive:raw-term,trends.naive
Breakfast or Health Foods,Freshness Fine Foods,Freshness Fine Foods,term,naive:raw-term,trends.naive
