time [UTC],Myer,Birkenhead Point,Chadstone,DFO,Harbour Town
2021-08-01,36.0,0.0,4.0,3.0,3.0
2021-09-01,43.0,0.0,4.0,3.75,3.0
2021-10-01,47.4,0.8,8.6,6.8,3.0
2021-11-01,75.25,1.0,14.75,11.5,3.75
2021-12-01,81.25,1.5,19.75,15.0,5.5
2022-01-01,41.2,1.0,10.8,7.8,3.2
2022-02-01,37.0,1.0,10.75,7.5,3.0
2022-03-01,41.0,1.0,10.5,8.25,3.0
2022-04-01,44.75,1.0,12.5,11.5,4.75
2022-05-01,43.6,1.0,10.8,8.8,3.6
2022-06-01,47.0,1.0,12.25,11.25,4.25
2022-07-01,41.8,1.0,11.2,10.0,4.0
2022-08-01,39.25,1.0,10.75,9.25,3.5
2022-09-01,44.0,1.0,12.0,11.5,4.0
2022-10-01,43.6,1.0,11.8,10.0,3.8
2022-11-01,69.5,1.25,12.25,12.0,4.0
2022-12-01,82.5,1.25,20.0,16.25,6.0
2023-01-01,44.6,1.0,12.0,9.6,4.0
2023-02-01,35.5,1.0,10.25,8.25,3.0
2023-03-01,38.5,1.0,11.75,9.0,3.0
2023-04-01,42.4,1.0,13.0,11.2,4.4
2023-05-01,42.0,1.0,11.0,9.0,3.25
2023-06-01,45.25,1.0,12.25,10.5,3.75
2023-07-01,39.2,1.0,11.6,9.4,3.6
2023-08-01,35.25,1.0,10.0,9.25,3.0
2023-09-01,37.75,1.0,11.5,10.0,3.5
2023-10-01,41.2,1.0,10.4,9.2,3.2
2023-11-01,66.5,1.25,12.75,12.5,3.5
2023-12-01,72.8,1.2,17.6,16.2,5.2
2024-01-01,37.75,1.0,11.75,9.25,3.5
2024-02-01,34.0,1.0,9.5,8.0,3.0
2024-03-01,34.8,1.0,10.6,9.8,3.2
2024-04-01,37.0,1.0,10.75,10.0,3.25
2024-05-01,37.75,1.0,9.5,9.0,3.0
2024-06-01,41.4,1.0,10.8,10.6,3.6
2024-07-01,35.5,1.0,10.25,9.0,3.25
2024-08-01,33.75,1.0,9.5,8.5,3.0
2024-09-01,35.2,1.0,10.8,9.8,3.0
2024-10-01,39.75,1.0,10.25,9.0,3.25
2024-11-01,62.5,1.0,11.5,11.5,3.5
2024-12-01,72.0,1.2,16.0,14.8,4.6
2025-01-01,36.75,1.0,9.75,8.75,3.0
2025-02-01,30.75,1.0,9.25,7.0,2.0
2025-03-01,32.0,1.0,9.8,7.8,2.4
