category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Retail Establishments,Myer,2021-08-01,36.0,36.0,0,1.0,
Retail Establishments,Myer,2021-09-01,43.0,43.0,0,1.0,
Retail Establishments,Myer,2021-10-01,47.4,47.4,0,1.0,
Retail Establishments,Myer,2021-11-01,75.25,75.25,0,1.0,
Retail Establishments,Myer,2021-12-01,81.25,81.25,0,1.0,
Retail Establishments,Myer,2022-01-01,41.2,41.2,0,1.0,
Retail Establishments,Myer,2022-02-01,37.0,37.0,0,1.0,
Retail Establishments,Myer,2022-03-01,41.0,41.0,0,1.0,
Retail Establishments,Myer,2022-04-01,44.75,44.75,0,1.0,
Retail Establishments,Myer,2022-05-01,43.6,43.6,0,1.0,
Retail Establishments,Myer,2022-06-01,47.0,47.0,0,1.0,
Retail Establishments,Myer,2022-07-01,41.8,41.8,0,1.0,
Retail Establishments,Myer,2022-08-01,39.25,39.25,0,1.0,
Retail Establishments,Myer,2022-09-01,44.0,44.0,0,1.0,
Retail Establishments,Myer,2022-10-01,43.6,43.6,0,1.0,
Retail Establishments,Myer,2022-11-01,69.5,69.5,0,1.0,
Retail Establishments,Myer,2022-12-01,82.5,82.5,0,1.0,
Retail Establishments,Myer,2023-01-01,44.6,44.6,0,1.0,
Retail Establishments,Myer,2023-02-01,35.5,35.5,0,1.0,
Retail Establishments,Myer,2023-03-01,38.5,38.5,0,1.0,
Retail Establishments,Myer,2023-04-01,42.4,42.4,0,1.0,
Retail Establishments,Myer,2023-05-01,42.0,42.0,0,1.0,
Retail Establishments,Myer,2023-06-01,45.25,45.25,0,1.0,
Retail Establishments,Myer,2023-07-01,39.2,39.2,0,1.0,
Retail Establishments,Myer,2023-08-01,35.25,35.25,0,1.0,
Retail Establishments,Myer,2023-09-01,37.75,37.75,0,1.0,
Retail Establishments,Myer,2023-10-01,41.2,41.2,0,1.0,
Retail Establishments,Myer,2023-11-01,66.5,66.5,0,1.0,
Retail Establishments,Myer,2023-12-01,72.8,72.8,0,1.0,
Retail Establishments,Myer,2024-01-01,37.75,37.75,0,1.0,
Retail Establishments,Myer,2024-02-01,34.0,34.0,0,1.0,
Retail Establishments,Myer,2024-03-01,34.8,34.8,0,1.0,
Retail Establishments,Myer,2024-04-01,37.0,37.0,0,1.0,
Retail Establishments,Myer,2024-05-01,37.75,37.75,0,1.0,
Retail Establishments,Myer,2024-06-01,41.4,41.4,0,1.0,
Retail Establishments,Myer,2024-07-01,35.5,35.5,0,1.0,
Retail Establishments,Myer,2024-08-01,33.75,33.75,0,1.0,
Retail Establishments,Myer,2024-09-01,35.2,35.2,0,1.0,
Retail Establishments,Myer,2024-10-01,39.75,39.75,0,1.0,
Retail Establishments,Myer,2024-11-01,62.5,62.5,0,1.0,
Retail Establishments,Myer,2024-12-01,72.0,72.0,0,1.0,
Retail Establishments,Myer,2025-01-01,36.75,36.75,0,1.0,
Retail Establishments,Myer,2025-02-01,30.75,30.75,0,1.0,
Retail Establishments,Myer,2025-03-01,32.0,32.0,0,1.0,
Retail Establishments,Birkenhead Point,2021-08-01,0.0,0.0,0,1.0,
Retail Establishments,Birkenhead Point,2021-09-01,0.0,0.0,0,1.0,
Retail Establishments,Birkenhead Point,2021-10-01,0.8,0.8,0,1.0,
Retail Establishments,Birkenhead Point,2021-11-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2021-12-01,1.5,1.5,0,1.0,
Retail Establishments,Birkenhead Point,2022-01-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2022-02-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2022-03-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2022-04-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2022-05-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2022-06-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2022-07-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2022-08-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2022-09-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2022-10-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2022-11-01,1.25,1.25,0,1.0,
Retail Establishments,Birkenhead Point,2022-12-01,1.25,1.25,0,1.0,
Retail Establishments,Birkenhead Point,2023-01-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2023-02-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2023-03-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2023-04-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2023-05-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2023-06-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2023-07-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2023-08-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2023-09-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2023-10-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2023-11-01,1.25,1.25,0,1.0,
Retail Establishments,Birkenhead Point,2023-12-01,1.2,1.2,0,1.0,
Retail Establishments,Birkenhead Point,2024-01-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-02-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-03-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-04-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-05-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-06-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-07-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-08-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-09-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-10-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-11-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2024-12-01,1.2,1.2,0,1.0,
Retail Establishments,Birkenhead Point,2025-01-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2025-02-01,1.0,1.0,0,1.0,
Retail Establishments,Birkenhead Point,2025-03-01,1.0,1.0,0,1.0,
Retail Establishments,Chadstone,2021-08-01,4.0,4.0,0,1.0,
Retail Establishments,Chadstone,2021-09-01,4.0,4.0,0,1.0,
Retail Establishments,Chadstone,2021-10-01,8.6,8.6,0,1.0,
Retail Establishments,Chadstone,2021-11-01,14.75,14.75,0,1.0,
Retail Establishments,Chadstone,2021-12-01,19.75,19.75,0,1.0,
Retail Establishments,Chadstone,2022-01-01,10.8,10.8,0,1.0,
Retail Establishments,Chadstone,2022-02-01,10.75,10.75,0,1.0,
Retail Establishments,Chadstone,2022-03-01,10.5,10.5,0,1.0,
Retail Establishments,Chadstone,2022-04-01,12.5,12.5,0,1.0,
Retail Establishments,Chadstone,2022-05-01,10.8,10.8,0,1.0,
Retail Establishments,Chadstone,2022-06-01,12.25,12.25,0,1.0,
Retail Establishments,Chadstone,2022-07-01,11.2,11.2,0,1.0,
Retail Establishments,Chadstone,2022-08-01,10.75,10.75,0,1.0,
Retail Establishments,Chadstone,2022-09-01,12.0,12.0,0,1.0,
Retail Establishments,Chadstone,2022-10-01,11.8,11.8,0,1.0,
Retail Establishments,Chadstone,2022-11-01,12.25,12.25,0,1.0,
Retail Establishments,Chadstone,2022-12-01,20.0,20.0,0,1.0,
Retail Establishments,Chadstone,2023-01-01,12.0,12.0,0,1.0,
Retail Establishments,Chadstone,2023-02-01,10.25,10.25,0,1.0,
Retail Establishments,Chadstone,2023-03-01,11.75,11.75,0,1.0,
Retail Establishments,Chadstone,2023-04-01,13.0,13.0,0,1.0,
Retail Establishments,Chadstone,2023-05-01,11.0,11.0,0,1.0,
Retail Establishments,Chadstone,2023-06-01,12.25,12.25,0,1.0,
Retail Establishments,Chadstone,2023-07-01,11.6,11.6,0,1.0,
Retail Establishments,Chadstone,2023-08-01,10.0,10.0,0,1.0,
Retail Establishments,Chadstone,2023-09-01,11.5,11.5,0,1.0,
Retail Establishments,Chadstone,2023-10-01,10.4,10.4,0,1.0,
Retail Establishments,Chadstone,2023-11-01,12.75,12.75,0,1.0,
Retail Establishments,Chadstone,2023-12-01,17.6,17.6,0,1.0,
Retail Establishments,Chadstone,2024-01-01,11.75,11.75,0,1.0,
Retail Establishments,Chadstone,2024-02-01,9.5,9.5,0,1.0,
Retail Establishments,Chadstone,2024-03-01,10.6,10.6,0,1.0,
Retail Establishments,Chadstone,2024-04-01,10.75,10.75,0,1.0,
Retail Establishments,Chadstone,2024-05-01,9.5,9.5,0,1.0,
