time [UTC],Decor,Fressko,Hydro Flask,Owala,Smash
2021-08-01,0.0,0.0,18.0,0.0,0.0
2021-09-01,0.5,0.0,16.25,0.0,0.0
2021-10-01,0.0,0.0,12.8,0.0,0.0
2021-11-01,0.0,0.75,23.25,0.0,0.0
2021-12-01,0.0,0.0,27.5,0.0,0.0
2022-01-01,0.0,0.0,30.0,0.0,0.0
2022-02-01,0.0,1.0,33.0,0.0,0.0
2022-03-01,0.0,0.5,26.5,0.0,0.0
2022-04-01,0.0,1.75,20.25,0.0,0.0
2022-05-01,0.0,1.2,19.2,0.0,0.0
2022-06-01,0.0,0.0,16.75,0.0,0.0
2022-07-01,0.0,0.0,29.8,0.0,0.0
2022-08-01,0.0,0.0,32.75,0.0,0.0
2022-09-01,0.0,0.0,25.75,0.0,0.0
2022-10-01,0.0,0.0,27.4,2.8,0.0
2022-11-01,0.0,0.5,37.0,1.75,0.0
2022-12-01,0.0,0.0,41.75,0.75,0.0
2023-01-01,0.0,0.0,35.4,3.2,0.0
2023-02-01,0.0,0.0,40.5,1.25,0.0
2023-03-01,0.0,0.0,35.0,2.75,0.0
2023-04-01,0.0,2.0,14.6,1.8,0.0
2023-05-01,0.0,1.25,20.0,3.5,0.0
2023-06-01,0.0,1.75,19.25,4.0,0.0
2023-07-01,0.0,2.2,19.4,6.8,0.0
2023-08-01,0.0,1.5,23.5,15.75,0.0
2023-09-01,0.0,0.75,17.0,10.5,0.0
2023-10-01,0.0,2.8,16.6,11.6,0.0
2023-11-01,0.0,3.25,30.25,39.25,0.0
2023-12-01,0.0,0.0,33.2,36.4,0.0
2024-01-01,0.0,1.75,29.5,40.5,0.0
2024-02-01,0.0,3.0,26.0,48.5,0.0
2024-03-01,0.4,0.0,24.8,46.6,0.0
2024-04-01,0.0,0.0,19.25,48.0,0.0
2024-05-01,0.0,2.0,19.0,44.75,0.0
2024-06-01,0.0,3.6,14.6,42.2,0.0
2024-07-01,0.5,1.75,16.5,54.75,0.0
2024-08-01,1.75,0.0,17.0,76.75,0.0
2024-09-01,0.4,3.8,16.8,58.4,0.0
2024-10-01,1.0,4.25,18.5,60.25,0.0
2024-11-01,0.0,4.75,29.0,86.25,0.0
2024-12-01,1.2,5.4,29.8,87.0,0.0
2025-01-01,0.0,6.5,22.0,71.75,0.0
2025-02-01,0.5,5.25,23.5,75.5,0.0
2025-03-01,1.0,6.0,17.8,69.4,0.0
