time [UTC],Decor,Stanley,Waterdrop,Yeti,frank green
2021-08-01,32.0,31.0,0.0,15.0,6.0
2021-09-01,32.5,29.75,0.0,13.0,6.0
2021-10-01,29.6,30.4,0.0,14.6,6.2
2021-11-01,30.25,31.0,0.0,22.25,10.0
2021-12-01,26.25,30.75,0.0,29.25,10.25
2022-01-01,29.4,32.6,0.0,22.0,15.6
2022-02-01,27.5,32.75,0.0,19.0,38.25
2022-03-01,26.25,32.75,0.0,18.75,25.75
2022-04-01,26.25,33.0,0.0,17.75,18.5
2022-05-01,23.4,36.0,0.0,16.0,20.4
2022-06-01,24.0,36.25,0.0,14.75,17.25
2022-07-01,26.6,30.6,0.0,16.4,16.8
2022-08-01,26.5,34.5,0.0,21.75,22.25
2022-09-01,26.0,31.25,0.0,17.5,18.0
2022-10-01,26.8,32.8,0.0,20.6,20.2
2022-11-01,27.75,33.25,0.0,35.25,33.75
2022-12-01,25.25,33.75,0.0,43.0,38.75
2023-01-01,28.4,37.8,0.4,36.0,34.2
2023-02-01,24.0,34.5,0.0,31.75,44.0
2023-03-01,23.0,34.75,0.0,30.25,69.25
2023-04-01,24.2,38.2,0.0,26.6,31.0
2023-05-01,23.25,37.0,0.0,22.5,32.75
2023-06-01,24.75,38.25,0.0,21.75,35.0
2023-07-01,25.0,38.8,0.2,25.6,30.0
2023-08-01,23.5,39.0,0.0,30.25,29.0
2023-09-01,25.25,41.0,0.0,31.75,26.5
2023-10-01,25.6,41.6,0.0,43.6,29.8
2023-11-01,28.5,47.0,0.25,54.25,42.5
2023-12-01,27.0,54.6,0.2,65.2,44.2
2024-01-01,26.5,60.75,2.75,45.5,27.5
2024-02-01,23.0,47.25,0.5,41.25,26.75
2024-03-01,22.4,47.2,0.0,34.0,23.2
2024-04-01,22.25,44.5,0.25,32.25,18.5
2024-05-01,21.25,42.75,0.0,33.75,24.25
2024-06-01,22.6,46.4,0.2,28.2,19.0
2024-07-01,23.5,39.5,0.25,30.0,16.0
2024-08-01,23.0,39.75,0.25,37.25,16.5
2024-09-01,26.2,41.6,0.2,36.8,14.2
2024-10-01,28.75,44.5,0.5,39.5,15.75
2024-11-01,30.0,48.25,0.0,69.25,27.75
2024-12-01,28.8,53.2,0.8,82.8,28.4
2025-01-01,30.25,49.75,2.25,49.75,17.0
2025-02-01,25.0,45.0,1.0,47.5,16.75
2025-03-01,23.6,43.6,0.6,42.0,14.6
