time [UTC],Sukin,Aesop,Avène,Bangn Body,Benzac
2021-08-01,19.0,33.0,15.0,0.0,5.0
2021-09-01,17.75,32.5,14.25,0.0,5.0
2021-10-01,16.4,29.0,12.8,0.0,4.4
2021-11-01,17.5,44.75,12.0,0.0,5.75
2021-12-01,18.0,56.5,11.25,0.0,5.0
2022-01-01,17.4,33.2,13.4,0.0,5.6
2022-02-01,15.5,34.0,12.0,0.0,6.0
2022-03-01,16.5,34.5,12.0,0.0,7.0
2022-04-01,21.5,36.25,13.5,0.0,6.75
2022-05-01,20.8,36.0,12.6,0.0,7.6
2022-06-01,18.25,34.0,13.0,0.0,6.75
2022-07-01,17.8,34.6,18.2,0.0,7.2
2022-08-01,18.75,38.0,16.75,0.0,7.25
2022-09-01,18.5,34.5,15.5,0.0,6.75
2022-10-01,16.6,37.4,14.6,0.2,6.0
2022-11-01,19.5,56.0,16.75,0.0,6.25
2022-12-01,19.75,73.0,15.75,0.0,6.5
2023-01-01,19.2,39.4,16.2,0.0,6.8
2023-02-01,18.5,44.0,15.0,0.0,5.75
2023-03-01,18.5,37.75,14.5,0.0,6.5
2023-04-01,22.6,54.4,17.0,0.0,7.6
2023-05-01,18.5,40.75,21.25,0.0,7.0
2023-06-01,20.75,37.25,18.75,0.25,7.25
2023-07-01,20.2,38.6,21.4,0.0,7.2
2023-08-01,20.5,40.75,25.0,0.0,8.0
2023-09-01,18.25,39.75,25.25,1.75,7.25
2023-10-01,19.4,41.8,21.6,2.6,7.6
2023-11-01,21.75,57.75,21.25,4.5,7.75
2023-12-01,21.4,70.8,19.6,3.0,8.2
2024-01-01,19.75,38.0,25.75,2.25,9.0
2024-02-01,17.5,39.5,19.75,3.5,8.0
2024-03-01,16.4,37.0,20.6,2.6,8.4
2024-04-01,17.75,42.0,24.5,2.75,8.5
2024-05-01,16.5,45.25,21.75,1.25,7.75
2024-06-01,16.0,37.8,20.6,1.8,9.2
2024-07-01,17.25,39.75,24.5,2.5,8.0
2024-08-01,15.75,42.75,20.75,4.0,8.0
2024-09-01,15.8,43.8,23.4,3.6,8.4
2024-10-01,17.5,44.25,21.5,5.5,8.25
2024-11-01,17.0,61.0,23.25,5.75,7.75
2024-12-01,19.6,78.8,20.2,4.4,7.6
2025-01-01,17.25,41.0,24.5,4.75,8.5
2025-02-01,17.25,42.25,19.5,3.75,9.75
2025-03-01,16.0,40.0,17.8,4.2,8.2
