time [UTC],Sukin,Bondi Sands,Boost Lab,CeraVe,Drunk Elephant
2021-08-01,18.0,14.0,2.0,30.0,8.0
2021-09-01,16.75,19.5,0.5,31.25,10.75
2021-10-01,15.4,22.4,0.0,25.6,7.8
2021-11-01,16.25,28.25,0.0,23.5,8.0
2021-12-01,16.75,29.0,0.0,23.25,8.5
2022-01-01,15.8,20.8,0.2,28.0,10.2
2022-02-01,14.75,17.25,0.0,31.75,9.0
2022-03-01,15.5,15.25,0.0,32.5,9.5
2022-04-01,20.0,16.25,0.0,34.0,9.25
2022-05-01,18.6,15.4,0.4,31.2,10.0
2022-06-01,16.75,16.5,0.0,36.75,9.5
2022-07-01,16.0,18.6,0.4,38.8,11.6
2022-08-01,17.0,21.75,0.0,37.25,11.75
2022-09-01,16.75,28.0,0.25,40.25,11.75
2022-10-01,14.8,30.2,0.2,38.0,14.4
2022-11-01,17.75,35.25,1.0,42.25,25.5
2022-12-01,17.75,34.75,0.75,43.0,36.0
2023-01-01,17.6,32.2,0.4,46.6,54.8
2023-02-01,16.75,24.0,0.75,43.25,35.0
2023-03-01,16.25,20.0,0.5,41.25,25.75
2023-04-01,21.0,22.6,1.2,47.4,28.8
2023-05-01,16.5,22.5,1.25,50.25,26.25
2023-06-01,18.75,25.0,1.75,48.0,28.25
2023-07-01,18.4,27.2,5.8,50.2,29.6
2023-08-01,18.75,26.75,5.25,53.0,30.5
2023-09-01,17.25,37.5,5.75,57.5,28.75
2023-10-01,17.8,32.6,5.0,51.4,28.4
2023-11-01,19.75,36.0,5.0,52.0,32.0
2023-12-01,19.4,34.8,3.6,54.6,34.0
2024-01-01,18.0,29.5,2.5,73.25,32.25
2024-02-01,15.25,21.75,5.0,52.75,20.25
2024-03-01,15.2,20.6,5.0,48.4,16.4
2024-04-01,15.75,19.75,5.5,48.0,14.75
2024-05-01,15.5,19.25,5.0,48.5,11.75
2024-06-01,15.2,20.2,5.2,47.6,10.2
2024-07-01,15.75,21.75,6.0,51.25,9.5
2024-08-01,14.25,23.5,5.0,44.75,8.5
2024-09-01,14.2,27.8,4.4,50.0,8.4
2024-10-01,15.75,27.5,4.5,46.75,10.0
2024-11-01,15.5,30.5,6.25,48.0,12.5
2024-12-01,17.6,30.6,5.2,46.8,9.4
2025-01-01,15.75,25.5,5.25,54.5,8.5
2025-02-01,16.0,21.5,5.25,44.75,6.75
2025-03-01,14.4,21.0,5.0,42.8,8.0
