time [UTC],Sukin,Frank Body,Go-To,Kiehl's,La Roche-Posay
2021-08-01,40.0,16.0,7.0,14.0,11.0
2021-09-01,37.75,15.75,3.5,19.25,9.25
2021-10-01,34.8,13.8,0.0,20.8,7.0
2021-11-01,36.75,23.0,4.25,26.5,7.5
2021-12-01,37.75,21.75,0.0,20.0,7.75
2022-01-01,36.2,15.4,3.4,15.2,8.0
2022-02-01,33.25,14.0,3.0,15.75,9.0
2022-03-01,35.0,13.5,4.25,21.0,8.25
2022-04-01,45.25,12.75,3.75,24.5,8.5
2022-05-01,42.0,11.0,2.4,30.6,8.8
2022-06-01,38.25,11.5,3.0,29.5,9.25
2022-07-01,36.2,12.6,4.2,28.4,13.2
2022-08-01,39.25,13.5,4.0,31.0,14.0
2022-09-01,37.5,13.5,3.0,27.0,15.25
2022-10-01,33.6,15.2,3.6,25.6,12.8
2022-11-01,40.5,24.25,4.5,44.0,12.75
2022-12-01,40.25,25.25,2.0,78.25,13.5
2023-01-01,39.4,16.2,2.8,24.6,14.4
2023-02-01,37.75,15.5,2.0,23.0,10.75
2023-03-01,36.75,17.5,4.0,24.25,10.5
2023-04-01,47.4,16.8,4.6,27.4,10.2
2023-05-01,37.75,21.0,3.5,32.75,13.5
2023-06-01,42.75,18.0,3.25,26.0,13.0
2023-07-01,41.8,15.8,2.4,26.0,16.2
2023-08-01,42.75,14.5,3.25,32.0,16.25
2023-09-01,39.25,14.5,3.5,24.25,16.75
2023-10-01,40.8,20.4,3.0,26.0,13.8
2023-11-01,45.0,23.75,4.75,39.5,14.5
2023-12-01,44.6,26.2,5.2,31.0,14.0
2024-01-01,41.0,14.5,4.0,24.25,19.75
2024-02-01,35.0,13.75,2.0,24.5,13.5
2024-03-01,34.6,12.4,2.2,25.6,12.8
2024-04-01,36.0,15.0,2.75,20.75,12.25
2024-05-01,35.0,13.0,3.0,24.75,13.0
2024-06-01,34.0,11.2,3.0,23.6,14.8
2024-07-01,35.75,12.5,3.0,24.0,13.25
2024-08-01,33.0,12.5,3.25,28.0,11.75
2024-09-01,32.0,14.4,3.0,21.2,16.2
2024-10-01,35.75,15.0,5.25,31.5,16.75
2024-11-01,34.75,21.0,5.5,35.5,18.75
2024-12-01,39.4,21.2,3.8,28.0,15.2
2025-01-01,36.0,12.0,2.5,21.75,17.75
2025-02-01,36.25,11.5,2.25,18.75,15.25
2025-03-01,32.2,11.8,3.2,19.4,13.6
