time [UTC],Sukin,MCoBeauty,Mecca,Mecca Cosmetica,Paula's Choice
2021-08-01,2.0,1.0,27.0,2.0,2.0
2021-09-01,2.0,0.75,30.5,2.0,2.0
2021-10-01,2.2,0.8,32.4,2.0,1.4
2021-11-01,2.25,0.75,39.75,2.0,1.5
2021-12-01,2.0,0.5,43.75,2.5,1.5
2022-01-01,2.0,0.4,31.4,1.2,2.0
2022-02-01,2.0,1.0,28.5,1.25,2.0
2022-03-01,2.0,1.0,28.75,1.5,2.0
2022-04-01,2.75,1.0,32.0,1.75,2.25
2022-05-01,2.6,1.0,31.4,1.6,1.8
2022-06-01,2.0,1.25,31.25,2.0,2.0
2022-07-01,2.0,1.8,35.0,2.0,2.0
2022-08-01,2.25,1.75,36.5,2.0,2.0
2022-09-01,2.25,1.25,37.75,2.0,2.0
2022-10-01,2.0,1.6,39.2,2.0,2.0
2022-11-01,2.25,1.5,58.25,2.0,2.0
2022-12-01,2.25,1.75,70.5,2.75,2.25
2023-01-01,2.0,2.0,42.6,1.8,2.0
2023-02-01,2.25,2.0,39.0,2.0,2.0
2023-03-01,2.0,2.0,35.25,1.5,2.0
2023-04-01,2.8,3.6,40.8,1.8,2.0
2023-05-01,2.25,3.75,38.0,2.0,2.0
2023-06-01,2.5,5.25,38.5,1.25,2.0
2023-07-01,2.6,5.8,40.0,2.0,2.0
2023-08-01,2.5,4.75,44.5,1.75,2.0
2023-09-01,2.0,5.25,43.5,1.25,2.0
2023-10-01,2.2,6.0,56.8,2.0,2.0
2023-11-01,2.5,6.5,74.25,2.0,2.25
2023-12-01,2.6,6.2,77.4,1.8,1.8
2024-01-01,2.25,5.0,44.0,1.0,2.0
2024-02-01,2.0,7.0,43.0,1.0,1.75
2024-03-01,2.0,9.6,39.6,1.0,2.0
2024-04-01,2.0,8.25,43.75,1.0,2.0
2024-05-01,2.0,7.25,36.75,1.0,2.0
2024-06-01,2.2,11.2,38.2,1.0,1.4
2024-07-01,2.0,12.0,43.25,1.0,1.75
2024-08-01,2.0,8.5,40.25,1.0,2.0
2024-09-01,2.0,8.8,40.2,1.0,1.8
2024-10-01,2.0,8.75,47.5,1.0,1.5
2024-11-01,2.0,12.5,60.5,1.0,1.5
2024-12-01,2.2,9.0,70.8,1.0,1.8
2025-01-01,2.0,6.0,37.75,1.0,1.5
2025-02-01,2.0,5.5,35.75,1.0,1.5
2025-03-01,2.0,6.0,34.0,1.0,1.4
