time [UTC],Sukin,Revolution,Soap & Glory,Software,Sol de Janeiro
2021-08-01,14.0,2.0,1.0,4.0,2.0
2021-09-01,13.25,0.25,0.25,4.25,1.5
2021-10-01,12.4,0.2,0.0,3.6,1.8
2021-11-01,13.25,0.5,0.25,4.5,2.25
2021-12-01,13.5,0.0,1.0,3.75,2.75
2022-01-01,12.6,0.2,0.4,6.8,3.0
2022-02-01,11.5,0.5,1.0,7.5,3.25
2022-03-01,12.0,1.0,0.75,8.0,3.5
2022-04-01,15.75,3.25,0.75,7.5,5.25
2022-05-01,15.0,1.2,0.0,8.0,4.4
2022-06-01,13.5,1.0,0.75,7.0,5.75
2022-07-01,13.2,0.2,0.8,7.8,7.4
2022-08-01,13.75,0.0,0.75,8.0,10.75
2022-09-01,13.75,0.0,0.5,6.5,16.5
2022-10-01,12.2,0.8,1.2,7.0,16.0
2022-11-01,14.5,0.75,2.25,6.25,32.0
2022-12-01,14.5,0.75,2.0,6.25,35.5
2023-01-01,14.4,0.2,1.2,6.4,28.8
2023-02-01,13.5,0.25,1.25,7.75,20.5
2023-03-01,13.25,0.25,1.0,8.0,17.0
2023-04-01,16.6,0.2,1.4,7.2,18.2
2023-05-01,13.5,0.25,1.25,8.5,20.0
2023-06-01,15.25,0.25,1.5,7.5,21.25
2023-07-01,15.0,3.6,1.6,8.2,22.8
2023-08-01,15.0,9.5,1.75,8.25,29.5
2023-09-01,13.5,9.75,2.0,7.5,31.5
2023-10-01,14.6,7.4,2.4,7.0,42.2
2023-11-01,16.0,9.5,3.0,6.75,71.75
2023-12-01,15.8,8.8,4.2,6.6,76.6
2024-01-01,14.75,1.75,2.0,7.0,52.0
2024-02-01,12.5,2.75,1.25,8.75,51.0
2024-03-01,12.2,5.2,1.4,8.8,41.6
2024-04-01,13.25,1.5,1.0,8.0,34.25
2024-05-01,12.25,0.25,0.75,9.0,32.5
2024-06-01,11.6,0.2,1.2,7.6,29.0
2024-07-01,13.0,1.25,1.75,9.25,32.5
2024-08-01,11.75,5.0,1.0,8.75,33.0
2024-09-01,11.6,4.2,1.6,8.0,32.0
2024-10-01,12.75,1.5,2.0,7.75,35.0
2024-11-01,12.75,3.0,3.0,6.25,54.25
2024-12-01,14.6,2.2,3.4,6.4,50.2
2025-01-01,13.0,4.5,1.75,6.5,25.0
2025-02-01,12.75,0.75,1.5,8.25,22.0
2025-03-01,11.8,0.8,1.0,7.8,20.6
