time [UTC],Sukin,The Body Shop,The Inkey List,The Ordinary,Ultra Violette
2021-08-01,21.0,29.0,3.0,68.0,5.0
2021-09-01,19.75,33.25,3.0,66.5,5.75
2021-10-01,18.2,35.8,1.8,51.0,8.4
2021-11-01,19.0,51.5,1.5,51.5,7.5
2021-12-01,19.5,60.5,1.25,43.0,7.25
2022-01-01,18.8,29.2,2.8,50.4,6.8
2022-02-01,17.5,25.0,2.5,53.75,4.75
2022-03-01,18.25,25.0,3.5,62.5,4.5
2022-04-01,23.75,24.5,2.25,70.25,5.0
2022-05-01,22.0,24.2,2.2,64.8,3.8
2022-06-01,19.75,25.25,2.75,70.0,4.25
2022-07-01,18.8,25.6,3.0,76.0,4.6
2022-08-01,20.5,28.25,3.25,75.0,10.0
2022-09-01,19.75,30.75,2.25,76.5,6.5
2022-10-01,17.6,33.8,2.0,74.6,6.0
2022-11-01,21.25,54.0,2.75,84.0,7.75
2022-12-01,20.75,63.5,2.75,71.0,7.5
2023-01-01,20.6,30.4,3.0,72.4,6.6
2023-02-01,19.5,25.5,2.0,62.75,6.0
2023-03-01,19.25,26.0,1.5,67.0,4.5
2023-04-01,24.8,26.4,2.4,76.2,5.4
2023-05-01,19.5,25.25,2.25,72.5,5.5
2023-06-01,22.0,23.25,1.75,74.5,5.25
2023-07-01,21.8,23.2,1.8,80.0,5.4
2023-08-01,22.25,25.0,2.0,82.75,5.75
2023-09-01,20.25,25.5,2.5,81.0,16.5
2023-10-01,21.2,27.8,2.8,72.4,6.8
2023-11-01,23.25,43.5,2.5,86.25,10.0
2023-12-01,23.4,52.0,2.2,74.8,11.2
2024-01-01,21.5,25.5,2.0,70.5,9.25
2024-02-01,18.0,26.75,2.0,61.5,6.0
2024-03-01,18.0,23.4,0.8,64.2,4.8
2024-04-01,18.75,22.0,1.75,64.5,5.25
2024-05-01,18.5,22.25,1.0,61.75,4.5
2024-06-01,17.8,22.0,0.4,59.0,4.8
2024-07-01,19.0,21.25,1.75,64.75,5.25
2024-08-01,17.25,19.5,0.75,61.5,6.0
2024-09-01,16.6,23.0,0.8,64.4,12.0
2024-10-01,18.75,25.25,0.5,62.25,6.75
2024-11-01,18.25,34.25,0.25,73.5,10.5
2024-12-01,20.8,38.2,0.8,64.8,10.0
2025-01-01,18.75,19.75,0.5,68.5,8.0
2025-02-01,19.0,17.5,0.5,65.5,5.25
2025-03-01,16.8,15.8,0.8,65.2,5.6
