category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Skincare (Female Only),Sukin,2021-08-01,20.0,20.0,0,1.0,
Skincare (Female Only),Sukin,2021-09-01,19.25,19.25,0,1.0,
Skincare (Female Only),Sukin,2021-10-01,17.4,17.4,0,1.0,
Skincare (Female Only),Sukin,2021-11-01,18.5,18.5,0,1.0,
Skincare (Female Only),Sukin,2021-12-01,19.25,19.25,0,1.0,
Skincare (Female Only),Sukin,2022-01-01,18.6,18.6,0,1.0,
Skincare (Female Only),Sukin,2022-02-01,16.75,16.75,0,1.0,
Skincare (Female Only),Sukin,2022-03-01,17.75,17.75,0,1.0,
Skincare (Female Only),Sukin,2022-04-01,22.75,22.75,0,1.0,
Skincare (Female Only),Sukin,2022-05-01,21.0,21.0,0,1.0,
Skincare (Female Only),Sukin,2022-06-01,19.5,19.5,0,1.0,
Skincare (Female Only),Sukin,2022-07-01,18.2,18.2,0,1.0,
Skincare (Female Only),Sukin,2022-08-01,19.75,19.75,0,1.0,
Skincare (Female Only),Sukin,2022-09-01,18.75,18.75,0,1.0,
Skincare (Female Only),Sukin,2022-10-01,17.2,17.2,0,1.0,
Skincare (Female Only),Sukin,2022-11-01,20.5,20.5,0,1.0,
Skincare (Female Only),Sukin,2022-12-01,20.5,20.5,0,1.0,
Skincare (Female Only),Sukin,2023-01-01,19.8,19.8,0,1.0,
Skincare (Female Only),Sukin,2023-02-01,19.0,19.0,0,1.0,
Skincare (Female Only),Sukin,2023-03-01,18.5,18.5,0,1.0,
Skincare (Female Only),Sukin,2023-04-01,24.0,24.0,0,1.0,
Skincare (Female Only),Sukin,2023-05-01,19.0,19.0,0,1.0,
Skincare (Female Only),Sukin,2023-06-01,21.75,21.75,0,1.0,
Skincare (Female Only),Sukin,2023-07-01,21.2,21.2,0,1.0,
Skincare (Female Only),Sukin,2023-08-01,21.75,21.75,0,1.0,
Skincare (Female Only),Sukin,2023-09-01,20.0,20.0,0,1.0,
