time [UTC],Foot Locker,Culture Kings,General Pants Co.,JD Sports,PUSHAS
2021-08-01,17.0,40.0,0.0,52.0,1.0
2021-09-01,18.5,40.75,0.0,44.5,1.25
2021-10-01,20.2,39.2,0.0,46.2,1.0
2021-11-01,26.5,67.5,0.0,51.0,1.0
2021-12-01,31.5,76.25,0.0,57.0,1.25
2022-01-01,20.0,37.6,0.0,29.8,1.4
2022-02-01,19.0,38.5,0.0,29.75,1.0
2022-03-01,20.75,41.0,0.0,36.5,1.5
2022-04-01,21.5,42.75,0.0,41.25,1.0
2022-05-01,21.0,44.8,0.0,39.4,1.0
2022-06-01,21.5,42.0,0.25,44.5,1.25
2022-07-01,22.6,45.0,0.0,46.8,2.0
2022-08-01,22.0,43.0,0.0,45.25,2.0
2022-09-01,21.75,35.75,0.0,43.75,1.75
2022-10-01,19.6,32.8,0.0,40.6,1.8
2022-11-01,24.25,57.0,0.0,54.5,2.0
2022-12-01,31.75,58.75,0.0,68.25,2.25
2023-01-01,22.6,31.4,0.0,38.6,2.0
2023-02-01,18.75,30.0,0.0,35.25,1.75
2023-03-01,18.0,35.5,0.0,44.25,1.75
2023-04-01,21.2,40.4,0.0,48.6,1.8
2023-05-01,20.25,37.25,0.0,48.5,1.25
2023-06-01,23.75,36.75,0.0,54.5,2.0
2023-07-01,22.0,32.4,0.0,50.4,1.8
2023-08-01,21.5,31.5,0.0,47.0,1.5
2023-09-01,21.25,37.0,0.25,45.5,1.5
2023-10-01,18.6,29.8,0.0,42.8,1.0
2023-11-01,24.75,51.5,0.0,58.75,1.5
2023-12-01,26.0,45.2,0.0,59.2,1.4
2024-01-01,16.75,22.25,0.0,37.75,1.0
2024-02-01,13.0,22.25,0.0,34.0,1.0
2024-03-01,15.0,24.0,0.0,42.0,1.0
2024-04-01,16.25,26.5,0.0,47.5,1.0
2024-05-01,15.75,27.5,0.0,42.75,1.0
2024-06-01,16.2,27.8,0.0,51.4,1.0
2024-07-01,15.75,23.75,0.0,47.75,1.0
2024-08-01,14.75,21.0,0.0,43.0,1.25
2024-09-01,14.4,20.0,0.0,43.4,0.8
2024-10-01,11.5,19.75,0.0,35.5,0.25
2024-11-01,16.5,32.0,0.0,54.5,1.0
2024-12-01,19.4,33.4,0.0,63.0,0.8
2025-01-01,12.5,18.0,0.0,39.0,1.0
2025-02-01,11.0,19.25,0.0,30.5,1.0
2025-03-01,10.6,20.4,0.2,33.2,1.0
