category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Streetwear,Foot Locker,2021-08-01,32.0,32.0,0,1.0,
Streetwear,Foot Locker,2021-09-01,39.25,39.25,0,1.0,
Streetwear,Foot Locker,2021-10-01,39.6,39.6,0,1.0,
Streetwear,Foot Locker,2021-11-01,47.0,47.0,0,1.0,
Streetwear,Foot Locker,2021-12-01,53.5,53.5,0,1.0,
Streetwear,Foot Locker,2022-01-01,33.8,33.8,0,1.0,
Streetwear,Foot Locker,2022-02-01,30.5,30.5,0,1.0,
Streetwear,Foot Locker,2022-03-01,33.0,33.0,0,1.0,
Streetwear,Foot Locker,2022-04-01,32.0,32.0,0,1.0,
Streetwear,Foot Locker,2022-05-01,32.6,32.6,0,1.0,
Streetwear,Foot Locker,2022-06-01,38.75,38.75,0,1.0,
Streetwear,Foot Locker,2022-07-01,38.8,38.8,0,1.0,
Streetwear,Foot Locker,2022-08-01,39.5,39.5,0,1.0,
Streetwear,Foot Locker,2022-09-01,33.25,33.25,0,1.0,
Streetwear,Foot Locker,2022-10-01,31.8,31.8,0,1.0,
Streetwear,Foot Locker,2022-11-01,42.5,42.5,0,1.0,
Streetwear,Foot Locker,2022-12-01,51.0,51.0,0,1.0,
Streetwear,Foot Locker,2023-01-01,37.6,37.6,0,1.0,
Streetwear,Foot Locker,2023-02-01,31.75,31.75,0,1.0,
Streetwear,Foot Locker,2023-03-01,32.0,32.0,0,1.0,
Streetwear,Foot Locker,2023-04-01,36.2,36.2,0,1.0,
Streetwear,Foot Locker,2023-05-01,35.0,35.0,0,1.0,
Streetwear,Foot Locker,2023-06-01,39.5,39.5,0,1.0,
Streetwear,Foot Locker,2023-07-01,36.2,36.2,0,1.0,
Streetwear,Foot Locker,2023-08-01,37.75,37.75,0,1.0,
Streetwear,Foot Locker,2023-09-01,36.25,36.25,0,1.0,
Streetwear,Foot Locker,2023-10-01,33.6,33.6,0,1.0,
Streetwear,Foot Locker,2023-11-01,43.75,43.75,0,1.0,
Streetwear,Foot Locker,2023-12-01,46.0,46.0,0,1.0,
Streetwear,Foot Locker,2024-01-01,30.0,30.0,0,1.0,
Streetwear,Foot Locker,2024-02-01,25.25,25.25,0,1.0,
Streetwear,Foot Locker,2024-03-01,29.6,29.6,0,1.0,
Streetwear,Foot Locker,2024-04-01,32.25,32.25,0,1.0,
Streetwear,Foot Locker,2024-05-01,31.75,31.75,0,1.0,
Streetwear,Foot Locker,2024-06-01,30.6,30.6,0,1.0,
Streetwear,Foot Locker,2024-07-01,32.5,32.5,0,1.0,
Streetwear,Foot Locker,2024-08-01,30.5,30.5,0,1.0,
Streetwear,Foot Locker,2024-09-01,27.6,27.6,0,1.0,
Streetwear,Foot Locker,2024-10-01,24.0,24.0,0,1.0,
Streetwear,Foot Locker,2024-11-01,31.75,31.75,0,1.0,
Streetwear,Foot Locker,2024-12-01,37.6,37.6,0,1.0,
Streetwear,Foot Locker,2025-01-01,24.0,24.0,0,1.0,
Streetwear,Foot Locker,2025-02-01,23.75,23.75,0,1.0,
Streetwear,Foot Locker,2025-03-01,22.0,22.0,0,1.0,
Streetwear,Culture Kings,2021-08-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2021-09-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2021-10-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2021-11-01,9.0,9.0,0,1.0,
Streetwear,Culture Kings,2021-12-01,20.75,20.75,0,1.0,
Streetwear,Culture Kings,2022-01-01,18.6,18.6,0,1.0,
Streetwear,Culture Kings,2022-02-01,20.0,20.0,0,1.0,
Streetwear,Culture Kings,2022-03-01,21.0,21.0,0,1.0,
Streetwear,Culture Kings,2022-04-01,0.5,0.5,0,1.0,
Streetwear,Culture Kings,2022-05-01,0.8,0.8,0,1.0,
Streetwear,Culture Kings,2022-06-01,0.75,0.75,0,1.0,
Streetwear,Culture Kings,2022-07-01,0.4,0.4,0,1.0,
Streetwear,Culture Kings,2022-08-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2022-09-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2022-10-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2022-11-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2022-12-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2023-01-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2023-02-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2023-03-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2023-04-01,6.6,6.6,0,1.0,
Streetwear,Culture Kings,2023-05-01,21.0,21.0,0,1.0,
Streetwear,Culture Kings,2023-06-01,20.5,20.5,0,1.0,
Streetwear,Culture Kings,2023-07-01,17.8,17.8,0,1.0,
Streetwear,Culture Kings,2023-08-01,16.0,16.0,0,1.0,
Streetwear,Culture Kings,2023-09-01,9.5,9.5,0,1.0,
Streetwear,Culture Kings,2023-10-01,9.0,9.0,0,1.0,
Streetwear,Culture Kings,2023-11-01,10.0,10.0,0,1.0,
Streetwear,Culture Kings,2023-12-01,26.8,26.8,0,1.0,
Streetwear,Culture Kings,2024-01-01,12.0,12.0,0,1.0,
Streetwear,Culture Kings,2024-02-01,11.0,11.0,0,1.0,
Streetwear,Culture Kings,2024-03-01,11.6,11.6,0,1.0,
Streetwear,Culture Kings,2024-04-01,6.0,6.0,0,1.0,
Streetwear,Culture Kings,2024-05-01,6.0,6.0,0,1.0,
Streetwear,Culture Kings,2024-06-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2024-07-01,0.0,0.0,0,1.0,
Streetwear,Culture Kings,2024-08-01,0.0,0.0,0,1.0,
