time [UTC],Allens,Darrell Lea,Double ‘D’,FUNDAY,Haribo
2021-08-01,43.0,47.0,0.0,0.0,9.0
2021-09-01,35.0,18.25,0.0,2.5,6.25
2021-10-01,31.0,10.0,0.0,1.6,6.6
2021-11-01,33.75,17.25,0.0,2.25,6.25
2021-12-01,27.75,19.5,0.0,1.0,6.25
2022-01-01,25.8,9.2,0.0,1.6,5.8
2022-02-01,33.5,10.0,0.0,2.75,8.25
2022-03-01,36.25,15.5,0.0,2.5,6.25
2022-04-01,29.5,26.75,0.0,3.0,9.0
2022-05-01,33.2,10.8,0.0,3.4,8.8
2022-06-01,49.25,8.75,0.0,4.5,8.25
2022-07-01,48.0,10.4,0.0,3.8,9.2
2022-08-01,37.0,19.5,0.0,5.5,8.5
2022-09-01,34.75,12.0,0.0,5.0,9.0
2022-10-01,32.2,10.4,0.0,4.4,8.8
2022-11-01,34.0,14.75,0.0,3.75,9.5
2022-12-01,35.25,21.5,0.5,3.0,8.25
2023-01-01,29.2,8.4,0.0,4.2,7.8
2023-02-01,33.25,10.75,0.0,4.0,8.25
2023-03-01,34.75,17.75,0.0,3.5,6.5
2023-04-01,32.6,19.0,0.0,4.0,8.4
2023-05-01,34.75,12.25,0.0,5.0,8.5
2023-06-01,42.5,10.0,0.0,4.75,9.25
2023-07-01,35.2,9.2,0.0,5.2,9.6
2023-08-01,37.25,17.25,0.0,5.75,10.25
2023-09-01,39.25,14.5,0.0,5.25,10.25
2023-10-01,35.0,12.8,0.4,7.4,9.8
2023-11-01,34.75,14.5,0.0,5.75,10.0
2023-12-01,29.6,19.2,0.0,6.0,8.6
2024-01-01,30.5,10.0,0.0,6.0,8.0
2024-02-01,35.0,12.25,0.0,7.0,9.75
2024-03-01,34.4,20.8,0.0,6.8,8.8
2024-04-01,36.25,12.0,0.0,8.75,11.25
2024-05-01,34.5,12.75,0.0,10.25,11.5
2024-06-01,40.0,10.2,0.0,10.6,14.4
2024-07-01,40.5,11.5,0.0,9.0,12.75
2024-08-01,39.25,15.0,0.0,9.5,13.0
2024-09-01,35.2,11.4,0.0,8.4,12.2
2024-10-01,32.5,10.25,0.0,9.25,12.75
2024-11-01,31.5,13.25,0.0,8.5,14.25
2024-12-01,35.8,17.6,0.0,7.6,12.2
2025-01-01,33.75,7.75,0.0,9.25,9.75
2025-02-01,39.25,10.0,0.0,12.5,12.5
2025-03-01,40.2,13.4,0.0,12.0,12.6
