time [UTC],Allens,Health Lab,Life Savers,Pascall,Skittles
2021-08-01,43.0,4.0,0.0,2.0,17.0
2021-09-01,35.0,5.5,3.0,3.0,14.75
2021-10-01,31.0,6.0,2.8,2.8,16.8
2021-11-01,33.75,5.25,1.75,4.0,17.0
2021-12-01,27.75,4.5,1.5,4.5,16.25
2022-01-01,25.8,5.6,3.4,1.8,11.8
2022-02-01,33.5,6.0,4.75,3.25,17.75
2022-03-01,36.25,5.0,8.75,2.75,16.75
2022-04-01,29.5,4.75,5.75,3.75,16.75
2022-05-01,33.2,5.8,5.4,3.2,15.8
2022-06-01,49.25,4.75,5.0,4.0,17.0
2022-07-01,48.0,6.2,4.0,3.8,38.2
2022-08-01,37.0,5.75,4.25,3.75,30.25
2022-09-01,34.75,5.75,4.0,4.25,18.25
2022-10-01,32.2,6.2,4.6,3.4,24.2
2022-11-01,34.0,4.75,4.0,4.0,20.5
2022-12-01,35.25,4.25,4.25,4.25,20.75
2023-01-01,29.2,5.4,4.0,2.2,13.2
2023-02-01,33.25,6.0,4.75,3.5,16.5
2023-03-01,34.75,5.25,3.25,3.0,16.75
2023-04-01,32.6,6.2,3.8,4.0,14.6
2023-05-01,34.75,5.75,3.25,4.75,17.75
2023-06-01,42.5,6.25,4.25,6.0,18.5
2023-07-01,35.2,6.8,4.2,4.6,17.8
2023-08-01,37.25,6.0,4.5,4.5,18.5
2023-09-01,39.25,5.25,4.75,4.5,17.0
2023-10-01,35.0,5.4,4.0,3.8,25.6
2023-11-01,34.75,5.75,3.75,4.0,20.0
2023-12-01,29.6,4.8,4.0,4.8,18.8
2024-01-01,30.5,6.25,4.5,3.25,13.25
2024-02-01,35.0,7.25,4.5,2.75,13.75
2024-03-01,34.4,6.6,4.6,2.8,16.4
2024-04-01,36.25,5.75,4.75,3.5,16.5
2024-05-01,34.5,6.25,3.25,3.5,18.75
2024-06-01,40.0,4.8,4.6,5.0,17.2
2024-07-01,40.5,6.0,3.75,4.75,16.75
2024-08-01,39.25,6.25,4.0,4.0,19.25
2024-09-01,35.2,6.8,4.0,3.6,17.8
2024-10-01,32.5,8.5,4.75,3.5,18.5
2024-11-01,31.5,6.75,3.75,3.5,19.5
2024-12-01,35.8,5.8,5.0,3.6,17.6
2025-01-01,33.75,7.25,3.25,3.25,13.0
2025-02-01,39.25,7.75,4.0,3.0,14.75
2025-03-01,40.2,7.4,3.4,3.6,15.6
