time [UTC],Allens,Sour Patch,The Natural Confectionery Co.,Well Naturally
2021-08-01,29.0,19.0,7.0,0.0
2021-09-01,27.25,22.25,2.5,2.0
2021-10-01,28.8,25.6,8.4,0.0
2021-11-01,35.0,25.0,7.5,0.0
2021-12-01,28.5,17.75,0.0,0.0
2022-01-01,27.4,19.6,3.0,0.0
2022-02-01,46.5,17.25,9.25,2.5
2022-03-01,47.25,20.75,6.25,5.0
2022-04-01,39.25,20.25,4.25,3.25
2022-05-01,40.0,21.6,3.0,4.0
2022-06-01,57.75,28.75,11.25,0.0
2022-07-01,44.8,26.4,7.8,5.8
2022-08-01,29.25,26.0,10.5,6.25
2022-09-01,27.25,24.25,8.0,6.0
2022-10-01,24.2,25.4,9.8,7.4
2022-11-01,20.5,32.75,7.75,3.75
2022-12-01,14.5,27.75,5.0,0.0
2023-01-01,18.0,29.2,7.6,2.8
2023-02-01,26.25,26.75,3.75,1.75
2023-03-01,29.0,25.5,6.25,0.0
2023-04-01,20.8,25.8,7.4,1.4
2023-05-01,26.0,26.5,20.75,5.0
2023-06-01,29.0,24.5,23.5,3.5
2023-07-01,26.6,24.2,23.4,3.0
2023-08-01,29.25,30.75,24.75,4.0
2023-09-01,27.25,28.25,24.0,4.25
2023-10-01,20.8,26.0,24.8,2.8
2023-11-01,22.75,29.5,20.25,6.25
2023-12-01,22.2,25.8,19.2,1.6
2024-01-01,25.75,20.75,20.25,4.25
2024-02-01,44.75,21.75,20.5,0.0
2024-03-01,29.4,31.8,24.2,2.0
2024-04-01,42.75,31.0,28.75,1.75
2024-05-01,48.25,35.5,25.25,5.25
2024-06-01,40.0,28.4,18.6,0.0
2024-07-01,49.0,29.0,24.75,0.0
2024-08-01,39.0,28.75,24.75,2.0
2024-09-01,42.4,29.6,22.0,3.8
2024-10-01,42.0,27.25,24.25,1.75
2024-11-01,29.25,28.75,23.5,3.5
2024-12-01,16.4,24.2,19.8,1.6
2025-01-01,21.25,20.5,16.75,2.25
2025-02-01,32.75,20.0,21.0,2.5
2025-03-01,35.2,32.4,18.0,2.8
