time [UTC],Chobani,Activia,Chobani Fit,Cocobella,Coyo
2021-08-01,63.0,0.0,0.0,8.0,0.0
2021-09-01,48.5,0.0,5.5,10.5,6.0
2021-10-01,43.4,1.2,2.6,9.6,3.0
2021-11-01,34.25,1.75,1.75,6.5,1.75
2021-12-01,28.0,0.0,0.0,5.5,0.0
2022-01-01,41.6,2.2,8.4,13.0,4.0
2022-02-01,46.75,5.0,6.75,12.5,4.0
2022-03-01,45.25,4.0,6.5,11.75,6.25
2022-04-01,36.0,2.75,5.25,9.5,5.75
2022-05-01,43.8,1.8,1.0,9.6,2.6
2022-06-01,43.75,3.0,6.5,8.75,4.25
2022-07-01,46.6,2.2,5.4,9.6,3.2
2022-08-01,44.75,1.5,2.0,9.0,1.25
2022-09-01,47.5,3.75,3.0,11.75,4.25
2022-10-01,47.0,1.4,1.2,11.4,3.6
2022-11-01,45.0,1.25,0.0,12.5,4.5
2022-12-01,33.75,0.0,0.0,9.5,7.0
2023-01-01,48.6,2.4,3.0,16.8,6.2
2023-02-01,60.5,2.75,1.75,19.0,5.0
2023-03-01,54.75,3.25,5.0,20.75,3.5
2023-04-01,52.2,1.2,2.4,13.6,5.0
2023-05-01,55.5,4.25,1.5,13.25,5.75
2023-06-01,53.25,1.5,3.75,12.0,4.25
2023-07-01,55.0,3.0,4.6,17.2,4.6
2023-08-01,54.75,0.0,2.75,13.75,1.5
2023-09-01,50.5,1.5,4.5,17.25,3.0
2023-10-01,57.0,2.2,6.0,22.0,5.6
2023-11-01,53.0,2.5,8.75,21.75,8.0
2023-12-01,41.4,2.0,1.2,21.8,4.8
2024-01-01,69.0,3.75,6.75,31.25,9.75
2024-02-01,65.25,1.5,5.75,28.25,7.0
2024-03-01,57.6,1.8,7.0,25.0,8.0
2024-04-01,57.0,1.5,6.0,18.75,3.5
2024-05-01,60.75,2.75,6.0,20.0,4.25
2024-06-01,66.2,1.8,6.8,18.4,4.2
2024-07-01,69.25,0.0,5.25,31.5,5.0
2024-08-01,69.5,1.75,10.25,31.5,6.5
2024-09-01,65.4,1.2,8.4,43.0,5.4
2024-10-01,72.75,5.75,9.25,65.0,7.25
2024-11-01,65.0,1.25,7.5,71.25,7.0
2024-12-01,51.2,2.8,1.8,65.0,10.8
2025-01-01,83.25,4.5,10.5,84.75,10.5
2025-02-01,85.5,7.0,12.5,83.0,10.25
2025-03-01,83.8,2.4,10.0,68.4,9.8
