time [UTC],Chobani,Dairy Farmers,Danone,Gippsland Dairy,Nakula
2021-08-01,65.0,0.0,0.0,0.0,0.0
2021-09-01,49.5,7.75,3.5,0.0,0.0
2021-10-01,46.8,1.4,2.6,0.0,0.0
2021-11-01,37.25,4.75,2.25,0.0,0.0
2021-12-01,29.25,0.0,0.0,0.0,0.0
2022-01-01,45.0,1.2,3.2,0.0,0.0
2022-02-01,48.5,0.0,5.5,0.0,0.0
2022-03-01,45.75,2.5,6.5,0.0,0.0
2022-04-01,38.0,1.25,8.25,0.0,0.0
2022-05-01,45.0,3.2,6.6,0.0,0.0
2022-06-01,46.0,2.5,1.5,0.0,0.0
2022-07-01,48.0,2.4,2.6,0.0,0.0
2022-08-01,48.75,4.75,6.75,0.0,0.0
2022-09-01,46.5,1.25,7.5,0.0,0.0
2022-10-01,48.8,3.6,2.8,0.0,0.0
2022-11-01,44.25,0.0,2.75,0.0,0.0
2022-12-01,35.0,0.0,0.0,0.0,0.0
2023-01-01,50.0,3.6,2.2,0.0,0.0
2023-02-01,64.75,4.25,1.25,0.0,0.0
2023-03-01,57.75,0.0,4.5,0.0,0.0
2023-04-01,55.6,0.0,2.6,0.0,0.0
2023-05-01,57.0,0.0,4.75,0.0,0.0
2023-06-01,56.25,0.0,3.5,0.0,0.0
2023-07-01,57.4,1.2,5.8,0.0,0.0
2023-08-01,57.0,0.0,7.75,0.0,0.0
2023-09-01,51.75,0.0,6.0,0.0,0.0
2023-10-01,61.4,1.2,5.4,0.0,0.0
2023-11-01,56.75,0.0,6.75,0.0,0.0
2023-12-01,44.4,0.0,2.6,0.0,0.0
2024-01-01,73.5,1.5,7.75,0.0,0.0
2024-02-01,70.5,0.0,8.5,0.0,0.0
2024-03-01,62.0,0.0,4.8,0.0,0.0
2024-04-01,62.0,0.0,6.75,0.0,0.0
2024-05-01,64.25,0.0,8.0,0.0,0.0
2024-06-01,66.6,0.0,5.6,0.0,0.0
2024-07-01,75.25,0.0,9.25,0.0,0.0
2024-08-01,74.5,0.0,6.25,0.0,0.0
2024-09-01,71.0,0.0,8.8,0.0,0.0
2024-10-01,79.0,0.0,9.25,0.0,0.0
2024-11-01,69.75,0.0,6.0,0.0,0.0
2024-12-01,55.4,0.0,2.8,0.0,0.0
2025-01-01,89.75,0.0,4.25,0.0,0.0
2025-02-01,90.25,0.0,8.5,0.0,0.0
2025-03-01,89.6,0.0,9.2,0.0,0.0
