time [UTC],Chobani,Yakult,YoPro,five:am organic
2021-08-01,67.0,48.0,30.0,0.0
2021-09-01,51.25,37.5,30.75,0.0
2021-10-01,46.0,39.0,27.0,0.0
2021-11-01,36.25,35.0,23.25,0.0
2021-12-01,29.5,35.0,16.25,0.0
2022-01-01,43.4,44.2,37.0,0.0
2022-02-01,49.0,43.0,38.5,0.0
2022-03-01,48.0,45.75,39.25,0.0
2022-04-01,38.0,48.75,29.25,0.0
2022-05-01,45.8,47.8,28.8,0.0
2022-06-01,46.0,55.75,28.75,0.0
2022-07-01,49.0,52.6,33.2,0.0
2022-08-01,47.25,51.5,31.25,0.0
2022-09-01,49.75,49.25,32.5,0.0
2022-10-01,49.4,50.6,34.2,0.0
2022-11-01,47.75,45.0,36.25,0.0
2022-12-01,35.75,44.75,24.5,0.0
2023-01-01,51.2,54.4,36.4,0.0
2023-02-01,63.5,54.75,40.25,0.0
2023-03-01,57.5,54.5,40.75,0.0
2023-04-01,55.0,53.0,34.2,0.0
2023-05-01,58.25,60.5,29.0,0.0
2023-06-01,56.25,58.75,33.25,0.0
2023-07-01,58.4,59.0,40.6,0.0
2023-08-01,57.5,62.0,46.0,0.0
2023-09-01,52.75,55.75,47.25,0.0
2023-10-01,59.8,58.2,50.2,0.0
2023-11-01,56.0,50.5,34.0,0.0
2023-12-01,43.6,57.6,26.4,0.0
2024-01-01,72.75,59.0,44.25,0.0
2024-02-01,69.0,59.75,44.25,0.0
2024-03-01,60.6,58.6,31.8,0.0
2024-04-01,59.75,66.75,41.25,0.0
2024-05-01,63.75,68.25,41.75,0.0
2024-06-01,69.4,63.0,39.8,0.0
2024-07-01,73.0,68.0,38.5,0.0
2024-08-01,73.5,68.25,48.5,0.0
2024-09-01,69.2,63.8,48.0,0.0
2024-10-01,76.75,64.5,49.25,0.0
2024-11-01,68.5,56.75,46.5,0.0
2024-12-01,53.6,60.2,34.2,0.0
2025-01-01,87.5,67.5,74.5,0.0
2025-02-01,89.75,61.5,71.5,0.0
2025-03-01,88.4,62.8,60.4,0.0
