category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Yoghurt,Chobani,2021-08-01,63.0,63.0,0,1.0,
Yoghurt,Chobani,2021-09-01,48.5,48.5,0,1.0,
Yoghurt,Chobani,2021-10-01,43.4,43.4,0,1.0,
Yoghurt,Chobani,2021-11-01,34.25,34.25,0,1.0,
Yoghurt,Chobani,2021-12-01,28.0,28.0,0,1.0,
Yoghurt,Chobani,2022-01-01,41.6,41.6,0,1.0,
Yoghurt,Chobani,2022-02-01,46.75,46.75,0,1.0,
Yoghurt,Chobani,2022-03-01,45.25,45.25,0,1.0,
Yoghurt,Chobani,2022-04-01,36.0,36.0,0,1.0,
Yoghurt,Chobani,2022-05-01,43.8,43.8,0,1.0,
Yoghurt,Chobani,2022-06-01,43.75,43.75,0,1.0,
Yoghurt,Chobani,2022-07-01,46.6,46.6,0,1.0,
Yoghurt,Chobani,2022-08-01,44.75,44.75,0,1.0,
Yoghurt,Chobani,2022-09-01,47.5,47.5,0,1.0,
Yoghurt,Chobani,2022-10-01,47.0,47.0,0,1.0,
Yoghurt,Chobani,2022-11-01,45.0,45.0,0,1.0,
Yoghurt,Chobani,2022-12-01,33.75,33.75,0,1.0,
Yoghurt,Chobani,2023-01-01,48.6,48.6,0,1.0,
Yoghurt,Chobani,2023-02-01,60.5,60.5,0,1.0,
Yoghurt,Chobani,2023-03-01,54.75,54.75,0,1.0,
Yoghurt,Chobani,2023-04-01,52.2,52.2,0,1.0,
Yoghurt,Chobani,2023-05-01,55.5,55.5,0,1.0,
Yoghurt,Chobani,2023-06-01,53.25,53.25,0,1.0,
Yoghurt,Chobani,2023-07-01,55.0,55.0,0,1.0,
Yoghurt,Chobani,2023-08-01,54.75,54.75,0,1.0,
Yoghurt,Chobani,2023-09-01,50.5,50.5,0,1.0,
Yoghurt,Chobani,2023-10-01,57.0,57.0,0,1.0,
Yoghurt,Chobani,2023-11-01,53.0,53.0,0,1.0,
Yoghurt,Chobani,2023-12-01,41.4,41.4,0,1.0,
Yoghurt,Chobani,2024-01-01,69.0,69.0,0,1.0,
Yoghurt,Chobani,2024-02-01,65.25,65.25,0,1.0,
Yoghurt,Chobani,2024-03-01,57.6,57.6,0,1.0,
Yoghurt,Chobani,2024-04-01,57.0,57.0,0,1.0,
Yoghurt,Chobani,2024-05-01,60.75,60.75,0,1.0,
Yoghurt,Chobani,2024-06-01,66.2,66.2,0,1.0,
Yoghurt,Chobani,2024-07-01,69.25,69.25,0,1.0,
Yoghurt,Chobani,2024-08-01,69.5,69.5,0,1.0,
Yoghurt,Chobani,2024-09-01,65.4,65.4,0,1.0,
Yoghurt,Chobani,2024-10-01,72.75,72.75,0,1.0,
Yoghurt,Chobani,2024-11-01,65.0,65.0,0,1.0,
Yoghurt,Chobani,2024-12-01,51.2,51.2,0,1.0,
Yoghurt,Chobani,2025-01-01,83.25,83.25,0,1.0,
Yoghurt,Chobani,2025-02-01,85.5,85.5,0,1.0,
Yoghurt,Chobani,2025-03-01,83.8,83.8,0,1.0,
Yoghurt,Activia,2021-08-01,0.0,0.0,0,1.0,
Yoghurt,Activia,2021-09-01,0.0,0.0,0,1.0,
Yoghurt,Activia,2021-10-01,1.2,1.2,0,1.0,
Yoghurt,Activia,2021-11-01,1.75,1.75,0,1.0,
Yoghurt,Activia,2021-12-01,0.0,0.0,0,1.0,
Yoghurt,Activia,2022-01-01,2.2,2.2,0,1.0,
Yoghurt,Activia,2022-02-01,5.0,5.0,0,1.0,
Yoghurt,Activia,2022-03-01,4.0,4.0,0,1.0,
Yoghurt,Activia,2022-04-01,2.75,2.75,0,1.0,
Yoghurt,Activia,2022-05-01,1.8,1.8,0,1.0,
Yoghurt,Activia,2022-06-01,3.0,3.0,0,1.0,
Yoghurt,Activia,2022-07-01,2.2,2.2,0,1.0,
Yoghurt,Activia,2022-08-01,1.5,1.5,0,1.0,
Yoghurt,Activia,2022-09-01,3.75,3.75,0,1.0,
Yoghurt,Activia,2022-10-01,1.4,1.4,0,1.0,
Yoghurt,Activia,2022-11-01,1.25,1.25,0,1.0,
