time [UTC],AYAM,Bibigo,Chang's,Golden Wok,Hong Kong Dim Sim Kitchen
2021-08-01,0.0,0.0,35.0,0.0,0.0
2021-09-01,0.0,11.0,0.0,0.0,0.0
2021-10-01,0.0,10.4,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,27.0,0.0,0.0
2022-01-01,0.0,0.0,7.6,0.0,0.0
2022-02-01,0.0,0.0,7.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.0,9.5,0.0,0.0,7.25
2022-05-01,0.0,0.0,6.4,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,9.0
2022-07-01,0.0,0.0,0.0,0.0,0.0
2022-08-01,8.5,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,7.4,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,8.2,0.0,0.0,0.0
2023-02-01,0.0,7.75,9.25,0.0,0.0
2023-03-01,0.0,16.25,0.0,0.0,0.0
2023-04-01,0.0,39.6,0.0,0.0,0.0
2023-05-01,0.0,10.25,0.0,0.0,0.0
2023-06-01,0.0,8.5,0.0,0.0,0.0
2023-07-01,0.0,13.8,0.0,0.0,0.0
2023-08-01,0.0,36.5,0.0,0.0,0.0
2023-09-01,0.0,9.75,0.0,0.0,0.0
2023-10-01,10.8,46.0,0.0,0.0,0.0
2023-11-01,0.0,48.0,0.0,0.0,0.0
2023-12-01,0.0,30.8,8.2,0.0,0.0
2024-01-01,0.0,22.5,8.75,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,40.8,6.4,0.0,0.0
2024-04-01,0.0,25.75,0.0,0.0,0.0
2024-05-01,0.0,46.75,0.0,0.0,0.0
2024-06-01,0.0,48.4,0.0,0.0,0.0
2024-07-01,0.0,53.75,0.0,0.0,0.0
2024-08-01,0.0,34.75,0.0,0.0,9.0
2024-09-01,0.0,51.2,7.4,0.0,0.0
2024-10-01,0.0,40.5,0.0,0.0,0.0
2024-11-01,0.0,57.25,8.25,0.0,0.0
2024-12-01,0.0,40.0,8.6,0.0,0.0
2025-01-01,0.0,73.75,0.0,0.0,0.0
2025-02-01,0.0,59.25,0.0,0.0,0.0
2025-03-01,0.0,63.4,0.0,0.0,0.0
