time [UTC],AYAM,Just Cook,Kailis Brothers (KB),Kikkoman,Lee Kum Kee
2021-08-01,0.0,28.0,0.0,31.0,50.0
2021-09-01,0.0,7.0,0.0,16.5,46.5
2021-10-01,0.0,19.2,0.0,11.0,38.8
2021-11-01,0.0,0.0,0.0,13.25,29.5
2021-12-01,0.0,20.75,0.0,0.0,24.0
2022-01-01,0.0,9.0,0.0,18.4,42.2
2022-02-01,0.0,15.5,0.0,15.25,36.75
2022-03-01,0.0,22.0,0.0,16.75,31.0
2022-04-01,0.0,33.75,0.0,24.0,46.75
2022-05-01,0.0,25.8,0.0,15.0,40.0
2022-06-01,0.0,7.5,0.0,6.0,44.5
2022-07-01,0.0,4.8,0.0,27.4,46.2
2022-08-01,5.5,25.25,0.0,20.0,42.5
2022-09-01,0.0,24.0,0.0,27.0,44.75
2022-10-01,0.0,14.8,0.0,13.8,41.6
2022-11-01,0.0,14.5,0.0,14.75,38.5
2022-12-01,0.0,12.5,0.0,14.0,33.25
2023-01-01,0.0,23.4,0.0,34.0,55.8
2023-02-01,0.0,6.0,0.0,24.25,44.0
2023-03-01,0.0,19.0,0.0,36.5,50.0
2023-04-01,0.0,17.0,0.0,22.8,44.6
2023-05-01,0.0,24.0,0.0,27.75,52.5
2023-06-01,0.0,19.0,0.0,26.0,59.0
2023-07-01,0.0,19.0,0.0,35.2,58.2
2023-08-01,0.0,20.5,0.0,26.0,54.75
2023-09-01,0.0,13.25,0.0,37.5,62.5
2023-10-01,6.8,26.6,4.4,33.8,58.0
2023-11-01,0.0,17.5,0.0,26.25,43.75
2023-12-01,0.0,24.8,0.0,21.6,44.8
2024-01-01,0.0,16.0,0.0,17.25,60.75
2024-02-01,0.0,23.5,0.0,12.25,65.75
2024-03-01,0.0,16.2,0.0,14.6,40.0
2024-04-01,0.0,19.0,6.75,13.25,67.75
2024-05-01,0.0,14.0,0.0,19.5,80.0
2024-06-01,0.0,22.2,0.0,31.8,61.6
2024-07-01,0.0,21.25,0.0,25.25,77.5
2024-08-01,0.0,24.5,0.0,29.25,67.0
2024-09-01,0.0,15.4,0.0,24.0,63.2
2024-10-01,0.0,20.5,0.0,23.75,63.75
2024-11-01,0.0,22.0,0.0,23.75,60.0
2024-12-01,0.0,19.6,0.0,30.8,51.4
2025-01-01,0.0,20.75,0.0,26.25,80.75
2025-02-01,0.0,16.25,0.0,26.0,75.75
2025-03-01,0.0,28.6,0.0,34.4,54.0
