time [UTC],AYAM,Pandaroo,Roll’d,Urban Eats
2021-08-01,0.0,7.0,56.0,0.0
2021-09-01,0.0,2.75,61.25,0.0
2021-10-01,0.0,2.4,62.6,2.6
2021-11-01,0.0,0.0,71.0,0.0
2021-12-01,0.0,0.0,71.75,0.0
2022-01-01,0.0,1.6,63.2,0.0
2022-02-01,0.0,0.0,72.75,1.5
2022-03-01,0.0,0.0,66.25,1.75
2022-04-01,0.0,2.25,66.75,4.25
2022-05-01,0.0,1.4,68.0,2.0
2022-06-01,0.0,2.0,66.75,1.75
2022-07-01,0.0,1.2,64.8,1.6
2022-08-01,1.75,3.75,68.75,3.25
2022-09-01,0.0,6.0,71.0,2.5
2022-10-01,0.0,1.4,76.8,1.6
2022-11-01,0.0,1.75,69.0,0.0
2022-12-01,0.0,0.0,66.0,1.75
2023-01-01,0.0,2.6,68.4,0.0
2023-02-01,0.0,1.75,68.5,2.25
2023-03-01,0.0,0.0,62.0,1.5
2023-04-01,0.0,1.4,56.2,3.4
2023-05-01,0.0,3.25,54.25,0.0
2023-06-01,0.0,3.25,56.0,5.5
2023-07-01,0.0,3.0,56.0,6.0
2023-08-01,0.0,2.25,59.0,6.25
2023-09-01,0.0,2.0,60.0,1.75
2023-10-01,2.2,1.4,57.4,9.6
2023-11-01,0.0,1.75,60.75,1.75
2023-12-01,0.0,0.0,60.0,4.6
2024-01-01,0.0,3.75,54.5,5.0
2024-02-01,0.0,3.5,61.5,4.25
2024-03-01,0.0,1.4,54.4,6.6
2024-04-01,0.0,4.0,53.25,3.5
2024-05-01,0.0,1.75,51.25,5.5
2024-06-01,0.0,1.8,51.2,5.4
2024-07-01,0.0,4.75,49.5,8.25
2024-08-01,0.0,5.0,54.0,8.0
2024-09-01,0.0,0.0,55.2,4.4
2024-10-01,0.0,2.0,56.75,3.75
2024-11-01,0.0,0.0,56.0,0.0
2024-12-01,0.0,1.4,57.0,1.6
2025-01-01,0.0,3.5,66.0,5.75
2025-02-01,0.0,6.0,62.0,4.25
2025-03-01,0.0,1.4,63.8,2.8
