time [UTC],Dove,Beach Road Naturals,Bosisto's,Epzen,Freshwater Farm
2021-08-01,38.0,0.0,0.0,0.0,0.0
2021-09-01,40.0,0.0,0.0,0.0,0.0
2021-10-01,36.6,0.0,0.0,0.6,0.0
2021-11-01,38.25,0.0,0.0,0.0,0.0
2021-12-01,35.5,0.0,0.0,0.0,0.0
2022-01-01,36.8,0.0,7.4,0.0,0.0
2022-02-01,39.0,0.0,6.5,0.0,0.0
2022-03-01,39.75,0.0,8.5,0.0,0.0
2022-04-01,38.5,0.0,8.0,0.0,0.0
2022-05-01,38.4,0.0,8.8,0.0,0.0
2022-06-01,38.0,0.0,5.5,0.0,0.0
2022-07-01,40.8,0.0,0.0,0.0,0.0
2022-08-01,40.75,0.0,0.0,0.0,0.0
2022-09-01,44.75,0.0,0.0,0.0,0.0
2022-10-01,46.0,0.0,0.6,0.0,0.0
2022-11-01,48.25,0.0,0.0,0.0,0.0
2022-12-01,44.25,0.0,0.0,0.0,0.0
2023-01-01,44.0,0.0,0.0,0.0,0.0
2023-02-01,47.0,0.0,0.0,0.0,0.0
2023-03-01,48.5,0.0,0.0,0.0,0.0
2023-04-01,51.2,0.0,0.0,0.0,0.0
2023-05-01,51.75,0.0,0.0,0.0,0.0
2023-06-01,47.0,0.0,0.0,0.0,0.0
2023-07-01,49.8,0.0,0.0,0.0,0.0
2023-08-01,50.5,0.0,0.0,0.0,0.0
2023-09-01,55.0,0.0,0.75,0.0,0.75
2023-10-01,58.0,0.0,0.0,0.0,2.0
2023-11-01,58.25,0.0,0.0,0.0,0.75
2023-12-01,54.0,0.0,0.0,0.0,0.0
2024-01-01,55.75,0.0,0.0,0.0,0.75
2024-02-01,55.0,0.0,0.0,0.0,0.75
2024-03-01,54.2,0.0,0.0,0.0,0.0
2024-04-01,60.0,0.0,0.0,0.0,1.75
2024-05-01,62.5,0.0,0.0,0.0,0.0
2024-06-01,58.2,0.0,0.0,0.0,0.8
2024-07-01,63.0,0.0,0.0,0.0,0.0
2024-08-01,68.25,0.0,0.0,0.0,0.75
2024-09-01,70.2,0.0,0.0,0.0,2.2
2024-10-01,72.25,0.0,0.0,0.0,1.5
2024-11-01,83.25,0.0,0.0,0.0,2.5
2024-12-01,75.2,0.0,0.0,0.0,3.4
2025-01-01,82.25,0.0,0.0,0.0,4.0
2025-02-01,76.0,0.0,0.0,0.0,0.0
2025-03-01,71.2,0.0,0.0,0.0,1.2
