time [UTC],Dove,Glow Lab,Johnson's,My Soda,OC Naturals
2021-08-01,38.0,5.0,0.0,0.0,0.0
2021-09-01,40.0,5.25,0.0,0.0,0.0
2021-10-01,36.6,5.2,0.0,0.0,0.0
2021-11-01,38.25,3.0,0.0,0.0,0.0
2021-12-01,35.5,3.0,0.0,0.0,0.0
2022-01-01,36.8,5.8,0.0,0.0,0.0
2022-02-01,39.0,4.75,0.0,0.0,0.0
2022-03-01,39.75,5.5,0.0,0.0,0.0
2022-04-01,38.5,5.25,0.0,0.0,0.0
2022-05-01,38.4,4.6,0.0,0.0,0.0
2022-06-01,38.0,5.75,0.0,0.0,0.0
2022-07-01,40.8,5.6,0.0,0.0,0.0
2022-08-01,40.75,3.75,0.0,0.0,0.0
2022-09-01,44.75,5.75,0.0,0.0,0.0
2022-10-01,46.0,5.2,0.0,0.0,0.0
2022-11-01,48.25,4.75,0.0,0.0,0.75
2022-12-01,44.25,5.0,0.0,0.0,0.0
2023-01-01,44.0,5.0,0.0,0.0,0.6
2023-02-01,47.0,4.5,0.0,0.0,0.0
2023-03-01,48.5,8.0,0.0,0.0,0.75
2023-04-01,51.2,7.2,0.0,0.0,0.0
2023-05-01,51.75,6.0,0.0,0.0,0.0
2023-06-01,47.0,7.25,0.0,0.0,0.75
2023-07-01,49.8,8.0,0.0,0.0,0.8
2023-08-01,50.5,7.5,0.0,0.0,0.0
2023-09-01,55.0,7.5,0.0,0.0,2.0
2023-10-01,58.0,6.0,0.0,0.0,0.8
2023-11-01,58.25,6.75,0.0,0.0,0.0
2023-12-01,54.0,8.8,0.0,0.0,0.6
2024-01-01,55.75,8.75,0.0,0.0,0.75
2024-02-01,55.0,6.5,0.0,0.0,0.0
2024-03-01,54.2,6.8,0.0,0.0,0.6
2024-04-01,60.0,6.0,0.0,0.0,0.0
2024-05-01,62.5,7.5,0.0,0.0,0.75
2024-06-01,58.2,6.6,0.0,0.0,0.6
2024-07-01,63.0,6.75,0.0,0.0,1.0
2024-08-01,68.25,5.5,0.0,0.0,1.75
2024-09-01,70.2,8.0,0.0,0.0,1.8
2024-10-01,72.25,6.75,0.0,0.0,1.5
2024-11-01,83.25,7.0,0.0,0.0,2.5
2024-12-01,75.2,5.8,0.0,0.0,0.0
2025-01-01,82.25,4.75,0.0,0.0,1.5
2025-02-01,76.0,5.0,0.0,0.0,1.5
2025-03-01,71.2,2.0,0.0,0.0,0.6
