time [UTC],Dove,Palmolive,Sukin,Sundae Body,Thankyou
2021-08-01,38.0,14.0,39.0,0.0,4.0
2021-09-01,40.0,14.75,36.5,0.0,0.75
2021-10-01,36.6,11.8,33.4,0.0,4.4
2021-11-01,38.25,12.75,36.0,0.0,5.0
2021-12-01,35.5,12.25,37.0,0.0,3.5
2022-01-01,36.8,18.0,34.8,0.0,4.6
2022-02-01,39.0,18.5,32.0,0.0,4.75
2022-03-01,39.75,17.0,33.75,0.0,6.25
2022-04-01,38.5,18.0,43.25,0.0,5.5
2022-05-01,38.4,17.8,41.2,0.0,5.8
2022-06-01,38.0,14.25,37.0,1.5,8.0
2022-07-01,40.8,15.0,35.2,1.6,5.6
2022-08-01,40.75,16.75,37.5,0.0,4.75
2022-09-01,44.75,16.75,36.75,0.0,5.0
2022-10-01,46.0,16.0,33.2,2.6,5.0
2022-11-01,48.25,17.0,39.25,4.5,8.0
2022-12-01,44.25,17.0,40.0,7.0,8.25
2023-01-01,44.0,16.4,39.4,5.2,11.6
2023-02-01,47.0,18.5,37.75,4.75,7.0
2023-03-01,48.5,20.0,36.5,0.0,5.0
2023-04-01,51.2,19.4,45.8,0.6,3.8
2023-05-01,51.75,20.0,37.25,0.0,7.25
2023-06-01,47.0,20.75,41.75,0.0,8.0
2023-07-01,49.8,22.8,40.8,1.0,8.2
2023-08-01,50.5,20.0,41.25,0.5,6.25
2023-09-01,55.0,21.0,37.0,0.0,6.5
2023-10-01,58.0,22.6,39.8,2.0,6.6
2023-11-01,58.25,20.75,44.25,4.5,10.0
2023-12-01,54.0,22.8,43.0,3.2,6.4
2024-01-01,55.75,24.5,39.5,0.75,4.75
2024-02-01,55.0,23.0,35.0,0.0,7.5
2024-03-01,54.2,22.4,33.4,1.4,5.2
2024-04-01,60.0,23.25,35.25,0.75,5.75
2024-05-01,62.5,23.25,33.0,0.0,6.75
2024-06-01,58.2,19.8,32.2,0.6,5.6
2024-07-01,63.0,21.25,34.75,0.0,5.5
2024-08-01,68.25,22.5,32.0,0.75,6.75
2024-09-01,70.2,22.4,31.8,0.0,7.6
2024-10-01,72.25,24.5,35.75,3.0,6.75
2024-11-01,83.25,22.25,34.5,3.5,7.0
2024-12-01,75.2,23.4,40.0,3.6,5.2
2025-01-01,82.25,25.75,35.75,0.75,4.75
2025-02-01,76.0,25.5,34.75,2.0,6.5
2025-03-01,71.2,24.4,32.6,1.4,6.8
