time [UTC],Uncle Tobys,Blue Frog Breakfast,Brookfarm,Carman's,Farmer Jo
2021-08-01,48.0,0.0,0.0,0.0,0.0
2021-09-01,53.75,0.0,0.0,0.0,2.0
2021-10-01,55.4,0.0,1.6,0.0,0.0
2021-11-01,46.25,2.0,2.25,2.5,0.0
2021-12-01,39.0,0.0,0.0,0.0,0.0
2022-01-01,51.6,0.0,1.8,1.4,1.4
2022-02-01,51.25,0.0,1.5,1.5,1.5
2022-03-01,58.5,0.0,2.0,0.0,0.0
2022-04-01,59.0,0.0,0.0,0.0,0.0
2022-05-01,66.4,0.0,1.4,0.0,0.0
2022-06-01,71.75,0.0,4.0,0.0,0.0
2022-07-01,79.6,0.0,0.0,0.0,0.0
2022-08-01,74.5,0.0,2.0,2.25,0.0
2022-09-01,62.75,0.0,0.0,0.0,4.0
2022-10-01,64.8,0.0,0.0,1.4,1.6
2022-11-01,56.0,0.0,1.5,0.0,0.0
2022-12-01,47.0,0.0,2.25,0.0,0.0
2023-01-01,60.4,0.0,0.0,0.0,0.0
2023-02-01,57.25,0.0,2.25,2.5,0.0
2023-03-01,57.75,0.0,2.0,4.75,0.0
2023-04-01,67.8,0.0,4.4,0.0,0.0
2023-05-01,72.5,0.0,4.0,0.0,0.0
2023-06-01,74.5,0.0,2.0,0.0,0.0
2023-07-01,79.8,0.0,4.4,0.0,1.8
2023-08-01,67.5,0.0,8.5,2.0,0.0
2023-09-01,67.5,0.0,2.75,0.0,0.0
2023-10-01,63.0,0.0,5.0,0.0,0.0
2023-11-01,51.0,0.0,5.5,0.0,0.0
2023-12-01,47.8,0.0,1.4,0.0,0.0
2024-01-01,60.25,0.0,0.0,0.0,3.0
2024-02-01,56.5,0.0,4.5,0.0,0.0
2024-03-01,60.6,0.0,5.2,0.0,0.0
2024-04-01,73.5,0.0,4.25,0.0,4.25
2024-05-01,69.0,0.0,6.25,0.0,7.0
2024-06-01,71.0,0.0,0.0,0.0,0.0
2024-07-01,76.75,0.0,7.0,0.0,2.0
2024-08-01,72.5,0.0,4.25,0.0,2.5
2024-09-01,62.8,0.0,5.4,0.0,0.0
2024-10-01,64.25,0.0,3.75,0.0,2.25
2024-11-01,60.75,0.0,2.0,0.0,0.0
2024-12-01,51.4,0.0,3.4,0.0,0.0
2025-01-01,71.25,0.0,2.0,4.0,0.0
2025-02-01,83.5,0.0,6.0,0.0,0.0
2025-03-01,75.0,0.0,3.2,0.0,0.0
