time [UTC],Uncle Tobys,Morning Sun,Pure Delish,Sonoma Bakery
2021-08-01,48.0,0.0,0.0,9.0
2021-09-01,53.75,0.0,0.0,2.5
2021-10-01,55.4,0.0,0.0,3.4
2021-11-01,46.25,0.0,0.0,2.5
2021-12-01,39.0,0.0,0.0,10.25
2022-01-01,51.6,0.0,0.0,5.2
2022-02-01,51.25,0.0,0.0,6.75
2022-03-01,58.5,0.0,0.0,3.75
2022-04-01,59.0,0.0,0.0,11.5
2022-05-01,66.4,0.0,0.0,4.8
2022-06-01,71.75,0.0,0.0,10.25
2022-07-01,79.6,0.0,0.0,9.8
2022-08-01,74.5,0.0,0.0,10.25
2022-09-01,62.75,0.0,0.0,9.75
2022-10-01,64.8,0.0,0.0,8.4
2022-11-01,56.0,0.0,0.0,10.25
2022-12-01,47.0,0.0,0.0,13.75
2023-01-01,60.4,0.0,0.0,9.6
2023-02-01,57.25,0.0,0.0,11.0
2023-03-01,57.75,0.0,0.0,9.75
2023-04-01,67.8,0.0,0.0,12.4
2023-05-01,72.5,0.0,0.0,9.0
2023-06-01,74.5,0.0,0.0,8.75
2023-07-01,79.8,0.0,0.0,6.2
2023-08-01,67.5,0.0,0.0,5.5
2023-09-01,67.5,0.0,0.0,2.0
2023-10-01,63.0,0.0,0.0,11.2
2023-11-01,51.0,0.0,0.0,8.0
2023-12-01,47.8,0.0,0.0,11.0
2024-01-01,60.25,0.0,0.0,10.75
2024-02-01,56.5,0.0,0.0,7.0
2024-03-01,60.6,0.0,0.0,9.2
2024-04-01,73.5,0.0,0.0,6.5
2024-05-01,69.0,0.0,0.0,7.75
2024-06-01,71.0,0.0,0.0,4.0
2024-07-01,76.75,0.0,0.0,9.25
2024-08-01,72.5,0.0,0.0,7.25
2024-09-01,62.8,0.0,0.0,5.4
2024-10-01,64.25,0.0,0.0,2.25
2024-11-01,60.75,0.0,0.0,9.25
2024-12-01,51.4,0.0,0.0,5.8
2025-01-01,71.25,0.0,0.0,6.0
2025-02-01,83.5,0.0,0.0,2.25
2025-03-01,75.0,0.0,0.0,3.8
