time [UTC],Uncle Tobys,Blue Frog Breakfast,Freshness Fine Foods,Hubbards,Morning Sun
2021-08-01,48.0,0.0,0.0,0.0,23.0
2021-09-01,54.5,0.0,2.25,0.0,36.75
2021-10-01,55.6,0.0,0.0,0.0,29.6
2021-11-01,47.0,0.0,0.0,2.0,30.5
2021-12-01,39.0,0.0,0.0,0.0,23.0
2022-01-01,51.4,0.0,0.0,0.0,27.4
2022-02-01,51.25,0.0,0.0,1.5,27.25
2022-03-01,58.25,0.0,0.0,3.5,23.5
2022-04-01,59.25,0.0,0.0,3.25,29.5
2022-05-01,66.8,0.0,0.0,0.0,28.6
2022-06-01,71.75,0.0,0.0,0.0,28.5
2022-07-01,80.2,0.0,0.0,0.0,22.6
2022-08-01,75.25,0.0,0.0,2.0,27.0
2022-09-01,63.0,0.0,0.0,0.0,27.0
2022-10-01,65.0,0.0,0.0,0.0,28.4
2022-11-01,56.25,0.0,0.0,0.0,28.25
2022-12-01,47.0,0.0,0.0,0.0,28.0
2023-01-01,60.8,1.4,0.0,0.0,29.6
2023-02-01,57.5,0.0,0.0,0.0,24.0
2023-03-01,58.25,0.0,0.0,0.0,28.0
2023-04-01,68.6,0.0,0.0,0.0,27.6
2023-05-01,73.0,0.0,0.0,1.75,24.0
2023-06-01,74.75,0.0,0.0,1.75,23.25
2023-07-01,80.2,1.8,0.0,1.6,24.6
2023-08-01,68.75,0.0,0.0,0.0,26.0
2023-09-01,67.75,0.0,0.0,0.0,27.25
2023-10-01,63.2,0.0,0.0,3.8,28.4
2023-11-01,51.5,0.0,0.0,0.0,23.5
2023-12-01,48.0,0.0,0.0,0.0,22.4
2024-01-01,60.5,0.0,0.0,0.0,27.5
2024-02-01,56.75,0.0,0.0,0.0,25.75
2024-03-01,61.2,0.0,0.0,1.6,25.6
2024-04-01,74.5,0.0,0.0,1.75,25.0
2024-05-01,69.5,0.0,0.0,0.0,24.5
2024-06-01,71.4,0.0,0.0,0.0,21.4
2024-07-01,77.5,0.0,0.0,0.0,21.0
2024-08-01,72.75,0.0,0.0,2.0,24.75
2024-09-01,62.8,0.0,0.0,0.0,26.8
2024-10-01,64.25,0.0,0.0,0.0,26.0
2024-11-01,61.0,0.0,0.0,0.0,22.25
2024-12-01,51.4,0.0,0.0,0.0,22.0
2025-01-01,71.5,0.0,0.0,0.0,24.75
2025-02-01,84.0,0.0,0.0,3.0,28.25
2025-03-01,74.8,0.0,0.0,0.0,22.4
