time [UTC],Starbucks,Cafe 63,Gloria Jeans,Jamaica Blue,Krispy Kreme
2021-08-01,10.0,25.0,0.0,6.0,0.0
2021-09-01,10.5,20.5,0.0,7.5,0.0
2021-10-01,14.4,20.2,0.0,8.2,0.0
2021-11-01,14.75,20.25,0.0,9.25,0.0
2021-12-01,16.0,28.5,0.0,10.5,0.0
2022-01-01,15.2,20.0,0.0,8.0,0.0
2022-02-01,13.0,19.5,0.0,9.25,0.0
2022-03-01,12.5,21.5,0.0,7.75,0.0
2022-04-01,11.5,28.75,0.0,9.0,0.0
2022-05-01,12.0,27.2,0.0,9.2,0.0
2022-06-01,11.5,22.75,0.0,10.0,0.0
2022-07-01,13.0,21.4,0.0,8.6,0.0
2022-08-01,12.25,23.75,0.0,8.75,0.0
2022-09-01,12.5,24.0,0.0,10.0,0.0
2022-10-01,15.8,21.4,0.0,8.2,0.0
2022-11-01,21.0,20.75,0.0,9.75,0.0
2022-12-01,19.75,25.75,0.0,11.25,0.0
2023-01-01,16.6,23.8,0.0,9.2,0.0
2023-02-01,17.25,21.25,0.0,9.25,0.0
2023-03-01,8.25,19.25,0.0,8.0,0.0
2023-04-01,8.6,26.4,0.0,10.0,0.0
2023-05-01,7.5,25.25,0.0,10.5,0.0
2023-06-01,7.5,22.0,0.0,8.75,0.0
2023-07-01,7.2,24.8,0.0,9.0,0.0
2023-08-01,7.0,26.25,0.0,8.25,0.0
2023-09-01,7.0,25.25,0.0,8.25,0.0
2023-10-01,2.8,22.4,0.0,8.8,0.0
2023-11-01,0.0,22.25,0.0,9.0,0.0
2023-12-01,0.0,28.8,0.0,9.2,0.0
2024-01-01,0.0,24.5,0.0,9.0,0.0
2024-02-01,0.0,22.5,0.0,8.25,0.0
2024-03-01,0.0,24.6,0.8,9.4,0.0
2024-04-01,0.5,24.75,0.0,9.0,0.0
2024-05-01,0.0,27.0,0.0,8.5,0.0
2024-06-01,0.0,21.0,0.0,8.2,0.0
2024-07-01,60.5,23.25,0.0,10.5,0.0
2024-08-01,32.5,23.75,0.0,10.0,0.0
2024-09-01,0.6,24.8,0.0,8.4,0.0
2024-10-01,0.5,24.5,0.75,8.5,0.0
2024-11-01,0.0,21.75,0.0,10.75,0.0
2024-12-01,0.0,28.0,0.0,9.6,0.0
2025-01-01,1.0,23.5,0.0,9.25,0.0
2025-02-01,0.0,22.5,0.0,7.75,0.0
2025-03-01,0.0,23.0,0.0,8.4,0.0
