time [UTC],Starbucks,The Coffee Club,Zarraffa's
2021-08-01,10.0,51.0,0.0
2021-09-01,9.75,50.0,0.5
2021-10-01,13.8,59.4,0.4
2021-11-01,14.0,61.75,0.0
2021-12-01,15.0,80.25,0.0
2022-01-01,14.2,53.8,0.0
2022-02-01,12.25,53.5,0.0
2022-03-01,11.75,56.5,0.0
2022-04-01,10.75,68.25,0.0
2022-05-01,11.4,60.4,0.0
2022-06-01,10.75,62.0,0.0
2022-07-01,12.4,61.0,0.0
2022-08-01,11.5,56.0,0.0
2022-09-01,12.0,61.25,0.0
2022-10-01,14.8,54.2,0.0
2022-11-01,20.0,53.75,0.0
2022-12-01,18.25,64.75,0.0
2023-01-01,15.6,58.8,0.0
2023-02-01,16.25,52.25,0.0
2023-03-01,8.0,52.25,0.0
2023-04-01,8.2,58.4,0.0
2023-05-01,7.25,52.75,0.0
2023-06-01,6.75,48.25,0.0
2023-07-01,6.8,49.4,0.0
2023-08-01,6.75,46.75,0.0
2023-09-01,6.75,47.75,0.0
2023-10-01,2.8,45.6,0.0
2023-11-01,0.0,46.5,0.0
2023-12-01,0.0,57.4,0.0
2024-01-01,0.0,48.75,0.0
2024-02-01,0.0,46.5,0.0
2024-03-01,0.0,46.4,0.0
2024-04-01,0.5,48.0,0.0
2024-05-01,0.0,47.25,0.0
2024-06-01,0.0,46.8,0.0
2024-07-01,57.0,56.25,0.0
2024-08-01,30.75,44.0,0.0
2024-09-01,0.6,43.4,0.0
2024-10-01,0.5,40.75,0.0
2024-11-01,0.0,41.0,0.0
2024-12-01,0.0,48.6,0.0
2025-01-01,1.0,44.0,0.0
2025-02-01,0.0,38.5,0.0
2025-03-01,0.0,37.4,0.0
