time [UTC],AAMI,NRMA,RACQ,ROLLiN' Insurance,Suncorp
2021-08-01,21.0,15.0,24.0,0.0,56.0
2021-09-01,26.5,13.25,26.5,0.0,52.75
2021-10-01,26.4,11.8,28.0,0.0,35.2
2021-11-01,29.25,13.25,37.25,0.5,43.5
2021-12-01,26.0,14.75,31.25,0.0,35.75
2022-01-01,33.6,32.0,34.6,0.0,41.8
2022-02-01,36.25,18.75,59.0,0.25,41.25
2022-03-01,35.25,15.0,35.75,0.0,41.5
2022-04-01,31.5,15.25,33.0,0.0,44.5
2022-05-01,33.8,15.4,38.6,0.0,47.4
2022-06-01,34.5,16.25,33.75,0.5,50.5
2022-07-01,33.8,14.6,33.2,0.0,53.8
2022-08-01,31.25,11.0,30.5,0.0,50.75
2022-09-01,32.5,11.5,29.75,0.0,43.75
2022-10-01,33.6,22.6,31.2,0.0,37.8
2022-11-01,32.5,21.25,28.75,0.0,19.75
2022-12-01,31.5,25.75,30.0,0.0,15.0
2023-01-01,36.0,27.8,35.8,0.0,18.0
2023-02-01,36.25,28.0,30.5,0.0,23.75
2023-03-01,34.75,37.75,28.5,0.25,50.5
2023-04-01,36.2,38.6,28.2,0.6,51.2
2023-05-01,37.5,37.5,28.0,0.75,54.75
2023-06-01,39.5,31.75,30.75,1.0,54.75
2023-07-01,37.0,24.6,29.8,1.0,55.4
2023-08-01,35.25,22.75,29.5,1.0,53.75
2023-09-01,36.0,24.0,29.25,1.0,50.75
2023-10-01,36.4,23.0,26.4,1.0,48.6
2023-11-01,37.5,23.5,28.0,0.75,49.0
2023-12-01,36.6,30.8,31.8,1.0,50.6
2024-01-01,39.75,35.25,32.75,0.75,51.75
2024-02-01,40.0,37.5,28.5,1.0,51.5
2024-03-01,38.8,44.0,26.8,0.8,50.0
2024-04-01,38.75,39.25,26.5,0.75,49.25
2024-05-01,38.5,41.75,23.5,1.0,46.75
2024-06-01,38.4,45.0,27.8,1.0,50.6
2024-07-01,36.75,38.0,24.75,1.0,51.5
2024-08-01,34.75,42.0,25.25,0.25,47.5
2024-09-01,34.6,37.2,24.6,1.0,43.8
2024-10-01,33.5,31.25,22.75,0.75,41.75
2024-11-01,33.75,32.5,23.0,0.75,43.75
2024-12-01,31.2,32.8,27.2,0.8,34.4
2025-01-01,38.75,34.25,27.5,1.0,39.25
2025-02-01,34.25,31.5,27.5,0.75,43.25
2025-03-01,34.4,32.4,28.8,1.0,45.6
