time [UTC],AAMI,Youi
2021-08-01,47.0,1.0
2021-09-01,58.5,0.0
2021-10-01,58.2,0.0
2021-11-01,63.75,0.25
2021-12-01,58.0,0.0
2022-01-01,73.8,0.0
2022-02-01,80.25,0.0
2022-03-01,77.75,0.0
2022-04-01,70.0,0.0
2022-05-01,74.4,0.0
2022-06-01,76.25,0.0
2022-07-01,75.2,0.6
2022-08-01,69.25,21.5
2022-09-01,71.75,19.75
2022-10-01,74.4,15.8
2022-11-01,72.0,13.5
2022-12-01,69.75,9.0
2023-01-01,78.8,11.2
2023-02-01,80.0,12.5
2023-03-01,76.5,21.75
2023-04-01,79.6,22.0
2023-05-01,82.75,23.75
2023-06-01,87.0,25.5
2023-07-01,81.4,24.8
2023-08-01,78.0,23.0
2023-09-01,79.75,23.0
2023-10-01,80.4,23.0
2023-11-01,82.25,22.5
2023-12-01,80.4,24.4
2024-01-01,88.25,30.25
2024-02-01,88.25,30.5
2024-03-01,85.6,27.0
2024-04-01,85.75,27.25
2024-05-01,84.75,29.75
2024-06-01,84.8,28.4
2024-07-01,81.25,29.75
2024-08-01,76.5,29.5
2024-09-01,76.8,29.4
2024-10-01,73.25,30.0
2024-11-01,74.0,28.5
2024-12-01,68.4,29.4
2025-01-01,85.5,38.25
2025-02-01,76.0,37.25
2025-03-01,76.0,36.2
