category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Car Insurance,AAMI,2021-08-01,47.0,47.0,0,1.0,
Car Insurance,AAMI,2021-09-01,58.5,58.5,0,1.0,
Car Insurance,AAMI,2021-10-01,58.2,58.2,0,1.0,
Car Insurance,AAMI,2021-11-01,63.75,63.75,0,1.0,
Car Insurance,AAMI,2021-12-01,58.0,58.0,0,1.0,
Car Insurance,AAMI,2022-01-01,73.8,73.8,0,1.0,
Car Insurance,AAMI,2022-02-01,80.25,80.25,0,1.0,
Car Insurance,AAMI,2022-03-01,77.75,77.75,0,1.0,
Car Insurance,AAMI,2022-04-01,70.0,70.0,0,1.0,
Car Insurance,AAMI,2022-05-01,74.4,74.4,0,1.0,
Car Insurance,AAMI,2022-06-01,76.25,76.25,0,1.0,
Car Insurance,AAMI,2022-07-01,75.2,75.2,0,1.0,
Car Insurance,AAMI,2022-08-01,69.25,69.25,0,1.0,
Car Insurance,AAMI,2022-09-01,71.75,71.75,0,1.0,
Car Insurance,AAMI,2022-10-01,74.4,74.4,0,1.0,
Car Insurance,AAMI,2022-11-01,72.0,72.0,0,1.0,
Car Insurance,AAMI,2022-12-01,69.75,69.75,0,1.0,
Car Insurance,AAMI,2023-01-01,78.8,78.8,0,1.0,
Car Insurance,AAMI,2023-02-01,80.0,80.0,0,1.0,
Car Insurance,AAMI,2023-03-01,76.5,76.5,0,1.0,
Car Insurance,AAMI,2023-04-01,79.6,79.6,0,1.0,
Car Insurance,AAMI,2023-05-01,82.75,82.75,0,1.0,
Car Insurance,AAMI,2023-06-01,87.0,87.0,0,1.0,
Car Insurance,AAMI,2023-07-01,81.4,81.4,0,1.0,
Car Insurance,AAMI,2023-08-01,78.0,78.0,0,1.0,
Car Insurance,AAMI,2023-09-01,79.75,79.75,0,1.0,
Car Insurance,AAMI,2023-10-01,80.4,80.4,0,1.0,
Car Insurance,AAMI,2023-11-01,82.25,82.25,0,1.0,
Car Insurance,AAMI,2023-12-01,80.4,80.4,0,1.0,
Car Insurance,AAMI,2024-01-01,88.25,88.25,0,1.0,
Car Insurance,AAMI,2024-02-01,88.25,88.25,0,1.0,
Car Insurance,AAMI,2024-03-01,85.6,85.6,0,1.0,
Car Insurance,AAMI,2024-04-01,85.75,85.75,0,1.0,
Car Insurance,AAMI,2024-05-01,84.75,84.75,0,1.0,
Car Insurance,AAMI,2024-06-01,84.8,84.8,0,1.0,
Car Insurance,AAMI,2024-07-01,81.25,81.25,0,1.0,
Car Insurance,AAMI,2024-08-01,76.5,76.5,0,1.0,
Car Insurance,AAMI,2024-09-01,76.8,76.8,0,1.0,
Car Insurance,AAMI,2024-10-01,73.25,73.25,0,1.0,
Car Insurance,AAMI,2024-11-01,74.0,74.0,0,1.0,
Car Insurance,AAMI,2024-12-01,68.4,68.4,0,1.0,
Car Insurance,AAMI,2025-01-01,85.5,85.5,0,1.0,
Car Insurance,AAMI,2025-02-01,76.0,76.0,0,1.0,
Car Insurance,AAMI,2025-03-01,76.0,76.0,0,1.0,
Car Insurance,Bingle,2021-08-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2021-09-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2021-10-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2021-11-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2021-12-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2022-01-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2022-02-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2022-03-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2022-04-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2022-05-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2022-06-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2022-07-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2022-08-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2022-09-01,0.0,0.0,0,1.0,
Car Insurance,Bingle,2022-10-01,3.0,3.0,0,1.0,
Car Insurance,Bingle,2022-11-01,6.0,6.0,0,1.0,
Car Insurance,Bingle,2022-12-01,5.75,5.75,0,1.0,
Car Insurance,Bingle,2023-01-01,7.6,7.6,0,1.0,
Car Insurance,Bingle,2023-02-01,9.25,9.25,0,1.0,
Car Insurance,Bingle,2023-03-01,11.25,11.25,0,1.0,
Car Insurance,Bingle,2023-04-01,10.4,10.4,0,1.0,
Car Insurance,Bingle,2023-05-01,11.25,11.25,0,1.0,
Car Insurance,Bingle,2023-06-01,12.25,12.25,0,1.0,
Car Insurance,Bingle,2023-07-01,13.2,13.2,0,1.0,
Car Insurance,Bingle,2023-08-01,11.25,11.25,0,1.0,
Car Insurance,Bingle,2023-09-01,11.0,11.0,0,1.0,
Car Insurance,Bingle,2023-10-01,10.6,10.6,0,1.0,
Car Insurance,Bingle,2023-11-01,11.0,11.0,0,1.0,
Car Insurance,Bingle,2023-12-01,10.8,10.8,0,1.0,
Car Insurance,Bingle,2024-01-01,10.0,10.0,0,1.0,
Car Insurance,Bingle,2024-02-01,10.75,10.75,0,1.0,
Car Insurance,Bingle,2024-03-01,10.6,10.6,0,1.0,
Car Insurance,Bingle,2024-04-01,13.75,13.75,0,1.0,
Car Insurance,Bingle,2024-05-01,13.5,13.5,0,1.0,
Car Insurance,Bingle,2024-06-01,13.2,13.2,0,1.0,
Car Insurance,Bingle,2024-07-01,12.0,12.0,0,1.0,
Car Insurance,Bingle,2024-08-01,10.75,10.75,0,1.0,
Car Insurance,Bingle,2024-09-01,10.0,10.0,0,1.0,
Car Insurance,Bingle,2024-10-01,10.0,10.0,0,1.0,
Car Insurance,Bingle,2024-11-01,9.75,9.75,0,1.0,
Car Insurance,Bingle,2024-12-01,10.4,10.4,0,1.0,
Car Insurance,Bingle,2025-01-01,13.0,13.0,0,1.0,
Car Insurance,Bingle,2025-02-01,11.75,11.75,0,1.0,
Car Insurance,Bingle,2025-03-01,11.8,11.8,0,1.0,
Car Insurance,Budget Direct,2021-08-01,30.0,30.0,0,1.0,
Car Insurance,Budget Direct,2021-09-01,32.75,32.75,0,1.0,
Car Insurance,Budget Direct,2021-10-01,36.8,36.8,0,1.0,
Car Insurance,Budget Direct,2021-11-01,41.25,41.25,0,1.0,
Car Insurance,Budget Direct,2021-12-01,35.75,35.75,0,1.0,
Car Insurance,Budget Direct,2022-01-01,50.8,50.8,0,1.0,
Car Insurance,Budget Direct,2022-02-01,56.75,56.75,0,1.0,
Car Insurance,Budget Direct,2022-03-01,52.25,52.25,0,1.0,
Car Insurance,Budget Direct,2022-04-01,47.75,47.75,0,1.0,
Car Insurance,Budget Direct,2022-05-01,51.6,51.6,0,1.0,
Car Insurance,Budget Direct,2022-06-01,53.25,53.25,0,1.0,
Car Insurance,Budget Direct,2022-07-01,52.6,52.6,0,1.0,
Car Insurance,Budget Direct,2022-08-01,49.25,49.25,0,1.0,
Car Insurance,Budget Direct,2022-09-01,48.25,48.25,0,1.0,
Car Insurance,Budget Direct,2022-10-01,53.6,53.6,0,1.0,
Car Insurance,Budget Direct,2022-11-01,53.25,53.25,0,1.0,
Car Insurance,Budget Direct,2022-12-01,49.75,49.75,0,1.0,
Car Insurance,Budget Direct,2023-01-01,62.8,62.8,0,1.0,
Car Insurance,Budget Direct,2023-02-01,62.25,62.25,0,1.0,
Car Insurance,Budget Direct,2023-03-01,59.5,59.5,0,1.0,
Car Insurance,Budget Direct,2023-04-01,59.2,59.2,0,1.0,
Car Insurance,Budget Direct,2023-05-01,66.25,66.25,0,1.0,
Car Insurance,Budget Direct,2023-06-01,65.25,65.25,0,1.0,
Car Insurance,Budget Direct,2023-07-01,62.4,62.4,0,1.0,
Car Insurance,Budget Direct,2023-08-01,59.25,59.25,0,1.0,
Car Insurance,Budget Direct,2023-09-01,64.0,64.0,0,1.0,
Car Insurance,Budget Direct,2023-10-01,62.8,62.8,0,1.0,
Car Insurance,Budget Direct,2023-11-01,64.0,64.0,0,1.0,
Car Insurance,Budget Direct,2023-12-01,65.2,65.2,0,1.0,
Car Insurance,Budget Direct,2024-01-01,71.75,71.75,0,1.0,
Car Insurance,Budget Direct,2024-02-01,74.75,74.75,0,1.0,
Car Insurance,Budget Direct,2024-03-01,65.8,65.8,0,1.0,
Car Insurance,Budget Direct,2024-04-01,67.5,67.5,0,1.0,
Car Insurance,Budget Direct,2024-05-01,69.0,69.0,0,1.0,
Car Insurance,Budget Direct,2024-06-01,69.4,69.4,0,1.0,
Car Insurance,Budget Direct,2024-07-01,68.25,68.25,0,1.0,
Car Insurance,Budget Direct,2024-08-01,64.5,64.5,0,1.0,
Car Insurance,Budget Direct,2024-09-01,68.0,68.0,0,1.0,
Car Insurance,Budget Direct,2024-10-01,64.25,64.25,0,1.0,
Car Insurance,Budget Direct,2024-11-01,61.75,61.75,0,1.0,
Car Insurance,Budget Direct,2024-12-01,61.8,61.8,0,1.0,
Car Insurance,Budget Direct,2025-01-01,73.5,73.5,0,1.0,
Car Insurance,Budget Direct,2025-02-01,68.75,68.75,0,1.0,
Car Insurance,Budget Direct,2025-03-01,72.0,72.0,0,1.0,
Car Insurance,Huddle,2021-08-01,1.0,1.0,0,1.0,
Car Insurance,Huddle,2021-09-01,1.5,1.5,0,1.0,
Car Insurance,Huddle,2021-10-01,1.8,1.8,0,1.0,
Car Insurance,Huddle,2021-11-01,2.25,2.25,0,1.0,
Car Insurance,Huddle,2021-12-01,1.5,1.5,0,1.0,
Car Insurance,Huddle,2022-01-01,2.0,2.0,0,1.0,
Car Insurance,Huddle,2022-02-01,2.25,2.25,0,1.0,
Car Insurance,Huddle,2022-03-01,1.75,1.75,0,1.0,
Car Insurance,Huddle,2022-04-01,2.0,2.0,0,1.0,
Car Insurance,Huddle,2022-05-01,2.2,2.2,0,1.0,
Car Insurance,Huddle,2022-06-01,2.25,2.25,0,1.0,
Car Insurance,Huddle,2022-07-01,2.2,2.2,0,1.0,
Car Insurance,Huddle,2022-08-01,2.0,2.0,0,1.0,
Car Insurance,Huddle,2022-09-01,1.75,1.75,0,1.0,
Car Insurance,Huddle,2022-10-01,1.8,1.8,0,1.0,
Car Insurance,Huddle,2022-11-01,1.75,1.75,0,1.0,
Car Insurance,Huddle,2022-12-01,1.5,1.5,0,1.0,
Car Insurance,Huddle,2023-01-01,2.0,2.0,0,1.0,
Car Insurance,Huddle,2023-02-01,2.0,2.0,0,1.0,
Car Insurance,Huddle,2023-03-01,2.25,2.25,0,1.0,
Car Insurance,Huddle,2023-04-01,2.0,2.0,0,1.0,
Car Insurance,Huddle,2023-05-01,2.0,2.0,0,1.0,
Car Insurance,Huddle,2023-06-01,2.5,2.5,0,1.0,
Car Insurance,Huddle,2023-07-01,2.2,2.2,0,1.0,
Car Insurance,Huddle,2023-08-01,2.75,2.75,0,1.0,
Car Insurance,Huddle,2023-09-01,2.25,2.25,0,1.0,
Car Insurance,Huddle,2023-10-01,2.2,2.2,0,1.0,
Car Insurance,Huddle,2023-11-01,2.25,2.25,0,1.0,
Car Insurance,Huddle,2023-12-01,1.8,1.8,0,1.0,
Car Insurance,Huddle,2024-01-01,2.25,2.25,0,1.0,
Car Insurance,Huddle,2024-02-01,2.5,2.5,0,1.0,
Car Insurance,Huddle,2024-03-01,1.8,1.8,0,1.0,
Car Insurance,Huddle,2024-04-01,2.0,2.0,0,1.0,
Car Insurance,Huddle,2024-05-01,2.0,2.0,0,1.0,
Car Insurance,Huddle,2024-06-01,2.2,2.2,0,1.0,
Car Insurance,Huddle,2024-07-01,1.75,1.75,0,1.0,
Car Insurance,Huddle,2024-08-01,1.75,1.75,0,1.0,
Car Insurance,Huddle,2024-09-01,1.8,1.8,0,1.0,
Car Insurance,Huddle,2024-10-01,1.75,1.75,0,1.0,
Car Insurance,Huddle,2024-11-01,1.75,1.75,0,1.0,
Car Insurance,Huddle,2024-12-01,1.6,1.6,0,1.0,
Car Insurance,Huddle,2025-01-01,1.5,1.5,0,1.0,
Car Insurance,Huddle,2025-02-01,1.5,1.5,0,1.0,
Car Insurance,Huddle,2025-03-01,1.6,1.6,0,1.0,
Car Insurance,Koba,2021-08-01,0.0,0.0,0,1.0,
Car Insurance,Koba,2021-09-01,0.0,0.0,0,1.0,
Car Insurance,Koba,2021-10-01,0.0,0.0,0,1.0,
Car Insurance,Koba,2021-11-01,0.0,0.0,0,1.0,
Car Insurance,Koba,2021-12-01,0.0,0.0,0,1.0,
Car Insurance,Koba,2022-01-01,0.0,0.0,0,1.0,
Car Insurance,Koba,2022-02-01,0.0,0.0,0,1.0,
