time [UTC],Red Rock Deli,Boulder,Burts,Kettle,Proper Crisps
2021-08-01,37.0,0.0,0.0,29.0,0.0
2021-09-01,38.5,0.0,0.0,25.0,0.0
2021-10-01,45.8,0.0,0.0,25.4,0.0
2021-11-01,39.25,0.0,0.0,22.5,0.0
2021-12-01,33.5,0.0,0.0,22.0,0.0
2022-01-01,37.6,0.0,0.0,26.0,0.0
2022-02-01,38.5,6.5,0.0,22.5,0.0
2022-03-01,44.75,0.0,0.0,24.5,0.0
2022-04-01,50.25,0.0,0.0,31.75,3.25
2022-05-01,43.0,2.0,0.0,26.2,0.0
2022-06-01,47.75,2.75,0.0,25.0,0.0
2022-07-01,38.0,0.0,0.0,32.4,2.4
2022-08-01,55.5,0.0,3.0,33.0,0.0
2022-09-01,45.25,3.5,0.0,30.5,0.0
2022-10-01,50.4,2.2,0.0,33.2,2.4
2022-11-01,43.5,0.0,0.0,31.25,0.0
2022-12-01,52.0,0.0,0.0,29.25,0.0
2023-01-01,49.4,0.0,2.2,30.8,0.0
2023-02-01,48.75,0.0,0.0,35.5,0.0
2023-03-01,57.5,3.0,0.0,30.5,0.0
2023-04-01,52.6,0.0,0.0,37.4,0.0
2023-05-01,56.25,6.25,0.0,45.5,0.0
2023-06-01,52.25,0.0,0.0,42.5,2.75
2023-07-01,63.2,0.0,0.0,36.6,0.0
2023-08-01,73.75,0.0,0.0,36.25,0.0
2023-09-01,68.25,0.0,0.0,31.5,0.0
2023-10-01,70.0,0.0,0.0,42.2,0.0
2023-11-01,67.0,0.0,0.0,43.75,0.0
2023-12-01,61.6,0.0,0.0,41.8,2.6
2024-01-01,63.0,0.0,0.0,38.75,0.0
2024-02-01,51.75,0.0,0.0,31.5,0.0
2024-03-01,55.0,2.4,0.0,30.0,0.0
2024-04-01,68.25,4.5,0.0,36.75,0.0
2024-05-01,71.0,0.0,0.0,33.25,0.0
2024-06-01,75.2,0.0,0.0,40.0,0.0
2024-07-01,64.75,0.0,0.0,43.75,0.0
2024-08-01,69.25,3.25,0.0,42.75,0.0
2024-09-01,72.0,0.0,2.6,36.8,0.0
2024-10-01,69.5,0.0,0.0,40.75,0.0
2024-11-01,64.0,0.0,0.0,42.25,0.0
2024-12-01,74.8,0.0,0.0,42.2,0.0
2025-01-01,64.75,0.0,0.0,39.25,0.0
2025-02-01,73.25,0.0,0.0,37.0,0.0
2025-03-01,69.4,0.0,0.0,42.2,0.0
